subset_id,n_points,distribution,trial_index,model,spread_score,hull_coverage,mean_pairwise_distance_mm,valid,failure_reason,validation_rmse_mm,validation_mae_mm,validation_median_mm,validation_max_mm,calibration_xy_rmse_mm,pnp_calibration_reprojection_rmse_px
N04_clustered_T001,4,clustered,1,Affine,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,11.269744248143464,7.9921262629881715,5.24784227095324,24.396676635275796,0.3213738650505191,
N04_clustered_T001,4,clustered,1,Homography,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,501.0067442046929,273.4793410679151,112.67959312038639,1409.4318762439816,67.31456008918144,
N04_clustered_T001,4,clustered,1,PnP,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,2.140603325876968,1.77884946233082,1.7208501422244984,4.414003460112672,,0.06408632089486521
N04_clustered_T002,4,clustered,2,Affine,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,17.460732555500645,12.156239134634992,7.970073817688389,36.59110696291604,0.22998705280459575,
N04_clustered_T002,4,clustered,2,Homography,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,754.3785755187038,288.03084091526284,77.29295598786939,2595.0604506981376,51.53882032022297,
N04_clustered_T002,4,clustered,2,PnP,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,22.14842717326897,19.8983733106374,18.70633684304966,41.86475048947469,,2.2332896605506667
N04_clustered_T003,4,clustered,3,Affine,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,10.308212283115482,7.394428213490851,4.677730899217403,21.705607392706295,0.21950469672816064,
N04_clustered_T003,4,clustered,3,Homography,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,3638.551575046472,1333.020722886768,140.9000970001546,12319.219147110782,27.95084971874737,
N04_clustered_T003,4,clustered,3,PnP,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,62.97703165162622,51.16766925853465,44.018837614783294,123.34443482447631,,4.438446441829363
N04_clustered_T004,4,clustered,4,Affine,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,7.56359968488508,5.821961753591542,4.31369734385602,15.043618940697895,0.3561882926398398,
N04_clustered_T004,4,clustered,4,Homography,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,7458.22502863944,2600.9782872123374,65.59940226495011,25290.172415223817,14.797973885273377,
N04_clustered_T004,4,clustered,4,PnP,0.09012206164653187,0.02857142857142857,32.61844635310913,1,,1.5871347482878246,1.3241181771543042,1.2635781280059453,2.6881899856545757,,0.023192151759468163
N04_clustered_T005,4,clustered,5,Affine,0.09240892372714685,0.02857142857142857,33.60206292602492,1,,14.359777262893157,10.55069174312681,8.668934817877917,28.58236499399675,0.5887153994458576,
N04_clustered_T005,4,clustered,5,Homography,0.09240892372714685,0.02857142857142857,33.60206292602492,1,,5.239472642183202,4.2609994878267345,3.3591077583583098,9.011181689073991,2.40171359194057e-05,
N04_clustered_T005,4,clustered,5,PnP,0.09240892372714685,0.02857142857142857,33.60206292602492,1,,2.582520113997854,2.109926545206543,2.020369313671129,5.018439915706417,,0.05700093551845271
N04_clustered_T006,4,clustered,6,Affine,0.09240892372714685,0.02857142857142857,33.60206292602492,1,,8.260041277291123,6.471503400720028,6.486132837903124,17.699799372981087,0.7710569504729448,
N04_clustered_T006,4,clustered,6,Homography,0.09240892372714685,0.02857142857142857,33.60206292602492,1,,5.529114664113715,4.1409844030944996,2.98537480497437,12.050338304309376,1.9745782553841407e-05,
N04_clustered_T006,4,clustered,6,PnP,0.09240892372714685,0.02857142857142857,33.60206292602492,1,,1.1566620898997046,0.8654494424879581,0.545038987696949,2.4688484792613483,,0.0990947765158999
N04_clustered_T007,4,clustered,7,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,8.08543614959091,6.270564436700301,3.5204508932172285,15.11777626663486,0.29005517721966373,
N04_clustered_T007,4,clustered,7,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,747.7968703865007,368.05182323715917,116.90859716843022,2087.960504490941,15.338931385957219,
N04_clustered_T007,4,clustered,7,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,20.08115413596578,17.403318838529955,14.187029980141986,35.0779564067541,,2.3875063201272533
N04_clustered_T008,4,clustered,8,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,8.466592439059333,6.490602435356789,4.554531903857927,18.97347994337253,0.3561947842956623,
N04_clustered_T008,4,clustered,8,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,54461.53808596612,16149.302193964106,68.8133552858722,188604.95527017137,23.027925121800365,
N04_clustered_T008,4,clustered,8,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,13.817499930302237,11.285968833265256,8.49378698168011,28.60466170453534,,0.3538615656743665
N04_clustered_T009,4,clustered,9,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,13.093038154772474,8.975183574459415,5.986097320543992,29.86168169777518,0.3950799131725625,
N04_clustered_T009,4,clustered,9,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,3276.297216880508,1202.3288565277846,82.91337769365146,11039.49906263633,27.950849718750987,
N04_clustered_T009,4,clustered,9,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,14.959512759716041,13.139173591338656,10.327293461485315,28.592454831153674,,1.5576838484631903
N04_clustered_T010,4,clustered,10,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,14.135558813776475,10.059503202624567,6.987271755800036,32.76033289499488,0.3950348405687403,
N04_clustered_T010,4,clustered,10,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,2147.6609259990328,878.9730306659662,73.95598299281625,6752.3475116006575,23.034601235291483,
N04_clustered_T010,4,clustered,10,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,0.9817608866108645,0.8442635117413751,0.8118265960964028,2.1012114270101514,,0.050841569735542796
N04_clustered_T011,4,clustered,11,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,14.096952036409485,10.281533795083138,7.392779673610906,28.231824078990417,0.1963138594316463,
N04_clustered_T011,4,clustered,11,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,6688.368190671923,2057.5103086283343,109.55824719897744,23157.375091024944,95.19716382330003,
N04_clustered_T011,4,clustered,11,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,19.62384238514572,14.880137843758684,11.259636422777756,38.40448907422671,,0.2667424656961437
N04_clustered_T012,4,clustered,12,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,11.351923024169949,7.989712865706481,4.251473245153659,24.201860798016114,0.39529277390850676,
N04_clustered_T012,4,clustered,12,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,780.479026737877,371.4167845234053,65.80103683120326,1950.0729483178934,45.06939094330856,
N04_clustered_T012,4,clustered,12,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,0.9001632634439023,0.7538428207663848,0.7213938573730401,1.9904293183563582,,0.049237116761433976
N04_clustered_T013,4,clustered,13,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,7.541385045607706,5.799607243607269,3.6519025087694827,15.80281001570264,0.3395173270189396,
N04_clustered_T013,4,clustered,13,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,2971.6071335620445,1175.4851586101956,76.204557497465,9470.068015199417,70.7106781186551,
N04_clustered_T013,4,clustered,13,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,15.664477715270824,11.395585539536276,6.502719822005899,33.1859941477005,,0.29971477229254895
N04_clustered_T014,4,clustered,14,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,9.461789826498146,6.853938452935136,4.802262691341235,19.911191886487636,0.2774305555889794,
N04_clustered_T014,4,clustered,14,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,995.1559373346327,451.5110515530385,97.84672120904278,2995.8521639670385,45.06939094330085,
N04_clustered_T014,4,clustered,14,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,22.391008111376298,15.593158597540262,9.00741339556293,48.86267494166124,,0.24668641618567766
N04_clustered_T015,4,clustered,15,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,7.4888281946209485,5.935301422187297,4.124081523870341,14.414979188578593,0.35615404268459566,
N04_clustered_T015,4,clustered,15,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,1734.6879711077902,749.7794641866477,76.88451931770778,4875.190208895164,39.528470752126836,
N04_clustered_T015,4,clustered,15,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,1.5262609935133296,1.308030230246673,1.2740254128734714,2.530799994044164,,0.022441360352284907
N04_clustered_T016,4,clustered,16,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,7.098189932430837,5.747126392897971,4.3655112691597635,12.265296961942278,0.24686614043772323,
N04_clustered_T016,4,clustered,16,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,314.7286650666964,154.8394136341083,79.25408840736807,1055.0890263606805,45.069390943299965,
N04_clustered_T016,4,clustered,16,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,11.947276341323148,9.653913472053341,7.5736970265845365,20.44043921192804,,0.31169827466551425
N04_clustered_T017,4,clustered,17,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,7.636627055877116,6.340981241907244,5.467826956005213,13.37064331108773,0.2922397459366038,
N04_clustered_T017,4,clustered,17,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,2589.6302571111646,1110.2990983646712,82.57630646736278,6834.393407717209,97.62812094883635,
N04_clustered_T017,4,clustered,17,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,0,RuntimeError: Board intersection lies behind camera,,,,,,
N04_clustered_T018,4,clustered,18,Affine,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,10.108979268151902,7.223069085418331,4.095428910015673,21.695539342000977,0.14739070322576114,
N04_clustered_T018,4,clustered,18,Homography,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,400.9937317347458,224.03837296993322,81.73786767037366,1035.1031513872394,83.85254915624563,
N04_clustered_T018,4,clustered,18,PnP,0.09808361457567027,0.02857142857142857,36.04283974947035,1,,15.790449016797808,11.633754621027714,7.2217006834821795,32.456709589247055,,0.23397521579841724
N04_clustered_T019,4,clustered,19,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,7.00678316069742,5.63261772831153,3.9246539361622865,12.097871526867058,0.3120847478412038,
N04_clustered_T019,4,clustered,19,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,4.880920448730722,3.890189470074848,3.031840753910787,8.83554942277901,1.1486176161644391e-05,
N04_clustered_T019,4,clustered,19,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,0.8694027418522815,0.6638768330318884,0.4621098528805301,1.8459802192479202,,0.05615326506992844
N04_clustered_T020,4,clustered,20,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,8.016082995224416,6.7102633068268185,6.457367308023711,13.172846085008588,0.44254376846841814,
N04_clustered_T020,4,clustered,20,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,3.7307328972378215,3.0049857152064767,3.2141033949140088,6.779173940354473,2.2325204757752092e-05,
N04_clustered_T020,4,clustered,20,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,3.4359482220689403,2.608112548059695,2.0744792759261816,6.8559924620211,,0.02653272445428187
N04_clustered_T021,4,clustered,21,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,13.811091457566818,9.457438827302717,4.744472304831255,28.889317270590134,0.10031914556914194,
N04_clustered_T021,4,clustered,21,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,4.005481111681316,3.10898232244119,2.450222850601228,9.257427528209282,9.503976024298255e-14,
N04_clustered_T021,4,clustered,21,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.865556910866545,1.6281021643232532,1.6827956041675018,3.0152682669418107,,0.060244831597249734
N04_clustered_T022,4,clustered,22,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,24.1566506146801,17.487346952465998,12.625741066906368,51.721640017572035,0.4901009836508919,
N04_clustered_T022,4,clustered,22,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,21.595318822179035,16.99130612698675,15.600055302011576,46.10148726969126,1.87317219229227e-05,
N04_clustered_T022,4,clustered,22,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.4320163322696124,1.2846871790816194,1.2821499374548297,2.232742735558285,,0.1809113556823219
N04_clustered_T023,4,clustered,23,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,10.101397630660653,7.2298713060792466,4.610394074094097,21.195610267550816,0.2619571158541712,
N04_clustered_T023,4,clustered,23,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,2.3302283816070943,1.8255169126277568,1.403703126361211,4.40991405968637,1.8211076933908797e-05,
N04_clustered_T023,4,clustered,23,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,0.7966688469341718,0.725397418268344,0.7596266809689137,1.3476686563365392,,0.034481562060195974
N04_clustered_T024,4,clustered,24,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,8.484400805642098,6.328150703592123,4.392516843882524,17.08168750530806,0.3971725917455057,
N04_clustered_T024,4,clustered,24,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.8927884091344829,1.4708599240030467,1.0747091773780753,4.011773798406162,2.196380582340911e-05,
N04_clustered_T024,4,clustered,24,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.1182910973374716,0.9297894033924772,0.98067198183106,2.324291014163144,,0.04948602854718883
N04_clustered_T025,4,clustered,25,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,9.427779784121922,7.431877713238471,4.926435342051559,17.316131636006606,0.27308598363078673,
N04_clustered_T025,4,clustered,25,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,6.422073182499747,4.825381219907205,3.6418846945909955,12.60313021698966,1.9706856714463694e-05,
N04_clustered_T025,4,clustered,25,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,0.7827175973600556,0.6811936807497926,0.6459962620935694,1.3264935440344945,,0.06012057732970473
N04_clustered_T026,4,clustered,26,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,11.333094233423276,8.011874397791878,5.469281121232626,23.62872879895338,0.5529472801232801,
N04_clustered_T026,4,clustered,26,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.760296570136713,1.3734476953756403,0.9101269164201371,3.331487492741381,1.222237778599861e-05,
N04_clustered_T026,4,clustered,26,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.232516930904459,1.055180484909991,0.9714228139639312,2.633888149792934,,0.04377422971031392
N04_clustered_T027,4,clustered,27,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,10.516565016897216,7.707112923528283,5.111903596787706,22.399463511150103,0.40383783515802524,
N04_clustered_T027,4,clustered,27,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,3.326548561212122,2.5984722466681744,1.9539453296007583,6.92390998764626,2.128204615655147e-05,
N04_clustered_T027,4,clustered,27,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,0.7859645700060415,0.6475105165816184,0.5360398621407498,1.3767972589113786,,0.060983981085809304
N04_clustered_T028,4,clustered,28,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,8.275259685361602,6.280590070140779,4.778437501342049,17.599100945596433,0.49240559049196686,
N04_clustered_T028,4,clustered,28,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.363079370233682,1.142053847601254,0.9351386958342485,2.647371156525431,1.5114999438715932e-05,
N04_clustered_T028,4,clustered,28,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.3517390789684087,1.1375361842102072,1.0702712547698354,2.3283643289267375,,0.005387567007713609
N04_clustered_T029,4,clustered,29,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,17.190191498797812,11.759120716208068,7.781461055915974,37.50257021266881,0.21199015263946933,
N04_clustered_T029,4,clustered,29,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,10.068715644953212,7.247849573726158,5.002511766451909,24.926286765631296,1.787125923089824e-05,
N04_clustered_T029,4,clustered,29,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.5129296939431915,1.3139167879911764,1.1162821885395169,2.7195831538347783,,0.15024955008089333
N04_clustered_T030,4,clustered,30,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,13.556773879474326,9.588206800180297,5.55315196655661,29.228835970138736,0.38115215431775723,
N04_clustered_T030,4,clustered,30,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,3.4994456700696923,2.6076222865727927,1.643277541705467,8.678705244010256,1.9701705203824332e-05,
N04_clustered_T030,4,clustered,30,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.747319389262025,1.4600329820030227,1.500543345211626,3.882598644404117,,0.03945791742132111
N04_clustered_T031,4,clustered,31,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,17.364917820202248,12.135706216110826,8.423261993651039,36.24937159173671,0.2582205190406694,
N04_clustered_T031,4,clustered,31,Homography,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,6.413404530489362,4.717088883237593,3.0456543749373366,12.36252496011867,2.0187286657481377e-05,
N04_clustered_T031,4,clustered,31,PnP,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,1.125365062145047,0.9526398780110513,0.8545516910695294,1.9335147101543102,,0.06236287860808552
N04_clustered_T032,4,clustered,32,Affine,0.1092390840986556,0.04285714285714286,37.768729592691585,1,,6.696963251456979,5.348617877236033,3.878288465179753,12.851286044069315,0.47916558027328066,
