n_points,distribution,model,n_trials,n_valid,n_failed,failure_rate,validation_rmse_mean_mm,validation_rmse_sd_mm,validation_rmse_median_mm,validation_rmse_q25_mm,validation_rmse_q75_mm,validation_rmse_p95_mm,validation_rmse_min_mm,validation_rmse_max_mm
4,clustered,Affine,100,100,0,0.0,11.393807116921918,3.660529890080547,10.439114991820459,8.25118563260165,13.866519824952368,17.87792298460347,6.696963251456979,24.1566506146801
4,clustered,Homography,100,100,0,0.0,2231.4487034314266,6753.178795103429,243.69640705169542,6.639814975704115,1107.4977714488382,7941.862028373735,1.0928695967052118,54461.53808596612
4,clustered,PnP,100,97,3,0.03,7.082859538224047,10.868073020905893,1.736256160413052,1.1566620898997046,5.960131183700882,28.302574445924982,0.6905601129340104,62.97703165162622
4,random,Affine,100,100,0,0.0,9.790092476431978,3.446248887035481,8.887155122563223,7.573338431123534,10.43285523611201,17.211565453653197,5.949068901683955,25.219006152832183
4,random,Homography,100,100,0,0.0,2221.663974128274,14914.514144755716,2.622801364667362,1.399307947801115,10.784618699189389,3702.0328730619285,0.668430008951172,143511.56900042793
4,random,PnP,100,97,3,0.03,3.754657273158622,9.024437537975162,0.9479773882088269,0.7350105749546635,1.2288914840743252,20.926368992455657,0.5734286229973358,55.03083696663744
4,spread,Affine,100,100,0,0.0,7.51435031603073,1.2774542405286768,7.325702173588452,6.736254360541093,8.073300516507478,9.379061765074262,5.414677955281332,13.212133722532847
4,spread,Homography,100,100,0,0.0,1.112316182318339,0.5585843085821642,0.9552757742145537,0.8440577950393405,1.2204656322013414,2.0800159078485523,0.5693863465268229,3.9989765212089465
4,spread,PnP,100,100,0,0.0,0.763538157399838,0.15424783992767918,0.7308750332716782,0.6627418574113761,0.8234774935167829,1.0138337302104037,0.5746523026229372,1.4113364151160084
6,clustered,Affine,100,100,0,0.0,9.577586132367655,2.2331832510477168,8.891307892375764,7.994915833001649,11.107818143489066,13.23744704627011,6.332445303144603,17.259444509110292
6,clustered,Homography,100,100,0,0.0,3.346834655241918,11.576392993494144,1.9461954706111302,1.3255861633412858,2.4514619933071424,5.4398253813557975,0.7022807939311162,117.12710442109284
6,clustered,PnP,100,100,0,0.0,1.7904066031974941,6.755538894772009,0.9698406420733866,0.7976002329204261,1.3160984546537025,2.0172100273178715,0.5787500285529305,68.51200036957951
6,random,Affine,100,100,0,0.0,7.386021997272951,1.2064074942157865,7.194409655472926,6.497490058126735,7.983118206421487,9.405089132375863,5.471592717367361,11.565848212926003
6,random,Homography,100,100,0,0.0,1.0684214258909397,0.4585089566618717,0.911561224729006,0.7740675879047243,1.1878312085419,2.0986994344338323,0.5482036346348677,3.2414759714157473
6,random,PnP,100,100,0,0.0,0.7935114269128861,0.17604337591740474,0.7460258146156074,0.6843118819090314,0.8807578960049092,1.1627196117112988,0.5397080737510154,1.4232313083478165
6,spread,Affine,100,100,0,0.0,6.3999627190968775,0.7289865337183583,6.1575209779817,5.9267739958389365,6.697432848130284,7.789556439364427,5.463608421611378,9.155684165317899
6,spread,Homography,100,100,0,0.0,0.7463234863334742,0.12362901830903736,0.7256918487851973,0.6471276891133392,0.8399720135173613,0.9676378920397465,0.5685639711605538,1.0984651723130099
6,spread,PnP,100,100,0,0.0,0.6804107501879542,0.08087190556327221,0.6695339510467484,0.6174214128474607,0.7141539955533708,0.8238435721532372,0.5634182082596529,0.9547628622620823
8,clustered,Affine,100,100,0,0.0,8.775645598915114,1.947154541222725,8.317168534926056,7.324763893215394,9.69092532270651,12.68192595412895,6.031349029881467,14.325210086931005
