camera,ros_frame_count,charuco_id,paper_x_gt_mm,paper_y_gt_mm,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk1,5,22,59.0,8.0,343.0780944824219,288.1557922363281,29,42
ihawk1,5,33,-66.0,-42.0,316.9345397949219,233.50111389160156,29,42
ihawk1,5,35,-16.0,-42.0,336.3466796875,248.60609436035156,29,42
ihawk1,5,38,59.0,-42.0,370.0572509765625,273.2171936035156,29,42
ihawk2,6,9,-66.0,33.0,292.1326904296875,327.2508544921875,30,46
ihawk2,6,11,-16.0,33.0,333.4756774902344,326.4249572753906,30,46
ihawk2,6,14,59.0,33.0,395.3882141113281,324.498046875,30,46
ihawk2,6,17,-66.0,8.0,292.7587585449219,312.3222961425781,30,46
ihawk2,6,19,-16.0,8.0,332.1772155761719,311.8790588378906,30,46
ihawk2,6,22,59.0,8.0,390.6775817871094,310.8197326660156,30,46
ihawk2,6,33,-66.0,-42.0,293.7500915527344,286.6343688964844,30,46
ihawk2,6,35,-16.0,-42.0,330.0762634277344,286.5099792480469,30,46
ihawk2,6,38,59.0,-42.0,383.8030700683594,285.2987365722656,30,46
ihawk1,6,9,-66.0,33.0,276.9696350097656,251.00538635253906,29,44
ihawk1,6,11,-16.0,33.0,295.2857360839844,267.9645080566406,29,44
ihawk1,6,14,59.0,33.0,328.4010314941406,295.8528747558594,29,44
ihawk1,6,17,-66.0,8.0,291.1434020996094,244.2695770263672,29,44
ihawk1,6,19,-16.0,8.0,310.078125,260.36065673828125,29,44
ihawk1,6,22,59.0,8.0,343.051025390625,288.2608642578125,29,44
ihawk1,6,33,-66.0,-42.0,316.9664001464844,233.49488830566406,29,44
ihawk1,6,35,-16.0,-42.0,336.3707580566406,248.6062774658203,29,44
ihawk1,6,38,59.0,-42.0,370.053955078125,273.2650146484375,29,44
ihawk2,7,9,-66.0,33.0,292.1623229980469,327.2488708496094,28,38
ihawk2,7,11,-16.0,33.0,333.47222900390625,326.4446716308594,28,38
ihawk2,7,14,59.0,33.0,395.201171875,324.62408447265625,28,38
ihawk2,7,17,-66.0,8.0,292.7492980957031,312.3583679199219,28,38
ihawk2,7,19,-16.0,8.0,332.1721496582031,311.8785705566406,28,38
ihawk2,7,22,59.0,8.0,390.6522521972656,310.85870361328125,28,38
ihawk2,7,33,-66.0,-42.0,293.78375244140625,286.53472900390625,28,38
ihawk2,7,38,59.0,-42.0,383.8091735839844,285.36077880859375,28,38
ihawk1,7,9,-66.0,33.0,276.9811706542969,250.99827575683594,28,40
ihawk1,7,11,-16.0,33.0,295.2846374511719,267.9340515136719,28,40
ihawk1,7,14,59.0,33.0,328.38787841796875,295.8605041503906,28,40
ihawk1,7,19,-16.0,8.0,310.0650329589844,260.353515625,28,40
ihawk1,7,22,59.0,8.0,343.1331787109375,288.2641296386719,28,40
ihawk1,7,33,-66.0,-42.0,316.87646484375,233.48899841308594,28,40
ihawk1,7,35,-16.0,-42.0,336.3743591308594,248.60369873046875,28,40
ihawk1,7,38,59.0,-42.0,370.0506896972656,273.3806457519531,28,40
ihawk2,8,11,-16.0,33.0,333.5060729980469,326.47320556640625,28,38
ihawk2,8,14,59.0,33.0,395.2796325683594,324.609130859375,28,38
ihawk2,8,19,-16.0,8.0,332.1772155761719,311.8791809082031,28,38
ihawk2,8,22,59.0,8.0,390.6790466308594,310.8520202636719,28,38
ihawk2,8,33,-66.0,-42.0,293.79071044921875,286.5304260253906,28,38
ihawk2,8,35,-16.0,-42.0,330.0666809082031,286.5141296386719,28,38
ihawk2,8,38,59.0,-42.0,383.8134765625,285.3627624511719,28,38
ihawk1,8,9,-66.0,33.0,276.9816589355469,250.9989776611328,27,39
ihawk1,8,11,-16.0,33.0,295.3223876953125,267.9023742675781,27,39
ihawk1,8,14,59.0,33.0,328.3958435058594,295.8572998046875,27,39
ihawk1,8,19,-16.0,8.0,310.0629577636719,260.3485412597656,27,39
ihawk1,8,22,59.0,8.0,343.07373046875,288.1504821777344,27,39
ihawk1,8,33,-66.0,-42.0,316.9086608886719,233.4921417236328,27,39
ihawk1,8,35,-16.0,-42.0,336.4149475097656,248.61285400390625,27,39
ihawk1,8,38,59.0,-42.0,370.0667419433594,273.06854248046875,27,39
ihawk2,9,9,-66.0,33.0,292.1513366699219,327.2421875,29,42
ihawk2,9,11,-16.0,33.0,333.4750671386719,326.4250183105469,29,42
ihawk2,9,14,59.0,33.0,395.2249755859375,324.6310729980469,29,42
ihawk2,9,17,-66.0,8.0,292.7916564941406,312.19268798828125,29,42
ihawk2,9,19,-16.0,8.0,332.2054748535156,311.87457275390625,29,42
ihawk2,9,22,59.0,8.0,390.6023864746094,310.81402587890625,29,42
ihawk2,9,33,-66.0,-42.0,293.77215576171875,286.62103271484375,29,42
ihawk2,9,38,59.0,-42.0,383.8143005371094,285.3091125488281,29,42
ihawk1,9,9,-66.0,33.0,276.9992980957031,250.9812469482422,28,43
ihawk1,9,11,-16.0,33.0,295.3079833984375,267.9566650390625,28,43
ihawk1,9,14,59.0,33.0,328.4038391113281,295.8324890136719,28,43
ihawk1,9,17,-66.0,8.0,291.1431579589844,244.2696990966797,28,43
ihawk1,9,19,-16.0,8.0,310.0524597167969,260.34869384765625,28,43
ihawk1,9,22,59.0,8.0,343.076904296875,288.24365234375,28,43
ihawk1,9,33,-66.0,-42.0,316.9154357910156,233.49493408203125,28,43
ihawk1,9,35,-16.0,-42.0,336.36773681640625,248.60365295410156,28,43
ihawk1,9,38,59.0,-42.0,370.0706481933594,273.2222900390625,28,43
ihawk2,10,11,-16.0,33.0,333.5657043457031,326.5533142089844,29,42
ihawk2,10,14,59.0,33.0,395.2788391113281,324.6115417480469,29,42
ihawk2,10,19,-16.0,8.0,332.1768798828125,311.8790283203125,29,42
ihawk2,10,22,59.0,8.0,390.5910339355469,310.8074645996094,29,42
