run_id,camera_id,height_gt_mm,frame_index,image_relpath,native_detected_markers,native_complete,median_center_difference_from_clean_csv_px,max_center_difference_from_clean_csv_px,qc_excluded,exclusion_reason
20260808_131913,ihawk1,40.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p040p000mm\frame_0002_color.png,5,1,3.456051777728745e-06,7.549533578279473e-06,0,
20260808_131913,ihawk1,40.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p040p000mm\frame_0003_color.png,5,1,4.557032500917115e-07,0.9015392101568117,0,
20260808_131913,ihawk1,45.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p045p000mm\frame_0001_color.png,5,1,4.789902195562153e-07,3.8466903039719475e-06,0,
20260808_131913,ihawk1,45.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p045p000mm\frame_0002_color.png,5,1,4.2814582370484044e-07,3.611950892799385e-06,0,
20260808_131913,ihawk1,45.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p045p000mm\frame_0003_color.png,5,1,3.002517639920065e-07,8.011871597874912e-06,0,
20260808_131913,ihawk1,50.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p050p000mm\frame_0001_color.png,5,1,6.112895068415994e-07,0.002893918175973263,0,
20260808_131913,ihawk1,50.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p050p000mm\frame_0002_color.png,5,1,3.145031613548154e-07,0.0025426880087557908,0,
20260808_131913,ihawk1,50.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk1\h_p050p000mm\frame_0003_color.png,5,1,5.067637243148779e-07,0.0023862020614349123,0,
20260808_131913,ihawk2,0.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p000p000mm\frame_0001_color.png,5,1,4.4176610507729744e-07,7.5541383927920035e-06,0,
20260808_131913,ihawk2,0.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p000p000mm\frame_0002_color.png,5,1,1.0945609133427678e-05,0.0009335345196873458,0,
20260808_131913,ihawk2,0.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p000p000mm\frame_0003_color.png,5,1,4.011860511838718e-07,5.139928437778039e-05,0,
20260808_131913,ihawk2,5.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p005p000mm\frame_0001_color.png,5,1,6.122155023453639e-07,1.1010972887059113e-05,0,
20260808_131913,ihawk2,5.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p005p000mm\frame_0002_color.png,5,1,5.091554463257517e-07,8.116362250337438e-06,0,
20260808_131913,ihawk2,5.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p005p000mm\frame_0003_color.png,5,1,7.543644812218177e-06,0.00013549096419331356,0,
20260808_131913,ihawk2,10.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p010p000mm\frame_0001_color.png,5,1,1.751834543663532e-07,5.383845092559875e-07,0,
20260808_131913,ihawk2,10.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p010p000mm\frame_0002_color.png,5,1,5.08589838365147e-07,3.865155109841e-06,0,
20260808_131913,ihawk2,10.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p010p000mm\frame_0003_color.png,5,1,5.067383234530111e-07,5.657098620555242e-07,0,
20260808_131913,ihawk2,15.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p015p000mm\frame_0001_color.png,5,1,6.093171329658283e-07,7.30458869428372e-06,0,
20260808_131913,ihawk2,15.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p015p000mm\frame_0002_color.png,5,1,3.5455455564511567e-06,7.850123807521765e-06,0,
20260808_131913,ihawk2,15.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p015p000mm\frame_0003_color.png,5,1,4.5731417652793485e-07,3.973138610888679e-06,0,
20260808_131913,ihawk2,20.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p020p000mm\frame_0001_color.png,5,1,3.6084412451373367e-06,0.0006592394537836487,0,
20260808_131913,ihawk2,20.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p020p000mm\frame_0002_color.png,5,1,7.173899246531692e-06,0.0001482983974979475,0,
20260808_131913,ihawk2,20.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p020p000mm\frame_0003_color.png,5,1,6.702350418138675e-07,0.00016550850469415276,0,
20260808_131913,ihawk2,25.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p025p000mm\frame_0001_color.png,5,1,4.1001823949049045e-07,7.4294391371765136e-06,0,
20260808_131913,ihawk2,25.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p025p000mm\frame_0002_color.png,5,1,4.775705163236316e-07,5.797403734361742e-07,0,
20260808_131913,ihawk2,25.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p025p000mm\frame_0003_color.png,5,1,3.8324271314109147e-07,7.886329668143101e-06,0,
20260808_131913,ihawk2,30.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p030p000mm\frame_0001_color.png,5,1,5.470112146453193e-07,7.993715339269425e-06,0,
20260808_131913,ihawk2,30.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p030p000mm\frame_0002_color.png,5,1,3.594289852980471e-06,7.5102840631706765e-06,0,
20260808_131913,ihawk2,30.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p030p000mm\frame_0003_color.png,5,1,5.137018816548144e-07,8.315537278853712e-06,0,
20260808_131913,ihawk2,35.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p035p000mm\frame_0001_color.png,5,1,4.180641195543718e-06,0.00020505639386378372,0,
20260808_131913,ihawk2,35.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p035p000mm\frame_0002_color.png,5,1,5.78518312302458e-07,0.00012539911469743837,0,
20260808_131913,ihawk2,35.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p035p000mm\frame_0003_color.png,5,1,3.4073711587147084e-07,4.919464376814308e-07,0,
20260808_131913,ihawk2,40.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p040p000mm\frame_0001_color.png,5,1,4.281115714956927e-07,7.008489179311532e-05,0,
20260808_131913,ihawk2,40.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p040p000mm\frame_0002_color.png,5,1,8.551129271875666e-06,0.00223964587207652,0,
20260808_131913,ihawk2,40.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p040p000mm\frame_0003_color.png,5,1,5.125336989226296e-07,7.141994404949243e-05,0,
20260808_131913,ihawk2,45.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p045p000mm\frame_0001_color.png,5,1,4.2494512621520514e-07,0.000562549502528941,0,
20260808_131913,ihawk2,45.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p045p000mm\frame_0002_color.png,5,1,4.892047634829517e-07,5.885444232826258e-07,0,
