resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,xy_rmse_low_mm,xy_rmse_native_mm,downsampling_penalty_mm
r480x300,480,300,20260808_131913,ihawk1,Affine,0.0,11.29162612133197,11.452816135598814,-0.16119001426684498
r480x300,480,300,20260808_131913,ihawk1,Affine,5.0,12.035602641719406,12.1063590352082,-0.0707563934887947
r480x300,480,300,20260808_131913,ihawk1,Affine,10.0,16.31315279923807,16.57348509279924,-0.26033229356117005
r480x300,480,300,20260808_131913,ihawk1,Affine,25.0,33.84832184062037,34.08573281086368,-0.23741097024331026
r480x300,480,300,20260808_131913,ihawk1,Affine,35.0,45.994949937715376,45.55191626041042,0.44303367730495324
r480x300,480,300,20260808_131913,ihawk1,Affine,45.0,59.94993873796647,59.158526317204114,0.7914124207623559
r480x300,480,300,20260808_131913,ihawk1,Affine,50.0,65.69814314230236,65.9800017514009,-0.2818586090985491
r480x300,480,300,20260808_131913,ihawk1,Homography,0.0,0.41808842656687395,0.11799020171260795,0.300098224854266
r480x300,480,300,20260808_131913,ihawk1,Homography,5.0,4.35893015698354,4.631144502523335,-0.27221434553979496
r480x300,480,300,20260808_131913,ihawk1,Homography,10.0,12.959352651489692,13.22981026301348,-0.27045761152378844
r480x300,480,300,20260808_131913,ihawk1,Homography,25.0,36.442180356903805,36.764435700295735,-0.3222553433919302
r480x300,480,300,20260808_131913,ihawk1,Homography,35.0,51.175931793802285,51.34590669698436,-0.16997490318207298
r480x300,480,300,20260808_131913,ihawk1,Homography,45.0,68.87026459529663,68.73127624058522,0.13898835471141524
r480x300,480,300,20260808_131913,ihawk1,Homography,50.0,77.60213959935477,78.04981756794031,-0.44767796858553766
r480x300,480,300,20260808_131913,ihawk1,PnP,0.0,15.049329719664128,8.340385782249092,6.708943937415036
r480x300,480,300,20260808_131913,ihawk1,PnP,5.0,10.937440218681305,6.6059649244645,4.331475294216805
r480x300,480,300,20260808_131913,ihawk1,PnP,10.0,11.588838380012202,8.520438030424703,3.068400349587499
r480x300,480,300,20260808_131913,ihawk1,PnP,25.0,13.496593911893907,9.072661778652176,4.423932133241731
r480x300,480,300,20260808_131913,ihawk1,PnP,35.0,14.681089138722186,6.837855447160101,7.843233691562085
r480x300,480,300,20260808_131913,ihawk1,PnP,45.0,13.200504591949862,7.892245786031898,5.308258805917964
r480x300,480,300,20260808_131913,ihawk1,PnP,50.0,6.2786040702373125,6.606445749114683,-0.3278416788773706
r480x300,480,300,20260808_131913,ihawk2,Affine,0.0,12.711111730112187,12.721117958732739,-0.010006228620552449
r480x300,480,300,20260808_131913,ihawk2,Affine,5.0,13.500077600837498,13.507228907784697,-0.007151306947198677
r480x300,480,300,20260808_131913,ihawk2,Affine,10.0,17.92084824201826,17.950458775364673,-0.02961053334641406
r480x300,480,300,20260808_131913,ihawk2,Affine,15.0,21.457315599334166,21.434332797587942,0.022982801746223913
r480x300,480,300,20260808_131913,ihawk2,Affine,25.0,32.79080313475318,32.420994268832835,0.3698088659203478
r480x300,480,300,20260808_131913,ihawk2,Affine,30.0,36.96295841519248,37.07468848813281,-0.11173007294032544
r480x300,480,300,20260808_131913,ihawk2,Affine,35.0,40.28257047050594,39.765261102924725,0.5173093675812126
r480x300,480,300,20260808_131913,ihawk2,Affine,40.0,43.23192998916509,42.86826082880243,0.3636691603626616
r480x300,480,300,20260808_131913,ihawk2,Affine,45.0,48.060787265302714,48.06416196240074,-0.003374697098024626
r480x300,480,300,20260808_131913,ihawk2,Affine,50.0,56.10640484523961,55.86726470056347,0.23914014467614209
r480x300,480,300,20260808_131913,ihawk2,Homography,0.0,0.11169074395100287,0.05996151568449164,0.05172922826651123
r480x300,480,300,20260808_131913,ihawk2,Homography,5.0,4.945526944005523,4.95032815533951,-0.004801211333987254
