resolution_id,width_px,height_px,camera_id,height_gt_mm,n_marker_conditions,n_complete_marker_conditions,center_repeatability_rms_median_native_equiv_px,center_repeatability_rms_p95_native_equiv_px,corner_repeatability_rms_median_native_equiv_px,corner_repeatability_rms_p95_native_equiv_px,corner_repeatability_fraction_median,center_drift_from_native_median_px,center_drift_from_native_p95_px,corner_drift_from_native_median_px,corner_drift_from_native_p95_px
r640x400,640,400,ihawk1,0.0,25,25,0.012223596856225712,0.04652216010873143,0.024301755935511832,0.07792652243369888,0.0009913471516720513,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,5.0,25,25,0.011915513024813968,0.02715599702503355,0.02730730917203251,0.04938252631142546,0.0010302584624956007,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,10.0,25,25,0.013073306967766811,0.02791725136919626,0.026985066477528626,0.05254056503263887,0.001063504357484885,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,15.0,25,25,0.010295787435792361,0.058983069686659735,0.025434236485851306,0.10907318631434393,0.000997398360167114,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,20.0,25,25,0.01369613716130407,0.06091854674896921,0.028002681008634994,0.11813133198785414,0.000945576266755672,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,25.0,25,25,0.017717121698174132,0.3080988718226684,0.03616108321780732,0.5838225625650101,0.0015214672932235855,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,30.0,20,20,0.014622874295019603,0.061711295000848425,0.03000099892794603,0.1209676723280663,0.0011080076278289722,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,35.0,25,25,0.014425805053482699,0.3344027491087779,0.027437811569299447,0.6005566486243632,0.001060236541015965,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,40.0,25,25,0.01427217219732724,0.35035451981384597,0.026728030032995637,0.6897477132534244,0.0010391084890588487,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,45.0,25,25,0.015185243857209905,0.09764806070290194,0.028548709764009268,0.21169475324371773,0.001045164225992914,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,50.0,25,25,0.015590577342685567,0.22424859938505168,0.02794749470150323,0.44774729956122483,0.0010330088472670846,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk1,ALL,270,270,0.01382701511410043,0.14710670341779583,0.02737256037066598,0.2884156400958974,0.0010673469534869173,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,0.0,25,25,0.009401841971630595,0.01948501278427849,0.022065366788191418,0.04208755295077226,0.0005813108805059809,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,5.0,25,25,0.00948541553165522,0.020273593105451137,0.02045561439762016,0.04069051077138302,0.0006596845344944163,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,10.0,25,25,0.008741344911762773,0.018131039623757835,0.020719649222746234,0.036179874964090135,0.0006038664767302533,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,15.0,25,25,0.009731357606978653,0.0285080286715647,0.021339758525227976,0.05336223757494544,0.0006607011479671069,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,20.0,25,25,0.0104232211154736,0.014380110068717651,0.02056987142357606,0.02535876562739787,0.0006127877236261264,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,25.0,25,25,0.00899979083260271,0.014499784577427628,0.019291341092042346,0.030691736860054372,0.0006304365843461558,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,30.0,20,20,0.010254993048984942,0.018097338335811952,0.02085788585215666,0.03994532871825396,0.0006288896983525922,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,35.0,25,25,0.0107691365384021,0.022969258146021007,0.020374579301604603,0.039239251559388295,0.0006046556369272761,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,40.0,25,25,0.009903364886499219,0.015650204722742922,0.021092565330550487,0.02983215644261679,0.0006347664040448682,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,45.0,25,25,0.00836756973158342,0.014275132053417391,0.016227283560532615,0.028448848062430237,0.0005241526634846755,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,50.0,25,25,0.010042879463983263,0.025517016679962267,0.018817353031701234,0.04648867649656787,0.0006097977383584125,0.0,0.0,0.0,0.0
r640x400,640,400,ihawk2,ALL,270,270,0.009684458971554209,0.020880889767551016,0.020256124258431117,0.04206398524880246,0.0006045112822711623,0.0,0.0,0.0,0.0
r480x300,480,300,ihawk1,0.0,25,25,0.012501809412706571,0.19595933705427604,0.022888542769011793,0.39190481944497607,0.0009215803178662863,0.3368513278192779,1.4709952380238007,0.4486845536010036,2.369723884628364
r480x300,480,300,ihawk1,5.0,25,24,0.012951990423816687,0.3425745438248058,0.029256086792859418,0.686637355492015,0.0011444963645664053,0.547167274096449,1.4684173060204642,0.9751296680861654,1.8282053117995631
r480x300,480,300,ihawk1,10.0,25,24,0.020187723082825675,0.3301783239731889,0.03459143162590869,0.6612843854150395,0.0013238731485317066,0.5408287365642233,1.440694517331355,0.9991424055893627,2.4425187121094543
r480x300,480,300,ihawk1,15.0,25,24,0.013273782239754412,0.43401638519017033,0.032178742270316946,0.868318948346723,0.0011511842297766762,0.5564761041937218,1.1610310316504202,1.0264260992542726,1.9826346849613576
r480x300,480,300,ihawk1,20.0,25,23,0.0222187919843912,0.4683633958189773,0.037007051350860756,0.9325448438992125,0.001748902935063801,0.7280574100246197,1.4590030946330026,1.132387919935639,2.3711596184976185
r480x300,480,300,ihawk1,25.0,25,22,0.019293235075429325,0.3913156528228912,0.03376360600312095,0.7837915046613314,0.0012776981036975688,0.5167397283814797,1.587041115017128,1.2016472743485411,3.3715288966400663
r480x300,480,300,ihawk1,30.0,20,19,0.013511397506325379,0.4823353491757631,0.03198178734409196,0.9855144071311892,0.0012659379934752862,0.3647633531463218,1.2211122961131529,1.0408065296444935,2.229780299073306
r480x300,480,300,ihawk1,35.0,25,25,0.014590034107554736,0.17293671259761775,0.02546506414068682,0.3369556329448937,0.0009853410641313717,0.48906783812642773,1.2648041948544428,1.242454061604979,3.274078930234644
