resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,model,markers_per_frame,mapping_latency_median_ms,mapping_timing_outer_repeats,mapping_timing_inner_repeats,detection_latency_median_ms,pipeline_latency_ms
r640x400,640,400,20260808_131913,ihawk1,30.0,1,PnP,5,1.94647,5,50,4.9146,6.86107
r640x400,640,400,20260808_131913,ihawk1,30.0,2,Affine,5,0.019015999999999998,5,50,5.1341,5.153116
r640x400,640,400,20260808_131913,ihawk1,30.0,2,Homography,5,0.01773,5,50,5.1341,5.15183
r640x400,640,400,20260808_131913,ihawk1,30.0,2,PnP,5,1.422104,5,50,5.1341,6.556204
r640x400,640,400,20260808_131913,ihawk1,30.0,3,Affine,5,0.017054,5,50,5.1088,5.1258539999999995
r640x400,640,400,20260808_131913,ihawk1,30.0,3,Homography,5,0.0163,5,50,5.1088,5.1251
r640x400,640,400,20260808_131913,ihawk1,30.0,3,PnP,5,1.656746,5,50,5.1088,6.765546
r640x400,640,400,20260808_131913,ihawk1,35.0,1,Affine,5,0.017012,5,50,5.199,5.216012
r640x400,640,400,20260808_131913,ihawk1,35.0,1,Homography,5,0.01616,5,50,5.199,5.21516
r640x400,640,400,20260808_131913,ihawk1,35.0,1,PnP,5,1.314084,5,50,5.199,6.513084
r640x400,640,400,20260808_131913,ihawk1,35.0,2,Affine,5,0.017008000000000002,5,50,5.1306,5.147608
r640x400,640,400,20260808_131913,ihawk1,35.0,2,Homography,5,0.020541999999999998,5,50,5.1306,5.151142
r640x400,640,400,20260808_131913,ihawk1,35.0,2,PnP,5,1.543306,5,50,5.1306,6.673906000000001
r640x400,640,400,20260808_131913,ihawk1,35.0,3,Affine,5,0.01699,5,50,5.5317,5.54869
r640x400,640,400,20260808_131913,ihawk1,35.0,3,Homography,5,0.01841,5,50,5.5317,5.55011
r640x400,640,400,20260808_131913,ihawk1,35.0,3,PnP,5,1.355306,5,50,5.5317,6.8870059999999995
r640x400,640,400,20260808_131913,ihawk1,40.0,1,Affine,5,0.016972,5,50,5.6082,5.625172
r640x400,640,400,20260808_131913,ihawk1,40.0,1,Homography,5,0.01633,5,50,5.6082,5.62453
r640x400,640,400,20260808_131913,ihawk1,40.0,1,PnP,5,1.291268,5,50,5.6082,6.899468000000001
r640x400,640,400,20260808_131913,ihawk1,40.0,2,Affine,5,0.016944,5,50,5.3742,5.391144
r640x400,640,400,20260808_131913,ihawk1,40.0,2,Homography,5,0.016234,5,50,5.3742,5.390434
r640x400,640,400,20260808_131913,ihawk1,40.0,2,PnP,5,1.2596420000000002,5,50,5.3742,6.6338420000000005
r640x400,640,400,20260808_131913,ihawk1,40.0,3,Affine,5,0.029206,5,50,5.4819,5.511106000000001
r640x400,640,400,20260808_131913,ihawk1,40.0,3,Homography,5,0.016413999999999998,5,50,5.4819,5.498314000000001
r640x400,640,400,20260808_131913,ihawk1,40.0,3,PnP,5,1.45569,5,50,5.4819,6.93759
r640x400,640,400,20260808_131913,ihawk1,45.0,1,Affine,5,0.017103999999999998,5,50,5.5376,5.554704
r640x400,640,400,20260808_131913,ihawk1,45.0,1,Homography,5,0.020276000000000002,5,50,5.5376,5.557876
r640x400,640,400,20260808_131913,ihawk1,45.0,1,PnP,5,1.588178,5,50,5.5376,7.125778
r640x400,640,400,20260808_131913,ihawk1,45.0,2,Affine,5,0.016972,5,50,5.1226,5.139572
r640x400,640,400,20260808_131913,ihawk1,45.0,2,Homography,5,0.016156,5,50,5.1226,5.138756
r640x400,640,400,20260808_131913,ihawk1,45.0,2,PnP,5,1.314524,5,50,5.1226,6.437124000000001
r640x400,640,400,20260808_131913,ihawk1,45.0,3,Affine,5,0.017124,5,50,5.0287,5.045824
r640x400,640,400,20260808_131913,ihawk1,45.0,3,Homography,5,0.017384,5,50,5.0287,5.046084
r640x400,640,400,20260808_131913,ihawk1,45.0,3,PnP,5,1.2683119999999999,5,50,5.0287,6.297012
r640x400,640,400,20260808_131913,ihawk1,50.0,1,Affine,5,0.019292,5,50,5.8473,5.866592
r640x400,640,400,20260808_131913,ihawk1,50.0,1,Homography,5,0.018009999999999998,5,50,5.8473,5.86531
r640x400,640,400,20260808_131913,ihawk1,50.0,1,PnP,5,1.189002,5,50,5.8473,7.036301999999999
r640x400,640,400,20260808_131913,ihawk1,50.0,2,Affine,5,0.017072,5,50,5.1947,5.211772
r640x400,640,400,20260808_131913,ihawk1,50.0,2,Homography,5,0.016352,5,50,5.1947,5.2110520000000005
r640x400,640,400,20260808_131913,ihawk1,50.0,2,PnP,5,1.247762,5,50,5.1947,6.442462
r640x400,640,400,20260808_131913,ihawk1,50.0,3,Affine,5,0.017084,5,50,5.1133,5.130383999999999
r640x400,640,400,20260808_131913,ihawk1,50.0,3,Homography,5,0.01635,5,50,5.1133,5.12965
r640x400,640,400,20260808_131913,ihawk1,50.0,3,PnP,5,1.161146,5,50,5.1133,6.274445999999999
r640x400,640,400,20260808_131913,ihawk2,0.0,1,Affine,5,0.01721,5,50,4.2565,4.27371
r640x400,640,400,20260808_131913,ihawk2,0.0,1,Homography,5,0.016295999999999998,5,50,4.2565,4.272796
r640x400,640,400,20260808_131913,ihawk2,0.0,1,PnP,5,1.1626640000000001,5,50,4.2565,5.419164
