resolution_id,width_px,height_px,camera_id,model,height_gt_mm,n_independent_rebuilds,xy_rmse_mean_mm,xy_rmse_sd_mm,xy_rmse_median_mm,xy_rmse_p95_across_rebuilds_mm,xy_rmse_min_mm,xy_rmse_max_mm
r640x400,640,400,ihawk1,Affine,0.0,5,11.498205684738931,0.10580218809305643,11.452816135598814,11.641533751508653,11.439351828298681,11.68701645332927
r640x400,640,400,ihawk1,Affine,5.0,5,13.832750752975244,1.5909704094280286,13.512964485790368,15.880418310760971,12.1063590352082,16.454458966968538
r640x400,640,400,ihawk1,Affine,10.0,5,17.44977746289596,1.4318594441695083,17.008080462907508,19.40449445328279,16.541511702013334,19.965554069884753
r640x400,640,400,ihawk1,Affine,15.0,5,23.598850860816864,1.5745893334994945,23.434205356625775,25.662129522959457,22.013039857944605,26.21227240460973
r640x400,640,400,ihawk1,Affine,20.0,5,29.380829059835627,1.7165299827691407,29.32134870593869,31.562334592797797,27.765752062613153,31.967638336765756
r640x400,640,400,ihawk1,Affine,25.0,5,35.87551305325613,1.902206812618771,36.94409092734234,37.58824129978099,33.56821402355165,37.720559664793996
r640x400,640,400,ihawk1,Affine,30.0,4,42.41449302091132,1.3116886341427558,42.37612374626413,43.629216918088936,41.24129220582179,43.66443238529526
r640x400,640,400,ihawk1,Affine,35.0,5,48.692302041362886,2.783174993453647,49.47647884813912,51.890443220166276,45.55191626041042,52.457832088045436
r640x400,640,400,ihawk1,Affine,40.0,5,55.67031423064439,2.5845198301613075,55.73091792490056,58.755242696523936,52.25387437716749,59.3634920688673
r640x400,640,400,ihawk1,Affine,45.0,5,63.717290684535875,3.2902572127818344,63.652428408378604,67.56624056354431,59.158526317204114,68.39797866221284
r640x400,640,400,ihawk1,Affine,50.0,5,69.63001894966959,3.0705795600746075,69.18755780065028,73.53195339918238,65.9800017514009,74.44702567090616
r640x400,640,400,ihawk1,Homography,0.0,5,0.15014713903011528,0.12581352489557082,0.10718649271799102,0.3216514062833197,0.06884485022262021,0.3725667074259977
r640x400,640,400,ihawk1,Homography,5.0,5,8.112861037744555,2.7341478642801,7.919292755444127,11.441453879393661,4.631144502523335,12.304936187942097
r640x400,640,400,ihawk1,Homography,10.0,5,14.327110213673341,1.994102069222818,13.38722695986342,17.079979414135046,13.112566521581163,17.831316582255525
r640x400,640,400,ihawk1,Homography,15.0,5,23.020321400000817,1.7016412426634204,22.684142753501753,25.234517612290098,21.245479681755235,25.855843738338315
r640x400,640,400,ihawk1,Homography,20.0,5,30.57865853307873,2.177206517688629,30.498327113412987,33.41104803662469,28.546346905250903,34.04551404058577
r640x400,640,400,ihawk1,Homography,25.0,5,38.52508077030461,2.1737600409580256,39.66857430421008,40.48358456953239,35.66509607488034,40.63020835850835
r640x400,640,400,ihawk1,Homography,30.0,4,46.693049598549884,1.4564934585473694,46.72248982153279,48.03466258031784,45.25370466253468,48.07351408859926
r640x400,640,400,ihawk1,Homography,35.0,5,54.58259527525787,3.2150635612842913,54.92184014942024,58.54410643501662,51.34590669698436,59.2989305517773
r640x400,640,400,ihawk1,Homography,40.0,5,63.74309327083605,3.1760527438215096,63.7467245770848,67.68182426928449,59.90243060898137,68.49782847251565
r640x400,640,400,ihawk1,Homography,45.0,5,74.18407733721776,4.064586231368395,73.96639931697712,79.03019030761278,68.73127624058522,80.17431851502944
r640x400,640,400,ihawk1,Homography,50.0,5,81.97339674218152,3.920223236849604,81.45288728348766,87.13723014465889,78.04981756794031,88.47602432586618
r640x400,640,400,ihawk1,PnP,0.0,5,7.721549406964773,1.3624653103121667,8.340385782249092,8.658761187000637,5.407024224891659,8.675263951338342
