profile,resolution_id,width_px,height_px,camera_id,model,height_gt_mm,n_independent_rebuilds,xy_rmse_p95_observed_mm,xy_rmse_p95_limit_mm,marker_detection_rate,marker_detection_rate_min,pipeline_latency_p95_ms,pipeline_latency_p95_limit_ms,feasible,failed_gates
precision_30hz,r640x400,640,400,ihawk2,Affine,50.0,5,58.47315366217059,2.0,1.0,0.99,6.1334257,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,0.0,5,0.15429247332113802,2.0,1.0,0.99,6.133105700000001,33.3,1,
precision_30hz,r640x400,640,400,ihawk2,Homography,5.0,5,8.058692778791915,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,10.0,5,13.096924992084721,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,15.0,5,19.728667855847018,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,20.0,5,26.395352630383737,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,25.0,5,32.75526013874384,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,30.0,4,39.402726465917624,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,35.0,5,45.89749526553695,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,40.0,5,52.30301236762927,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,45.0,5,59.703488302372484,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,Homography,50.0,5,66.88267743490505,2.0,1.0,0.99,6.133105700000001,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,0.0,5,3.4575647576720163,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,5.0,5,7.119121919713057,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,10.0,5,6.439792810102411,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,15.0,5,5.977481976130216,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,20.0,5,6.8174775814865285,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,25.0,5,6.694009211252107,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
