resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,marker_id,n_expected_frames,n_detected_frames,complete_three_frame_detection,center_repeatability_rms_native_equiv_px,corner_repeatability_rms_native_equiv_px,median_marker_side_native_equiv_px,corner_repeatability_fraction_of_marker_side,center_drift_from_native_median_px,corner_drift_from_native_median_px
r160x100,160,100,20260808_131913,ihawk2,0.0,0,3,3,1,0.015275155614890618,0.026837017001213225,37.97874713717785,0.0007066324990732027,1.137275990223257,2.5099381810317634
r160x100,160,100,20260808_131913,ihawk2,0.0,1,3,3,1,0.015267484200790712,0.03029325692715907,27.00125491613293,0.0011219203337493476,1.4214485241109702,3.4741995627933444
r160x100,160,100,20260808_131913,ihawk2,0.0,2,3,3,1,0.010275970919385351,0.02623614963832477,37.44244804984346,0.0007007060436699852,0.10125032116734524,1.054985842518502
r160x100,160,100,20260808_131913,ihawk2,0.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,0.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,5.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,5.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,5.0,2,3,3,1,0.014819761043556359,0.028730657909550605,36.876250620820656,0.0007791100620551977,0.8844834461201069,1.9525333919382706
r160x100,160,100,20260808_131913,ihawk2,5.0,3,3,3,1,0.006999553583755664,0.015160959924984035,25.663585165563205,0.0005907576757953458,0.44646701835848845,1.6104082282785805
r160x100,160,100,20260808_131913,ihawk2,5.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,10.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,10.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,10.0,2,3,3,1,0.009362559292831103,0.018060730566707275,36.90804325261605,0.0004893440284300937,0.7203739411201967,1.953288440422387
r160x100,160,100,20260808_131913,ihawk2,10.0,3,3,3,1,0.006940972330246736,0.020309510021146008,25.65792436469969,0.0007915492201344214,0.7194552661578534,1.772052334749242
r160x100,160,100,20260808_131913,ihawk2,10.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,15.0,0,3,3,1,0.021803639042892117,0.04429837365407387,38.63111129082158,0.0011467020278186713,0.7689781260874923,2.535739685416245
r160x100,160,100,20260808_131913,ihawk2,15.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,15.0,2,3,3,1,0.029931082909611786,0.05527146706216006,36.2539809236592,0.0015245627005361535,0.4705630001483687,1.8934024317498714
r160x100,160,100,20260808_131913,ihawk2,15.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,15.0,4,3,3,1,0.006303150294231129,0.01026874558384267,29.770948492981987,0.00034492503946467675,0.9970230459471638,1.8992989970439125
r160x100,160,100,20260808_131913,ihawk2,20.0,0,3,3,1,0.014135357386297074,0.023219627429359985,38.0711111984485,0.0006099014895658273,0.8143434345254728,2.3128798521848304
r160x100,160,100,20260808_131913,ihawk2,20.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,20.0,2,3,3,1,0.012610231902733486,0.022766881434913275,36.510744897943695,0.0006235666102828682,0.34929261445827064,1.7570304275908735
r160x100,160,100,20260808_131913,ihawk2,20.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,20.0,4,3,3,1,0.006563347975816739,0.011151151164659206,29.532407701654286,0.000377590316282765,1.1319077591010565,2.123258457217125
r160x100,160,100,20260808_131913,ihawk2,25.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,25.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,25.0,2,3,3,1,0.2021912056272404,0.3834580530077139,38.3037460370918,0.010010980457012968,0.7108426456524591,1.9718064975439495
r160x100,160,100,20260808_131913,ihawk2,25.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,25.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,30.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,30.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,30.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,30.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,30.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,35.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,35.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,35.0,2,3,3,1,0.02013574926209289,0.03485640874514768,39.63062112015143,0.0008795322344171851,1.9376510702692022,4.2629829561215855
r160x100,160,100,20260808_131913,ihawk2,35.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,35.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,40.0,0,3,3,1,0.024760526220459336,0.044531602037815525,43.54045775967544,0.0010227637541986988,2.352904544439339,4.956536048253087
r160x100,160,100,20260808_131913,ihawk2,40.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,40.0,2,3,3,1,0.010064169758928248,0.019254912423916158,39.26205239949951,0.0004904204249944307,1.4204555617853412,3.0430321172263852
r160x100,160,100,20260808_131913,ihawk2,40.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,40.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,45.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,45.0,1,3,3,1,0.006660351698317386,0.026719183168887536,28.572579351244105,0.0009351337462546633,0.9919977037452024,2.5405024892476344
r160x100,160,100,20260808_131913,ihawk2,45.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,45.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,45.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,50.0,0,3,3,1,0.007847425794535278,0.02746782389738596,45.41798115814742,0.0006047786184450115,3.5788892072941594,6.671537776904321
r160x100,160,100,20260808_131913,ihawk2,50.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,50.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,50.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_131913,ihawk2,50.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,0.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,0.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,0.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,0.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,0.0,4,3,3,1,0.025207376043523494,0.05630563139947278,24.397291367904735,0.002307864039101664,1.0295618285664696,2.0031071350036114
r160x100,160,100,20260808_141232,ihawk1,5.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,5.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,5.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,5.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,5.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,10.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,10.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,10.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,10.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,10.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,15.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,15.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,15.0,2,3,0,0,nan,nan,nan,nan,nan,nan
