resolution_id,width_px,height_px,camera_id,model,summary_type,height_gt_mm,n_paired_rebuilds,downsampling_penalty_mean_mm,downsampling_penalty_median_mm,downsampling_penalty_p95_mm,penalty_vs_height_slope_mean_mm_per_mm,penalty_vs_height_slope_sd_mm_per_mm,amplification_0_to_50_mean_mm,amplification_0_to_50_sd_mm
r480x300,480,300,ihawk2,Homography,height_specific,5.0,5,0.1210642067900622,-0.004801211333987254,0.4506405756233425,,,,
r480x300,480,300,ihawk2,Homography,height_specific,10.0,5,0.24243039177195555,-0.0605347667564029,0.7723754409100181,,,,
r480x300,480,300,ihawk2,Homography,height_specific,15.0,5,0.17028652451247978,-0.030119621300659816,0.5637222921923388,,,,
r480x300,480,300,ihawk2,Homography,height_specific,20.0,4,0.13041426612274076,0.05396567236445371,0.5478038335883092,,,,
r480x300,480,300,ihawk2,Homography,height_specific,25.0,5,0.7641681997557598,0.8862729363547359,1.1271893026812314,,,,
r480x300,480,300,ihawk2,Homography,height_specific,30.0,4,0.4955972572462457,0.5848366678369139,0.7338885246919037,,,,
r480x300,480,300,ihawk2,Homography,height_specific,35.0,5,0.6444104771389008,0.6786047046537007,1.011327681766113,,,,
r480x300,480,300,ihawk2,Homography,height_specific,40.0,5,0.3573569248177577,0.27509812010592327,0.8548448450309266,,,,
r480x300,480,300,ihawk2,Homography,height_specific,45.0,5,0.38185933489987034,0.32204899368206696,0.8641464606420199,,,,
r480x300,480,300,ihawk2,Homography,height_specific,50.0,5,0.3039077177260481,0.4565505000016401,0.6648211684172423,,,,
r480x300,480,300,ihawk2,Homography,height_amplification,ALL,5,,,,0.0075233151802013894,0.013767533684963723,0.30102266330317845,0.35042258160831397
r480x300,480,300,ihawk2,PnP,height_specific,0.0,5,0.7476481795901224,0.7506234515190986,1.2312062130284764,,,,
r480x300,480,300,ihawk2,PnP,height_specific,5.0,5,1.4442892415979833,0.5688138360081467,4.302522486969658,,,,
r480x300,480,300,ihawk2,PnP,height_specific,10.0,5,2.298014604706661,0.8040799931087701,5.044811933481622,,,,
r480x300,480,300,ihawk2,PnP,height_specific,15.0,5,1.8873169001442225,0.6643194694815668,5.382292417471545,,,,
r480x300,480,300,ihawk2,PnP,height_specific,20.0,4,1.4849284584234776,1.3311415783670317,2.624886925915018,,,,
r480x300,480,300,ihawk2,PnP,height_specific,25.0,5,8.021620516495442,8.436400405120567,10.484735251941599,,,,
r480x300,480,300,ihawk2,PnP,height_specific,30.0,4,5.803283952168568,5.796874875757435,9.431419541823676,,,,
r480x300,480,300,ihawk2,PnP,height_specific,35.0,5,4.666547757410382,5.800667423370227,6.69138151182617,,,,
r480x300,480,300,ihawk2,PnP,height_specific,40.0,5,4.412057001259397,4.706806047469309,6.221730184735627,,,,
r480x300,480,300,ihawk2,PnP,height_specific,45.0,5,1.1740560909108324,2.638324913225694,3.770951982047402,,,,
r480x300,480,300,ihawk2,PnP,height_specific,50.0,5,1.784320116908523,1.5337434239372252,3.615769813600821,,,,
r480x300,480,300,ihawk2,PnP,height_amplification,ALL,5,,,,0.03516007284618182,0.08047671221120373,1.0366719373184006,1.8344707886780756
r320x200,320,200,ihawk1,Affine,height_specific,0.0,1,0.09337700344163125,0.09337700344163125,0.09337700344163125,,,,
r320x200,320,200,ihawk1,Affine,height_specific,5.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Affine,height_specific,10.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Affine,height_specific,15.0,0,nan,nan,nan,,,,
