camera_id,height_gt_mm,run_id,xy_rmse_mm,z_rmse_mm,error3d_rmse_mm
ihawk1,0.0,20260808_131913,8.340325381247458,5.059083832485574,9.75476071921795
ihawk1,0.0,20260808_141232,5.407011693290463,3.959781672941913,6.701913633339844
ihawk1,0.0,20260808_145501,8.592824369342713,5.151459471876333,10.018690799338723
ihawk1,0.0,20260808_151001,8.675267084335214,5.128463527757312,10.077767468050004
ihawk1,0.0,20260808_162715,7.59233309829828,4.697477394638124,8.928035380118727
ihawk1,5.0,20260808_131913,6.605960257487178,5.641978030804232,8.687383209205038
ihawk1,5.0,20260808_141232,14.137677074696587,5.874234187330766,15.309491838595001
ihawk1,5.0,20260808_145501,7.867512968015853,4.451582247748756,9.039598708480897
ihawk1,5.0,20260808_151001,11.306212715399488,7.212297628064252,13.410730145731899
ihawk1,5.0,20260808_162715,7.710717747581894,4.337546914736488,8.847004092935327
ihawk1,10.0,20260808_131913,8.520431250456756,5.755167592052556,10.282008690249784
ihawk1,10.0,20260808_141232,11.736905875996305,5.5779593073849565,12.99494477005728
ihawk1,10.0,20260808_145501,4.469180010630344,3.9790208221536085,5.98382625671483
ihawk1,10.0,20260808_151001,8.962568553883859,5.996166963252578,10.78339711474401
ihawk1,10.0,20260808_162715,9.45408492582196,7.314696714483817,11.953430880275937
ihawk1,15.0,20260808_131913,7.741190093271269,5.431553076586224,9.456626929510042
ihawk1,15.0,20260808_141232,12.289738070368358,5.848351907518951,13.610322621908779
ihawk1,15.0,20260808_145501,9.205902182434892,5.633753161110716,10.792951851689349
ihawk1,15.0,20260808_151001,6.2011585888745,4.183206906318876,7.480213089574783
ihawk1,15.0,20260808_162715,9.583495523501401,5.701118908312157,11.151060185277712
ihawk1,20.0,20260808_131913,8.99704430420057,5.587144028357932,10.590702743697587
ihawk1,20.0,20260808_141232,12.519296226477735,5.927546578246664,13.851663670605905
ihawk1,20.0,20260808_145501,9.862427541787948,5.820283696579009,11.45177625199169
ihawk1,20.0,20260808_151001,9.721334805278667,6.809845902035385,11.8692186602906
ihawk1,20.0,20260808_162715,10.343090497333206,6.093080158374388,12.004380319383426
ihawk1,25.0,20260808_131913,9.079101328998155,4.36341070669166,10.07320375736972
ihawk1,25.0,20260808_141232,8.032042187422922,4.679434658807512,9.295741521072463
ihawk1,25.0,20260808_145501,10.804002811335078,5.908420501852816,12.314053336495297
ihawk1,25.0,20260808_151001,6.849149313596237,5.94574649593005,9.0698813505911
ihawk1,25.0,20260808_162715,9.487663067419764,5.541167162454242,10.987278280044709
ihawk1,30.0,20260808_131913,9.997054236977622,6.146971701662125,11.735687219677729
ihawk1,30.0,20260808_141232,10.8528900108952,6.560439567222585,12.681663491189493
ihawk1,30.0,20260808_145501,12.388014030236082,7.698129141780539,14.585063726184291
ihawk1,30.0,20260808_151001,8.761034836662644,6.7283426850077115,11.046552706438023
ihawk1,30.0,20260808_162715,10.103408263997904,5.569829748020535,11.536978025937106
ihawk1,35.0,20260808_131913,6.837956267667982,5.93395669482185,9.05370023661933
ihawk1,35.0,20260808_141232,16.66825277910443,8.542039422060114,18.729577896902846
ihawk1,35.0,20260808_145501,7.9803081302709105,4.799850766853793,9.312565985706353
ihawk1,35.0,20260808_151001,8.650278537979004,7.423255983449823,11.398773977075068
ihawk1,35.0,20260808_162715,9.943840436837117,5.967079189664063,11.596809763421962
ihawk1,40.0,20260808_131913,10.858039439825275,6.640797633295664,12.727812604025345
ihawk1,40.0,20260808_141232,10.181770750189715,5.610699630741559,11.625334659949463
ihawk1,40.0,20260808_145501,9.706351177492648,6.441008559150801,11.649027617782817
ihawk1,40.0,20260808_151001,10.878016646718338,7.541994559294,13.236802034430431
ihawk1,40.0,20260808_162715,7.043966200040131,4.642025303954749,8.43598593822109
ihawk1,45.0,20260808_131913,7.892178577183061,7.061314960973999,10.59002604681511
ihawk1,45.0,20260808_141232,14.963712882813391,6.550682643069727,16.334752717120956
ihawk1,45.0,20260808_145501,10.215372825551956,6.0202135321213275,11.857352695157639
ihawk1,45.0,20260808_151001,9.0207437861748,6.013393426340668,10.841343042066717
ihawk1,45.0,20260808_162715,7.309155147403348,4.671293704702903,8.674372244975991
ihawk1,50.0,20260808_131913,6.603113503196269,6.32119233076023,9.14103825714316
ihawk1,50.0,20260808_141232,16.05464307422439,7.716098031155004,17.812628471596643
ihawk1,50.0,20260808_145501,10.662368205660973,7.713571668004508,13.15998797987794
ihawk1,50.0,20260808_151001,10.480541969658452,6.450267274398223,12.30640921995303
ihawk1,50.0,20260808_162715,9.347274601589412,6.467164947069694,11.366431494982296
ihawk2,0.0,20260808_131913,3.1506340988071644,3.019929466130757,4.364226071707472
ihawk2,0.0,20260808_141232,3.208559254863774,2.9209827842155653,4.339008287345818
ihawk2,0.0,20260808_145501,3.4956226320953037,3.169309640897846,4.718463858704964
ihawk2,0.0,20260808_151001,3.3095479077509258,3.1721817026148784,4.58430410292589
ihawk2,0.0,20260808_162715,2.895017789132072,2.792553972261461,4.022373141241923
ihawk2,5.0,20260808_131913,4.021488106384301,4.429646061321766,5.982819637794025
ihawk2,5.0,20260808_141232,5.868760665895571,3.267931878635949,6.717271061745841
ihawk2,5.0,20260808_145501,3.5529560786373304,2.995105096407402,4.646950767465861
ihawk2,5.0,20260808_151001,2.5505233050391047,2.368448153416198,3.4806200288121363
ihawk2,5.0,20260808_162715,7.431658678646156,6.126192816007587,9.631188355275775
ihawk2,10.0,20260808_131913,6.235147588604909,3.68355265832939,7.241935213627027
ihawk2,10.0,20260808_141232,4.51787633118072,3.0073735407652835,5.427292341263559
ihawk2,10.0,20260808_145501,1.8997023197142415,3.1717730244883766,3.69716283417431
ihawk2,10.0,20260808_151001,2.5432520616750756,3.465920484996876,4.298922639166179
ihawk2,10.0,20260808_162715,6.490990110210061,5.471848416329305,8.48964532251674
ihawk2,15.0,20260808_131913,6.010835015843663,4.2893893900656215,7.3843753241083165
ihawk2,15.0,20260808_141232,5.843843167906155,3.8320876839910714,6.988232894579252
ihawk2,15.0,20260808_145501,3.1167999327588984,3.8682051085515474,4.967640544833147
ihawk2,15.0,20260808_151001,3.9846993634740078,3.19125245984438,5.1050877837440725
ihawk2,15.0,20260808_162715,5.693653518825825,3.314354776207824,6.5880678483914625
ihawk2,20.0,20260808_131913,7.126688901776607,3.698140688255144,8.029068392586657
ihawk2,20.0,20260808_141232,5.57979094966208,3.7026304802264116,6.696531902039481
ihawk2,20.0,20260808_145501,3.0606871122399504,3.162223206729523,4.400847782894845
ihawk2,20.0,20260808_151001,3.387483363385559,4.477283756554803,5.614366693931154
ihawk2,20.0,20260808_162715,5.501509540870136,3.721117105532452,6.64178588493873
ihawk2,25.0,20260808_131913,7.0647610593738674,3.586926147138372,7.9231867333207715
ihawk2,25.0,20260808_141232,4.596881690633235,3.424123771982079,5.732010544611014
ihawk2,25.0,20260808_145501,5.210851663368924,3.9421397350775793,6.534021789718198
ihawk2,25.0,20260808_151001,2.4101064293330836,4.441954273251683,5.053669040051154
ihawk2,25.0,20260808_162715,4.648507709235255,2.89858391722521,5.478176032952596
ihawk2,30.0,20260808_131913,5.945105196126261,3.6986001789951026,7.001708297056517
ihawk2,30.0,20260808_141232,7.012610467989883,5.287531617437596,8.782636061067516
ihawk2,30.0,20260808_145501,2.5648334836018396,3.464403043544313,4.310505683411662
ihawk2,30.0,20260808_151001,2.0147659568077287,3.39124384854034,3.944593350520946
ihawk2,30.0,20260808_162715,5.38969014025932,3.210200285578033,6.273288267052123
ihawk2,35.0,20260808_131913,4.534130476516311,3.64503478189072,5.817612718226194
ihawk2,35.0,20260808_141232,5.131687596888043,4.014741054148571,6.515547814567902
ihawk2,35.0,20260808_145501,3.2840951074323694,3.831363644628218,5.046248909045217
ihawk2,35.0,20260808_151001,2.8212382551575197,4.170587311104574,5.035194515796855
ihawk2,35.0,20260808_162715,5.885385003905355,3.6972554260964996,6.950356417479181
ihawk2,40.0,20260808_131913,3.815566077805218,2.917181559494853,4.802967077250761
ihawk2,40.0,20260808_141232,4.67456464217411,3.5914131171264456,5.894896332568729
ihawk2,40.0,20260808_145501,3.258457290632158,3.3839271521667196,4.697712942065003
ihawk2,40.0,20260808_151001,3.387088997676057,2.825346967106498,4.410777410243695
ihawk2,40.0,20260808_162715,7.399159568747047,6.861536815824649,10.090998454003353
ihawk2,45.0,20260808_131913,4.00395718107181,3.959594936457289,5.631169076548379
ihawk2,45.0,20260808_141232,13.53768480213249,8.47165918587178,15.969906673598773
ihawk2,45.0,20260808_145501,1.7607642244175794,3.1627623999052696,3.6198558883253047
ihawk2,45.0,20260808_151001,3.7991828130158463,3.4136226632189977,5.107505235783647
ihawk2,45.0,20260808_162715,4.182631496300935,2.5071687418586026,4.876505032705437
ihawk2,50.0,20260808_131913,5.714902461754741,3.730162965019492,6.824531184848772
ihawk2,50.0,20260808_141232,4.944286466197831,3.457884994109948,6.03348467241923
ihawk2,50.0,20260808_145501,3.226921200943938,4.348150020015805,5.414741825208744
ihawk2,50.0,20260808_151001,4.8676325256380455,4.1217054963846005,6.378267994022863
ihawk2,50.0,20260808_162715,3.9638019196073335,3.6051418486610167,5.358056868571829
