run_id,camera_id,model,height_gt_mm,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,xy_max_mm,z_mae_mm,z_rmse_mm,error3d_rmse_mm
20260808_131913,ihawk1,Affine,0.0,11.149673673665763,11.452816172965198,10.876515458650209,14.972229556639306,15.837920052950912,,,
20260808_131913,ihawk1,Affine,5.0,11.836043619626265,12.106357542158769,12.121754542339414,14.437802248833856,14.653161119570578,,,
20260808_131913,ihawk1,Affine,10.0,14.201825615648607,16.573485059004792,19.36829534222731,22.07445464405262,22.169853020367956,,,
20260808_131913,ihawk1,Affine,15.0,19.041137363324577,22.013277358462634,25.586164551219795,29.00910227385541,29.125912002035363,,,
20260808_131913,ihawk1,Affine,20.0,25.587613047545023,27.90832779757933,31.734665639055898,35.64867211819403,35.72522788758127,,,
20260808_131913,ihawk1,Affine,25.0,32.20972318816824,34.088664687889874,39.75667064883368,41.64555884407027,41.83199790081552,,,
20260808_131913,ihawk1,Affine,30.0,39.74423096667867,41.32215487048855,46.18642291491003,49.672767311550125,49.97368542941973,,,
20260808_131913,ihawk1,Affine,35.0,44.159407957666,45.5534615392151,51.06060389932966,53.86215779651176,54.29881592703743,,,
20260808_131913,ihawk1,Affine,40.0,51.14609105576169,52.3894482938333,58.647819874268215,60.71577071230842,61.22519407072047,,,
20260808_131913,ihawk1,Affine,45.0,57.96319053119074,59.15852660547479,65.18551036407928,67.38310033810995,67.5569946558315,,,
20260808_131913,ihawk1,Affine,50.0,64.92852483822185,65.98026917921139,72.44079422273556,74.16097957288623,74.44671709996109,,,
20260808_131913,ihawk1,Homography,0.0,0.11020849838795102,0.11799062889959727,0.10082881323665395,0.17386211036501556,0.19211492296229551,,,
20260808_131913,ihawk1,Homography,5.0,4.439157861990752,4.631145114738194,4.06180844356666,6.181206020056837,6.357506962808276,,,
20260808_131913,ihawk1,Homography,10.0,12.955383329339687,13.229807969771826,12.38093140558121,16.354378398135864,16.646280262229983,,,
20260808_131913,ihawk1,Homography,15.0,20.74382879942091,21.245749440972848,19.609904066571676,26.615060732168597,27.056895683835183,,,
20260808_131913,ihawk1,Homography,20.0,28.325355754167028,28.929948904743043,27.405136866995022,35.77472883841205,36.35971501648459,,,
20260808_131913,ihawk1,Homography,25.0,36.0975502022027,36.76737752923917,34.35718009964786,45.170950854142795,46.10563271799492,,,
20260808_131913,ihawk1,Homography,30.0,44.930946503345595,45.630073018597436,43.68508022742196,55.396435361488265,56.86544166361867,,,
20260808_131913,ihawk1,Homography,35.0,50.40274911902361,51.3469469941547,48.64870602753541,63.01234464046924,64.20971644750009,,,
20260808_131913,ihawk1,Homography,40.0,58.890305402890704,60.009290632907096,56.7412501438673,73.51144854481211,74.78199969256663,,,
20260808_131913,ihawk1,Homography,45.0,67.43720760836172,68.73127689576154,64.64283007003486,83.68936481505627,84.57503097717793,,,
20260808_131913,ihawk1,Homography,50.0,76.5955358581533,78.05006521317743,73.66707035803351,95.83796168619907,97.73188737847398,,,
20260808_131913,ihawk1,PnP,0.0,6.800073177094991,8.340325381247458,3.646805148111246,14.146819943419475,15.53870767797573,4.403369902320234,5.059083832485574,9.75476071921795
20260808_131913,ihawk1,PnP,5.0,5.501930144450907,6.605960257487178,3.7030479655298385,10.37471306268242,10.752228772414457,5.448938530089005,5.641978030804232,8.687383209205038
20260808_131913,ihawk1,PnP,10.0,6.894241165751977,8.520431250456756,5.104299416312685,14.406069552914088,15.967552987268386,5.097749805859832,5.755167592052556,10.282008690249784
20260808_131913,ihawk1,PnP,15.0,6.400888943543764,7.741190093271269,4.812660304956761,12.962926616214517,14.534901036885424,5.065693002592947,5.431553076586224,9.456626929510042
20260808_131913,ihawk1,PnP,20.0,7.8628315280850645,8.99704430420057,8.23055539548993,13.655637192960661,14.643624858176329,4.902648009707194,5.587144028357932,10.590702743697587
20260808_131913,ihawk1,PnP,25.0,7.481536655272518,9.079101328998155,6.6367984369168616,15.088365877702556,17.074791056312254,3.4450773911999213,4.36341070669166,10.07320375736972
20260808_131913,ihawk1,PnP,30.0,8.747754182908128,9.997054236977622,7.382699961497989,15.427512974342324,16.31893845592104,5.6892646625846925,6.146971701662125,11.735687219677729
20260808_131913,ihawk1,PnP,35.0,5.588664729075122,6.837956267667982,5.03423665394013,11.126224744557947,12.528699663219255,5.406676539809681,5.93395669482185,9.05370023661933
20260808_131913,ihawk1,PnP,40.0,8.757301299521968,10.858039439825275,3.976464866645569,18.222340983135105,19.60475855261275,5.678857113923819,6.640797633295664,12.727812604025345
20260808_131913,ihawk1,PnP,45.0,5.935011598580273,7.892178577183061,3.969099137961259,13.816885501879419,15.918437073518334,6.4011187040897095,7.061314960973999,10.59002604681511
20260808_131913,ihawk1,PnP,50.0,5.187724368904318,6.603113503196269,3.2417172062257555,11.473732026726854,13.18261894910718,5.9014915983325835,6.32119233076023,9.14103825714316
20260808_131913,ihawk2,Affine,0.0,12.318431900734883,12.721165267214712,12.147687105257976,15.583855966057115,15.71626955136407,,,
20260808_131913,ihawk2,Affine,5.0,13.336151701329726,13.507193366714496,13.345664694585711,16.339306388848026,16.893983886358203,,,
20260808_131913,ihawk2,Affine,10.0,17.813288385259206,17.950383356344446,17.522077400060674,20.652649089165138,21.120437659639695,,,
20260808_131913,ihawk2,Affine,15.0,21.286209318331995,21.434241234002243,22.818526534560373,23.337575910949507,23.376253077698255,,,
20260808_131913,ihawk2,Affine,20.0,27.253321428217923,27.46024181237039,28.575494263714646,30.188963794535354,30.223959352600083,,,
20260808_131913,ihawk2,Affine,25.0,32.22872987302983,32.42088799714444,32.62683738464079,35.4411031401582,35.5413923342348,,,
20260808_131913,ihawk2,Affine,30.0,36.904338915358515,37.07457768484196,38.953607324187196,40.401398307726616,40.656958292488234,,,
20260808_131913,ihawk2,Affine,35.0,39.601353809967485,39.76520062415664,41.66354732324659,43.09120405597825,43.36478483737012,,,
20260808_131913,ihawk2,Affine,40.0,42.695285978864696,42.86807083530794,45.063919042670996,46.234181186901395,46.38684020993441,,,
20260808_131913,ihawk2,Affine,45.0,47.87024976571358,48.064211667255854,49.8663870464661,51.935376478685974,52.0159817894226,,,
20260808_131913,ihawk2,Affine,50.0,55.6609733173828,55.86706600119928,57.606802238506354,60.21198519659858,60.330162233307504,,,
20260808_131913,ihawk2,Homography,0.0,0.04922103250164021,0.060358638711521626,0.061395012782230494,0.09405717774090624,0.10219959736924404,,,
