camera_id,model,height_gt_mm,n_independent_runs,xy_rmse_mean_mm,xy_rmse_sd_mm,xy_rmse_median_mm,xy_rmse_min_mm,xy_rmse_max_mm,pnp_z_rmse_mean_mm,pnp_z_rmse_sd_mm,pnp_3d_rmse_mean_mm,pnp_3d_rmse_sd_mm
ihawk1,Affine,0.0,5,11.498201651518743,0.1058053175955412,11.452816172965198,11.439331657673993,11.687017029486114,,,,
ihawk1,Affine,5.0,5,13.832743287824826,1.5909718649607487,13.512965018841612,12.106357542158769,16.454458170231433,,,,
ihawk1,Affine,10.0,5,17.449898102287012,1.4317971826647844,17.008501225025917,16.54169539998341,19.9655525193392,,,,
ihawk1,Affine,15.0,5,23.59930811113874,1.5745373901605089,23.43423092202428,22.013277358462634,26.212392638556484,,,,
ihawk1,Affine,20.0,5,29.40036206480075,1.7532959802785864,29.321526457813942,27.765948872072276,32.06497808388347,,,,
ihawk1,Affine,25.0,5,35.851164620417535,1.8718583356462415,36.9440904443237,33.56823267449177,37.595836513826484,,,,
ihawk1,Affine,30.0,5,42.67735775417454,1.2792165753241986,43.429691521410625,41.24129442530705,43.72921680212159,,,,
ihawk1,Affine,35.0,5,48.69274147515408,2.7828922425056826,49.476476382586874,45.5534615392151,52.45821876743616,,,,
ihawk1,Affine,40.0,5,55.746594329561994,2.5400155264397815,55.73089935525546,52.3894482938333,59.363404898534036,,,,
ihawk1,Affine,45.0,5,63.71733557899307,3.2902838299668544,63.65209918428219,59.15852660547479,68.39797734409338,,,,
ihawk1,Affine,50.0,5,69.63054696283558,3.0712568196365795,69.18755547372793,65.98026917921139,74.44902267368781,,,,
ihawk1,Homography,0.0,5,0.1501486203439369,0.1258135250891986,0.10718685565924833,0.06885007335024991,0.37256860059673724,,,,
ihawk1,Homography,5.0,5,8.11284388358887,2.734148898859301,7.919191184425872,4.631145114738194,12.304935593844979,,,,
ihawk1,Homography,10.0,5,14.326756288146992,1.9943855547775617,13.387590605269299,13.110427703528059,17.831317347789525,,,,
ihawk1,Homography,15.0,5,23.019367699391033,1.6988498196100743,22.684148937555523,21.245749440972848,25.849442425287982,,,,
ihawk1,Homography,20.0,5,30.598611059889627,2.216822534407162,30.49855721278639,28.546510828877928,34.144918124131046,,,,
ihawk1,Homography,25.0,5,38.42483562158546,2.0597564779000166,39.66857810261337,35.66525828033505,40.125856750334215,,,,
ihawk1,Homography,30.0,5,47.008251744743006,1.445100663712445,47.81451405219496,45.25370776956221,48.26944790631654,,,,
ihawk1,Homography,35.0,5,54.58290327980495,3.2149634157051814,54.92189901863917,51.3469469941547,59.29936833925933,,,,
ihawk1,Homography,40.0,5,63.850680357555646,3.114059302734967,63.746644697091675,60.009290632907096,68.49777812488406,,,,
ihawk1,Homography,45.0,5,74.18411288796385,4.064607432148308,73.96616052529491,68.73127689576154,80.17431781865429,,,,
ihawk1,Homography,50.0,5,81.9739340334776,3.9210590494206135,81.4528878949134,78.05006521317743,88.47825208563506,,,,
ihawk1,PnP,0.0,5,7.7215523253028255,1.3624759499665076,8.340325381247458,5.407011693290463,8.675267084335214,4.799253179939852,0.5037388744992907,9.09623360001305,1.4150134919326083
ihawk1,PnP,5.0,5,9.5256161526362,3.122866591999896,7.867512968015853,6.605960257487178,14.137677074696587,5.503527801736899,1.177134963271137,11.058841598989632,3.0900157400203065
ihawk1,PnP,10.0,5,8.628634123357845,2.6347201415434673,8.962568553883859,4.469180010630344,11.736905875996305,5.724602279865502,1.1907603362412882,10.399521542408369,2.6837655701684398
ihawk1,PnP,15.0,5,9.004296891690084,2.270642123707903,9.205902182434892,6.2011585888745,12.289738070368358,5.359596791969385,0.674490827147514,10.498234935592134,2.257849183180581
ihawk1,PnP,20.0,5,10.288638675015626,1.3370212921150066,9.862427541787948,8.99704430420057,12.519296226477735,6.0475800727186755,0.4640022860090573,11.953548329193842,1.195999638477599
ihawk1,PnP,25.0,5,8.85039174175443,1.4958013135386303,9.079101328998155,6.849149313596237,10.804002811335078,5.287635905147257,0.7257517029171422,10.348031649114656,1.3313893682614342
ihawk1,PnP,30.0,5,10.420480275753892,1.3315170568138865,10.103408263997904,8.761034836662644,12.388014030236082,6.540742568738699,0.7862653267224899,12.317189033885327,1.3997756519775202
ihawk1,PnP,35.0,5,10.016127230371888,3.884806057695846,8.650278537979004,6.837956267667982,16.66825277910443,6.533236411369929,1.4587426388343403,12.01828557194511,3.9278672913608594
ihawk1,PnP,40.0,5,9.733628842853221,1.5819120557494089,10.181770750189715,7.043966200040131,10.878016646718338,6.175305137287355,1.0982768291488658,11.53499257088183,1.8670821403962214
ihawk1,PnP,45.0,5,9.88023264382531,3.0518686833854627,9.0207437861748,7.309155147403348,14.963712882813391,6.063379653441726,0.8910112663885957,11.659569349227283,2.8557519452874267
ihawk1,PnP,50.0,5,10.629588270865899,3.4391618290131887,10.480541969658452,6.603113503196269,16.05464307422439,6.933658850277531,0.7153450723108818,12.757299084710613,3.1989713288610906
ihawk2,Affine,0.0,5,12.678569715824763,0.03303524213678638,12.682430874482497,12.63005900036132,12.721165267214712,,,,
ihawk2,Affine,5.0,5,14.105643321145887,0.5728078669878399,13.897016183079412,13.507193366714496,14.972605140458764,,,,
ihawk2,Affine,10.0,5,16.4015678607976,0.9818914592403125,15.94630725567159,15.519474804719204,17.950383356344446,,,,
ihawk2,Affine,15.0,5,21.101326517745353,1.0303291411235238,21.073385843419594,19.712260922825028,22.54269681630875,,,,
ihawk2,Affine,20.0,5,25.95540185995744,1.3429912400736435,26.261353168450356,24.090623039631563,27.46024181237039,,,,
ihawk2,Affine,25.0,5,30.829168357712746,1.8233590986353412,31.397837843691473,27.755835188049005,32.42088799714444,,,,
ihawk2,Affine,30.0,5,35.472053490925646,1.7587019814667126,34.64019171295286,33.55248801043595,37.590417596657986,,,,
ihawk2,Affine,35.0,5,40.435014682137954,1.7877539227169557,40.2279915369291,38.07456051081136,42.91417628474725,,,,
ihawk2,Affine,40.0,5,45.25313441694642,2.112856679290838,46.007765926674615,42.86807083530794,47.74511175908877,,,,
ihawk2,Affine,45.0,5,50.794884814757744,1.9973440679491565,50.60090751826736,48.064211667255854,53.38788541389245,,,,
ihawk2,Affine,50.0,5,56.43220216821089,1.986798028713839,56.49369248190557,53.449435159062745,58.6713266002351,,,,
ihawk2,Homography,0.0,5,0.08773296350069817,0.05563692906721238,0.060358638711521626,0.03530313548645812,0.17208838765992066,,,,
ihawk2,Homography,5.0,5,6.451420218840442,1.2764784996999505,6.100860085392267,4.94988127085736,8.328596947759998,,,,
ihawk2,Homography,10.0,5,11.096353644838313,1.4843723108528377,10.403406362249664,9.785625254545238,13.481603500343585,,,,
ihawk2,Homography,15.0,5,18.272980001540343,1.2978560095243397,18.377014837896546,16.43864560401023,19.978328417159563,,,,
ihawk2,Homography,20.0,5,24.770085243197222,1.6107066071398484,25.095485279998574,22.515886310064456,26.52488664685547,,,,
ihawk2,Homography,25.0,5,31.00511010579776,2.1955920346405593,31.634486581436022,27.2905073661482,32.88004190306237,,,,
ihawk2,Homography,30.0,5,37.012030449244506,2.0504250171497254,36.03846823202459,34.77034271442162,39.5211276918817,,,,
ihawk2,Homography,35.0,5,43.39649207491689,2.119092999906283,43.050255745996495,40.596286076676364,46.30442522551704,,,,
ihawk2,Homography,40.0,5,49.67336296320697,2.5062812043348646,50.45882971323133,46.83832535576059,52.63279554712174,,,,
ihawk2,Homography,45.0,5,56.88091604915023,2.494577217414386,56.39008875846232,53.549568704187294,60.05246850501141,,,,
ihawk2,Homography,50.0,5,64.26300350417446,2.5243565787965125,64.05702933781679,60.49244281489746,67.22389131582429,,,,
ihawk2,PnP,0.0,5,3.2118763365298477,0.22034782154754948,3.208559254863774,2.895017789132072,3.4956226320953037,3.0149915132241016,0.16344978151381356,4.405675092385214,0.2659078814656171
ihawk2,PnP,5.0,5,4.685077366920493,1.9508450358351388,4.021488106384301,2.5505233050391047,7.431658678646156,3.8374648011577803,1.4816293484044065,6.091769970218728,2.336461578972998
ihawk2,PnP,10.0,5,4.337393682277002,2.0876604599307664,4.51787633118072,1.8997023197142415,6.490990110210061,3.760093624981846,0.9918681207340113,5.830991670149563,2.007650062336994
ihawk2,PnP,15.0,5,4.92996619976171,1.3007467216338557,5.693653518825825,3.1167999327588984,6.010835015843663,3.699057883732089,0.44739854387885775,6.20668087913125,1.1058901478813823
ihawk2,PnP,20.0,5,4.931231973586867,1.6917427569329508,5.501509540870136,3.0606871122399504,7.126688901776607,3.752279047459667,0.46908547520154253,6.276520131278174,1.354423152090121
ihawk2,PnP,25.0,5,4.7862217103888725,1.663790159538038,4.648507709235255,2.4101064293330836,7.0647610593738674,3.6587455689349846,0.5770137090234166,6.144212828130747,1.1313156799353117
ihawk2,PnP,30.0,5,4.585401048957006,2.183911624655043,5.38969014025932,2.0147659568077287,7.012610467989883,3.810395794819077,0.8441064040595533,6.0625463318217525,1.9925295957675748
ihawk2,PnP,35.0,5,4.33130728797992,1.2721895757716577,4.534130476516311,2.8212382551575197,5.885385003905355,3.8717964435737167,0.2197893158424804,5.8729920750230695,0.8605329294561622
ihawk2,PnP,40.0,5,4.506967315406918,1.7090790863842507,3.815566077805218,3.258457290632158,7.399159568747047,3.9158811223438326,1.6771857036347257,5.979470443226309,2.366414780699963
ihawk2,PnP,45.0,5,5.456844103387732,4.621778121051212,4.00395718107181,1.7607642244175794,13.53768480213249,4.302961585462388,2.3880844927372613,7.040988381392308,5.045806801628065
ihawk2,PnP,50.0,5,4.543508914828378,0.9627181585498407,4.8676325256380455,3.226921200943938,5.714902461754741,3.8526090648381723,0.3708146067056016,6.001816509014288,0.6282239230561082
