covariance_case,C_R_min_angle_deg,T_R_min_angle_deg,C_wz_to_q1_directed_residual,T_wz_to_q6_directed_residual,nuisance_rank
D0,0.6046057059732669,0.7748467551376205,0.2823231243826977,1.1526953438981697,6
D1,0.6329591370021928,0.8107587365174175,0.34299010116542306,1.5864130353821995,6
