position,camera_id,source_csv,n,u_mean_px,u_sd_px,v_mean_px,v_sd_px,depth_mean_raw,depth_sd_raw,x_mean_raw,x_sd_raw,y_mean_raw,y_sd_raw,z_mean_raw,z_sd_raw,xy_radial_mean_raw,xy_radial_p95_raw,xy_radial_max_raw,depth_valid_ratio_mean,rgb_depth_dt_mean_ms,rgb_depth_dt_p95_ms
center,ihawk1,E0A_formal_center_20260807_185706.csv,50,278.39729370117186,0.049214554967194124,242.6526251220703,0.035658107680340154,557.3,0.3912303982179758,-60.664039864624975,0.0771400353802403,55.61687591167772,0.0680290551699922,557.3,0.3912303982179758,0.08333109936539113,0.17940629251194035,0.34148803682680795,0.9928395061728393,2.3626041412353516,20.54522037506093
center,ihawk2,E0A_formal_center_20260807_185706.csv,50,313.5257330322266,0.09737667513964038,308.7052520751953,0.03132104719275329,453.44,0.5405967979549858,-8.490790513867898,0.11681739272130016,122.5185077635013,0.1547712086081793,453.44,0.5405967979549858,0.16376997462412846,0.45947417883474745,0.512230908510834,1.0,1.2004804611206055,0.0
left,ihawk1,E0A_formal_left_20260807_185747.csv,50,236.58229248046874,0.03414717755251666,189.17704132080078,0.023637269572199082,705.54,0.5034574339058885,-150.2309152800192,0.13284783132824968,-23.461736863241676,0.04311017758069549,705.54,0.5034574339058885,0.12488745294544691,0.2150116846319015,0.27890687144389165,1.0,6.374087333679199,40.237295627593994
left,ihawk2,E0A_formal_left_20260807_185747.csv,50,156.70832794189454,0.7226830943780218,295.0583752441406,0.35892237787640646,471.48,0.5436085025840128,-197.76675562063366,0.695744907327213,110.95104438181512,0.5425111814265262,471.48,0.5436085025840128,0.8593643818486778,1.0226334600821319,1.278380874882729,1.0,1.1487579345703125,0.0
right,ihawk1,E0A_formal_right_20260807_185833.csv,50,414.7183599853516,0.021457324479727584,333.0779681396484,0.014535417336420478,416.6,0.4948716593053936,96.00447958505168,0.12151167367425385,135.30372688957937,0.16071944706781327,416.6,0.4948716593053936,0.1948764414548699,0.25999663353679825,0.269864313443936,1.0,2.7878618240356445,29.453468322753878
right,ihawk2,E0A_formal_right_20260807_185833.csv,50,500.28198303222655,0.02285152690977169,290.37182983398435,0.026090981439028178,486.9,0.41649656391752143,223.25216935936504,0.19457090565367563,108.74815346107316,0.09274540290399881,486.9,0.41649656391752143,0.133668613125283,0.4838106906253982,0.5865855166864253,1.0,4.293861389160156,39.86515998840332
near,ihawk1,E0A_formal_near_20260807_185924.csv,50,233.82031951904298,0.10314350091462791,258.2665118408203,0.009758340123078722,526.5,0.5050762722761054,-115.72729302146887,0.18407698773676567,72.99676439646906,0.06914612368225864,526.5,0.5050762722761054,0.17011360213614743,0.3836656108991103,0.4159820067125915,1.0,3.522162437438965,36.5463614463806
near,ihawk2,E0A_formal_near_20260807_185924.csv,50,311.5099212646484,0.014588305582417308,355.6587023925781,0.02481561769663141,396.0,0.0,-9.455070484517256,0.014762644367103981,154.51291090376137,0.02511217884323279,396.0,0.0,0.024467223470125646,0.05517220862876212,0.07702171933874778,1.0,2.1773386001586914,13.133478164672784
far,ihawk1,E0A_formal_far_20260807_190004.csv,50,356.5560778808594,0.09604425499031913,216.74794799804687,0.007180717591874134,627.2,0.3779644730092273,53.74011512922775,0.15801958850159528,22.168099776409978,0.01723868833286825,627.2,0.3779644730092273,0.08337066711156865,0.3938462366655086,0.4685136257035246,0.9414814814814814,2.4457836151123047,24.257969856262203
far,ihawk2,E0A_formal_far_20260807_190004.csv,50,320.7859332275391,0.3821914959701584,243.2947610473633,0.24305500220197246,574.73,1.4921905552111046,-0.09967172525188753,0.5616078924406589,59.22307091219006,0.3077459740926633,574.73,1.4921905552111046,0.6255457543962829,0.8045215782155593,0.8688137873162493,0.9590123456790124,3.31601619720459,31.06594085693356
