camera_id,action_pair,minimum_principal_angle_deg,all_principal_angles_deg,diagnostic_only
camera_overhead_B242,P-C,3.673281608691386,"[3.673281608691386, 9.011507180270995, 9.751429922202822, 67.29287326460548, 87.05525947211903]",True
camera_overhead_B242,P-T,3.674154795575699,"[3.674154795575699, 9.010928572945522, 9.748434651649502, 67.07285720996661, 87.00883040669451]",True
camera_overhead_B242,P-R,3.77178972833397,"[3.77178972833397, 9.17466869007968, 9.861696423109354, 67.03413187492924, 86.9977941747023]",True
camera_side_B479,P-C,3.98869114396503,"[3.98869114396503, 6.7516790083060885, 7.695473787532856, 54.756266586306396, 85.95908942143713]",True
camera_side_B479,P-T,3.9895836085484095,"[3.9895836085484095, 6.751617505838546, 7.692478551446825, 54.51850968910732, 85.88180239951075]",True
camera_side_B479,P-R,4.129882216506725,"[4.129882216506725, 6.934798900630904, 7.851412979473133, 54.49188062286839, 85.86257334028333]",True
