camera_id,calibration_id,image_id,rvec_x_rad,rvec_y_rad,rvec_z_rad,tvec_x_m,tvec_y_m,tvec_z_m,depth_m,tilt_deg,board_center_u_px,board_center_v_px,u_min_px,u_max_px,v_min_px,v_max_px,board_footprint_px2,normalized_center_u,normalized_center_v,minimum_border_margin_px,detected_corner_count,full_board_visible,reprojection_rmse_px,archived_reprojection_rmse_px,detector,image_width_px,image_height_px,image_sha256
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_001.bmp,-1.0994489115947386,-0.03272895768238258,-0.04122798043415349,-0.11448286449724455,0.11207822387640663,0.5725533301434791,0.5725533301434791,63.01660912075352,302.09442138671875,311.6299743652344,225.86068725585938,377.92462158203125,279.7890930175781,351.69940185546875,10934.964480499737,0.47202253341674805,0.7790749073028564,47.30059814453125,48,True,0.1591685695808654,0.15938101948795888,findChessboardCornersSB,640,400,f685e97146cc83b0e5143c6aa3ea1b07827ede75983657b9edb8b954005b4347
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_002.bmp,-1.0999954312118831,-0.029473959339231238,-0.03361477737927037,-0.0034760221767896108,0.11046998917442646,0.576765940906372,0.576765940906372,63.04433819760949,387.1681823730469,309.9661560058594,318.2858581542969,471.45904541015625,278.91259765625,348.89349365234375,10719.196886742488,0.6049503087997437,0.7749153971672058,50.10650634765625,48,True,0.1572520073052083,0.15583053551506537,findChessboardCornersSB,640,400,38ee5d709c056f943d3f100b92091f563d2926bee70296690862afb389ba284e
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_003.bmp,-1.1001828797293594,0.002408482166460175,0.014402434361832528,0.11730429620284674,0.1028091345862269,0.5947498947073777,0.5947498947073777,63.03536678552079,473.53887939453125,303.1228942871094,400.1980285644531,563.730712890625,273.3410949707031,338.9607849121094,10730.964040769264,0.739904522895813,0.7578072547912598,60.039215087890625,48,True,0.18410487416919866,0.18529893471663292,findChessboardCornersSB,640,400,47050770f57e4a36f79bc8e6ece7cc0adc85f779a02f8e61ba3e6d47c1e41c89
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_004.bmp,-1.1009816173438287,-0.0017180297027022502,0.007441854054176527,0.10586705949208061,0.1275819658700698,0.5450118805729469,0.5450118805729469,63.081511121540615,479.87432861328125,333.221923828125,399.1185607910156,580.8289794921875,298.096435546875,376.25616455078125,14202.437082869932,0.7498036623001099,0.833054780960083,22.74383544921875,48,True,0.17544885888726822,0.17573187982465535,findChessboardCornersSB,640,400,791a0606b9a8ee81e9e43574bbf5eba5603fc4f3388d8a96239a60a3b75ac971
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_005.bmp,-1.100646268317885,-0.008808798268455674,-0.0032803637616424662,0.05159008949521161,0.12756099764265008,0.5439634969959876,0.5439634969959876,63.064373358523994,435.7425842285156,332.8643798828125,358.961181640625,531.8341674804688,298.1689147949219,375.8585205078125,13430.434108307585,0.6808477640151978,0.8321609497070312,23.1414794921875,48,True,0.16636238628176192,0.16650683157132573,findChessboardCornersSB,640,400,9cacdee0d65660f0a1c5f14b1ab12de794d35286134f0881f58fec92318c51fa
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_006.bmp,-1.100892211066964,0.0001547948546805965,0.013982737798438637,-0.03230291810742611,0.12212759637983693,0.5530327049738997,0.5530327049738997,63.07589317977654,364.8740234375,327.0730895996094,289.87017822265625,450.184814453125,292.79595947265625,369.74139404296875,12335.479352734983,0.5701156854629517,0.8176827430725098,29.25860595703125,48,True,0.14917303526657863,0.1494596760755259,findChessboardCornersSB,640,400,267810c920874509c4fce5bd63a552f089527efe329dc37b3fc3d2fc2b539c06
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_007.bmp,-1.0975581829381222,0.10531141988660285,0.18702373357510338,-0.05135752660558583,0.10674598950231581,0.5828775263122653,0.5828775263122653,63.06950779127204,337.693603515625,316.5715637207031,255.3121795654297,408.29248046875,277.71484375,367.6029052734375,13751.102699471638,0.5276462435722351,0.7914289236068726,31.3970947265625,48,True,0.1439963198545732,0.14421837035859666,findChessboardCornersSB,640,400,be4aded074d796fd7e649faee46429f6cf5ae477c157466bac0c4f1ce33c087c
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_008.bmp,-0.7917439982601541,-0.9496119355243928,-1.5359984567063316,-0.22182441307231476,0.1634901112832701,0.4701493017319787,0.4701493017319787,63.04036101772195,193.991943359375,291.1430969238281,130.34507751464844,240.56295776367188,251.91848754882812,344.4910888671875,10203.155886447523,0.3031124174594879,0.727857768535614,54.5089111328125,48,True,0.14552582860534832,0.14667163323894214,findChessboardCornersSB,640,400,90a1dae84b9569bd15e1f19da47cbb0678021e1760759d27212a95839b11d279
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_009.bmp,-1.1024409257966998,0.06087169506042719,0.11033157116381255,-0.24753744671600458,0.10936634001725196,0.5749275660027481,0.5749275660027481,63.2248861792543,187.7598114013672,316.7331848144531,91.3432846069336,267.05755615234375,280.64898681640625,363.1228332519531,14491.831847970141,0.2933747172355652,0.7918329834938049,35.877166748046875,48,True,0.27866070284117567,0.2801241460469689,findChessboardCornersSB,640,400,c7199903bab707387b633af715432143c28cf4acb044d58722735b0eb8a329ff
camera_overhead_B242,camera_overhead_B242:6500bf7c4c0b785597dbae6bad0ed9ec3f676e39de300a6aa49f52cd7581145d,Color_flat_010.bmp,-1.086779975323756,0.21511442654663726,0.36420353650758297,-0.21057305991368636,0.09209617941249608,0.6112556238377984,0.6112556238377984,63.07710024830558,202.96847534179688,306.2032775878906,114.8180923461914,284.2984924316406,264.7278137207031,362.70404052734375,16605.050118052168,0.3171382546424866,0.7655081748962402,36.29595947265625,48,True,0.14516862070970304,0.14560960243134471,findChessboardCornersSB,640,400,a68775d76fe422ef615da1f581432155e396d5c01fbef9f86cbb229548412336
