camera_id,parameter,severity_coordinate_unit_vector_coefficient,physical_parameter_direction_coefficient,physical_parameter_direction_l2_normalized,dangerous_direction_before_whitened_scaled_norm,dangerous_direction_after_whitened_scaled_norm,retained_norm_fraction,retained_energy_fraction
camera_overhead_B242,dfx,0.9356485927833762,1.4765484593420615,0.7134749771385502,76.90231577060763,0.9261331854835014,0.012042981751629815,0.00014503340947008873
camera_overhead_B242,dfy,0.3042007861500941,1.4235484450913125,0.687865127548686,76.90231577060763,0.9261331854835014,0.012042981751629815,0.00014503340947008873
camera_overhead_B242,dcx,-0.08117598933140324,-0.12967913360402006,-0.0626615511994118,76.90231577060763,0.9261331854835014,0.012042981751629815,0.00014503340947008873
camera_overhead_B242,dcy,-0.1526107944674104,-0.24371345486436538,-0.11776345743179421,76.90231577060763,0.9261331854835014,0.012042981751629815,0.00014503340947008873
camera_overhead_B242,dk1,0.04630331193604743,0.0011732436842289333,0.0005669167208749675,76.90231577060763,0.9261331854835014,0.012042981751629815,0.00014503340947008873
camera_side_B479,dfx,0.860290881230085,1.3576263407691573,0.6659236034929141,94.91208038625186,1.0369313867117966,0.010925178148997749,0.00011935951758733788
camera_side_B479,dfy,0.29374495595838374,1.374618983074064,0.6742585932148568,94.91208038625186,1.0369313867117966,0.010925178148997749,0.00011935951758733788
camera_side_B479,dcx,0.403078790476119,0.6439208040902588,0.3158468934691588,94.91208038625186,1.0369313867117966,0.010925178148997749,0.00011935951758733788
camera_side_B479,dcy,0.059341084783631225,0.09476538562353368,0.04648297192367852,94.91208038625186,1.0369313867117966,0.010925178148997749,0.00011935951758733788
camera_side_B479,dk1,0.08729046251671603,0.0022117852818521683,0.0010848935239494049,94.91208038625186,1.0369313867117966,0.010925178148997749,0.00011935951758733788
