run_id,trial_index,is_baseline,timestamp,scan_tx_mm,scan_ty_mm,scan_tz_mm,fixed_target_x_mm,fixed_target_y_mm,fixed_target_z_mm,clearance_mm,random_seed,random_base_rad,random_shoulder_rad,random_elbow_rad,random_wrist_rad,random_roll_rad,random_hand_rad,random_feedback_x_mm,random_feedback_y_mm,random_feedback_z_mm,final_feedback_x_mm,final_feedback_y_mm,final_feedback_z_mm,final_tracking_error_mm,measurement_class,measurement_resolution_mm,exceeds_resolution,manual_dx_mm,manual_dy_mm,manual_dz_mm,manual_xy_offset_mm,manual_3d_offset_mm,success,failure_type,notes
20260807_204040,1,True,2026-08-07T20:42:47,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,,,,,,,,,,281.3862683,13.82362093,-68.33858339,7.539908890517878,baseline,1.0,False,0.0,0.0,0.0,0.0,0.0,True,none,Trial 1 physical baseline
20260807_204040,2,False,2026-08-07T20:43:59,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.20528,0.05399,1.53402,-0.10618,-0.02449,3.14,355.9950993,-56.16019084,229.3074883,281.8689406,6.054272341,-67.47393976,14.870525028280708,measurable_exceedance,1.0,True,-7.0,-1.0,0.0,7.0710678118654755,7.0710678118654755,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,3,False,2026-08-07T20:46:00,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.0105,-0.00623,1.68758,0.09401,0.16212,3.14,340.5482837,8.359991127,159.6696227,281.6407686,6.9138928,-68.33858339,14.156182610251207,below_resolution,1.0,False,,,,,,True,none,-6 -1 0
20260807_204040,4,False,2026-08-07T20:47:40,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.18479,-0.08859,1.49981,0.04089,0.03919,3.14,326.5524693,46.3935301,256.353358,280.0289072,34.10226008,-68.15624009,13.784899010691356,measurable_exceedance,1.0,True,21.0,1.0,0.0,21.02379604162864,21.02379604162864,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,5,False,2026-08-07T20:48:27,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.15524,0.08249,1.68875,0.0534,-0.02665,3.14,351.0449499,-38.38512529,143.7537153,281.6606547,6.049798561,-68.33858339,15.003528340500912,measurable_exceedance,1.0,True,-7.0,0.0,0.0,7.0,7.0,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,6,False,2026-08-07T20:49:10,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.01145,0.07034,1.67983,0.01453,0.01597,3.14,354.0696918,7.605074675,157.1632456,282.6116709,6.07022547,-67.10640157,14.786377142500472,measurable_exceedance,1.0,True,-7.0,-1.0,0.0,7.0710678118654755,7.0710678118654755,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,7,False,2026-08-07T20:50:25,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.13506,-0.0965,1.47026,-0.09451,0.0151,3.14,322.8248682,30.29611052,292.1438916,280.7005643,26.34287553,-67.47393976,6.160044037423005,measurable_exceedance,1.0,True,14.0,1.0,0.0,14.035668847618199,14.035668847618199,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,8,False,2026-08-07T20:51:05,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.14842,0.04611,1.52903,-0.09004,-0.10221,3.14,358.3961274,-37.52073164,226.8877898,282.4045089,6.065775829,-67.97332612,14.888665664743503,measurable_exceedance,1.0,True,-7.0,-1.0,0.0,7.0710678118654755,7.0710678118654755,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,9,False,2026-08-07T20:51:54,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.12266,-0.06185,1.68746,-0.07589,-0.05736,3.14,334.9960609,28.33051559,208.0259289,280.9311285,23.7582606,-67.47393976,3.8776565580592917,measurable_exceedance,1.0,True,12.0,0.0,0.0,12.0,12.0,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,10,False,2026-08-07T20:52:43,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.08471,-0.08614,1.62015,0.06853,0.0156,3.14,328.6048793,27.79001529,213.5465561,280.9311285,23.7582606,-67.47393976,3.8776565580592917,measurable_exceedance,1.0,True,12.0,1.0,0.0,12.041594578792296,12.041594578792296,True,none,At least one axis clearly exceeded ~1.00 mm
