trial_index,measurement_class,physical_x_mm,physical_y_mm,physical_z_mm,robot_feedback_dx_mm,robot_feedback_dy_mm,robot_feedback_dz_mm,robot_mapped_to_physical_x_mm,robot_mapped_to_physical_y_mm,robot_mapped_to_physical_z_mm,physical_minus_robot_x_mm,physical_minus_robot_y_mm,physical_minus_robot_z_mm,residual_3d_mm,final_tracking_error_mm,random_base_rad,random_shoulder_rad,random_elbow_rad,random_wrist_rad,random_roll_rad,notes
1,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,7.539908890517878,,,,,,Trial 1 physical baseline
2,measurable_exceedance,-7.0,-1.0,0.0,0.4826722999999902,-7.769348589000001,0.8646436300000033,-7.769348589000001,-0.4826722999999902,0.8646436300000033,0.7693485890000007,-0.5173277000000098,-0.8646436300000033,1.2677278128538376,14.870525028280708,-0.20528,0.05399,1.53402,-0.10618,-0.02449,At least one axis clearly exceeded ~1.00 mm
3,below_resolution,,,,0.2545003000000179,-6.90972813,0.0,-6.90972813,-0.2545003000000179,0.0,,,,,14.156182610251207,-0.0105,-0.00623,1.68758,0.09401,0.16212,-6 -1 0
4,measurable_exceedance,21.0,1.0,0.0,-1.3573610999999914,20.27863915,0.18234329999999943,20.27863915,1.3573610999999914,0.18234329999999943,0.7213608499999999,-0.35736109999999144,-0.18234329999999943,0.8254195967874861,13.784899010691356,0.18479,-0.08859,1.49981,0.04089,0.03919,At least one axis clearly exceeded ~1.00 mm
5,measurable_exceedance,-7.0,0.0,0.0,0.2743864000000258,-7.773822369,0.0,-7.773822369,-0.2743864000000258,0.0,0.7738223690000003,0.2743864000000258,0.0,0.8210292048823519,15.003528340500912,-0.15524,0.08249,1.68875,0.0534,-0.02665,At least one axis clearly exceeded ~1.00 mm
6,measurable_exceedance,-7.0,-1.0,0.0,1.2254025999999953,-7.753395460000001,1.2321818199999939,-7.753395460000001,-1.2254025999999953,1.2321818199999939,0.753395460000001,0.22540259999999535,-1.2321818199999939,1.461739747278519,14.786377142500472,0.01145,0.07034,1.67983,0.01453,0.01597,At least one axis clearly exceeded ~1.00 mm
7,measurable_exceedance,14.0,1.0,0.0,-0.685703999999987,12.5192546,0.8646436300000033,12.5192546,0.685703999999987,0.8646436300000033,1.4807454,0.314296000000013,-0.8646436300000033,1.7432720734689553,6.160044037423005,0.13506,-0.0965,1.47026,-0.09451,0.0151,At least one axis clearly exceeded ~1.00 mm
8,measurable_exceedance,-7.0,-1.0,0.0,1.0182406000000128,-7.757845101000001,0.36525727000000074,-7.757845101000001,-1.0182406000000128,0.36525727000000074,0.7578451010000009,0.01824060000001282,-0.36525727000000074,0.8414717998162002,14.888665664743503,-0.14842,0.04611,1.52903,-0.09004,-0.10221,At least one axis clearly exceeded ~1.00 mm
9,measurable_exceedance,12.0,0.0,0.0,-0.45513979999998355,9.93463967,0.8646436300000033,9.93463967,0.45513979999998355,0.8646436300000033,2.0653603300000007,-0.45513979999998355,-0.8646436300000033,2.284835691506354,3.8776565580592917,0.12266,-0.06185,1.68746,-0.07589,-0.05736,At least one axis clearly exceeded ~1.00 mm
10,measurable_exceedance,12.0,1.0,0.0,-0.45513979999998355,9.93463967,0.8646436300000033,9.93463967,0.45513979999998355,0.8646436300000033,2.0653603300000007,0.5448602000000164,-0.8646436300000033,2.3043859349469553,3.8776565580592917,0.08471,-0.08614,1.62015,0.06853,0.0156,At least one axis clearly exceeded ~1.00 mm
11,measurable_exceedance,12.0,1.0,0.0,-0.12169349999999213,10.397436079999999,1.0481278299999985,10.397436079999999,0.12169349999999213,1.0481278299999985,1.6025639200000015,0.8783065000000079,-1.0481278299999985,2.1067048615429123,4.028228316947588,0.14437,-0.08368,1.51064,-0.06399,0.11604,At least one axis clearly exceeded ~1.00 mm
12,measurable_exceedance,-4.0,-1.0,0.0,0.772812799999997,-4.731116769,1.0481278299999985,-4.731116769,-0.772812799999997,1.0481278299999985,0.7311167689999998,-0.22718720000000303,-1.0481278299999985,1.297966756807487,11.817157505747538,-0.0392,0.05183,1.6541,-0.04658,0.12135,At least one axis clearly exceeded ~1.00 mm
13,measurable_exceedance,-4.0,0.0,0.0,0.4150116000000139,-5.17535241,0.8646436300000033,-5.17535241,-0.4150116000000139,0.8646436300000033,1.1753524100000003,0.4150116000000139,-0.8646436300000033,1.517002479472912,12.307102275107143,-0.02022,-0.026,1.51239,-0.0856,-0.1044,At least one axis clearly exceeded ~1.00 mm
14,measurable_exceedance,-7.0,-1.0,0.0,1.2254025999999953,-7.753395460000001,1.2321818199999939,-7.753395460000001,-1.2254025999999953,1.2321818199999939,0.753395460000001,0.22540259999999535,-1.2321818199999939,1.461739747278519,14.786377142500472,-0.19517,0.04143,1.47591,0.10189,0.11989,At least one axis clearly exceeded ~1.00 mm
15,measurable_exceedance,-5.0,0.0,0.0,0.4402178999999933,-6.039947253,0.8646436300000033,-6.039947253,-0.4402178999999933,0.8646436300000033,1.0399472530000002,0.4402178999999933,-0.8646436300000033,1.4222836198881827,13.159909980759746,-0.18775,-0.04584,1.56514,0.00308,0.17312,At least one axis clearly exceeded ~1.00 mm
16,measurable_exceedance,13.0,1.0,0.0,-0.4919150000000059,10.365554499999998,0.8646436300000033,10.365554499999998,0.4919150000000059,0.8646436300000033,2.6344455000000018,0.5080849999999941,-0.8646436300000033,2.818876028951049,4.232438396940123,0.12618,0.04101,1.62472,0.11588,0.04493,At least one axis clearly exceeded ~1.00 mm
17,measurable_exceedance,-7.0,0.0,0.0,0.2647747000000322,-7.341767624000001,0.0,-7.341767624000001,-0.2647747000000322,0.0,0.34176762400000094,0.2647747000000322,0.0,0.43233175984967037,14.579569300943678,-0.14013,0.04439,1.65613,-0.08339,0.16258,At least one axis clearly exceeded ~1.00 mm
18,measurable_exceedance,9.0,0.0,0.0,-0.24837359999997943,7.34801216,0.8646436300000033,7.34801216,0.24837359999997943,0.8646436300000033,1.6519878400000003,-0.24837359999997943,-0.8646436300000033,1.881053395197595,2.3827152678573014,0.11076,0.06458,1.69089,-0.10841,-0.10077,At least one axis clearly exceeded ~1.00 mm
