run_id,camera_id,pnp_reprojection_rmse_px,pnp_reprojection_mean_px,pnp_reprojection_max_px
20260808_131913,ihawk1,0.33744019526213287,0.308623560699635,0.562917349545493
20260808_131913,ihawk2,0.42899873943077144,0.39829250726942617,0.7737613394804422
20260808_141232,ihawk1,0.6667621095690155,0.46924999217174934,2.145476237469052
20260808_141232,ihawk2,0.4117614417514885,0.38228596394582987,0.6614141435461851
20260808_145501,ihawk1,0.3938946785181947,0.33954012744474704,0.8593757070219403
20260808_145501,ihawk2,0.42527283609036654,0.3963822783879105,0.752657747468244
20260808_151001,ihawk1,0.3684899640209703,0.3169429923145005,0.8501265530458277
20260808_151001,ihawk2,0.4221656158646425,0.3902164386647259,0.8073797878550159
20260808_162715,ihawk1,0.4233390429524511,0.36898588433177365,1.0180248767278026
20260808_162715,ihawk2,0.4424439406077514,0.41615126238794276,0.6373161534177487
