camera,run_id,height_mm,frame_index,selected_branch,group_branch_switch_flag,branch_gap_px,refined_reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_131913,0.0,1,A,0,12.084695898569242,0.33504042202926926,-41.547708034364014,65.18319396069582,626.8520395837974,1.9910176132895723,-0.6646836017590582,0.4192967103928978
ihawk1,20260808_131913,0.0,2,A,0,12.078821426980513,0.347322413130708,-41.56637944319004,65.18896506665575,626.9569302368944,1.9912634771123063,-0.664784953313995,0.41905433996763775
ihawk1,20260808_131913,0.0,3,A,0,12.08666952860008,0.3338767957532169,-41.5424898207786,65.17822985524411,626.7873190005937,1.9909049921684046,-0.6645565273720612,0.419206801831997
ihawk1,20260808_131913,5.0,1,A,0,12.158989538982198,0.3891227302518529,-40.56199433155976,62.429833942443075,623.9230349634411,1.9934590618089898,-0.660324492850448,0.4109982207113572
ihawk1,20260808_131913,5.0,2,A,0,12.15912778859535,0.3928273360538143,-40.549772170489106,62.43140257404178,623.8718602127982,1.9933283080044182,-0.6603626569699254,0.4108782454739652
ihawk1,20260808_131913,5.0,3,A,0,12.158219804607072,0.37762246163933966,-40.584423675506066,62.4483984121998,624.0869931888802,1.9936280857132198,-0.6606076842670705,0.4110249022813046
ihawk1,20260808_131913,10.0,1,A,0,12.377527294919092,0.33802080895399916,-38.05402320263869,57.65126497647193,621.8532326579334,1.9935520207542652,-0.650152762679433,0.40533590541795295
ihawk1,20260808_131913,10.0,2,A,0,12.360485426218498,0.3515133752494777,-38.01695934332985,57.66163841358485,621.9235167668965,1.9935646030331784,-0.6499650664758931,0.40486365510306843
ihawk1,20260808_131913,10.0,3,A,0,12.393397135899386,0.3452426089129707,-38.01147804184428,57.6477926731291,621.7035598521421,1.993172351628099,-0.6498085871394381,0.4048175590838771
ihawk1,20260808_131913,15.0,1,A,0,12.425536765765997,0.3692657368918552,-39.27998441076909,53.137836336812704,619.501241368553,1.9971021399639717,-0.6485682850832407,0.4037524918267523
ihawk1,20260808_131913,15.0,2,A,0,12.424399405323257,0.37772368723519023,-39.27486489088309,53.12603541299739,619.4673607890272,1.9970153926943486,-0.6484607599702183,0.4037105332592944
ihawk1,20260808_131913,15.0,3,A,0,12.434535840111312,0.37197738193236485,-39.26198145073244,53.11365652692941,619.4343393603791,1.9969812989042859,-0.648653483620381,0.4039435870142518
ihawk1,20260808_131913,20.0,1,A,0,12.599159388465228,0.3673147208252671,-36.96929353067341,48.91827889991837,616.2322355611069,1.995568495509315,-0.6424482632366308,0.40497063918207493
ihawk1,20260808_131913,20.0,2,A,0,12.5934019602205,0.37546565283257194,-36.964548014639576,48.915154908716296,616.2278566935248,1.995564960888109,-0.6424464748005592,0.4049521008965019
ihawk1,20260808_131913,20.0,3,A,0,12.399083242936134,0.5139361477371971,-36.945250442867085,49.04382386094642,616.4150194714737,1.996286364914431,-0.6401440203921486,0.4088670519966194
ihawk1,20260808_131913,25.0,1,A,0,12.243009405226578,0.7104350055279866,-36.42951326436018,44.502216813856464,610.5269858289133,1.990701627546474,-0.6451166902199311,0.4049806731304007
ihawk1,20260808_131913,25.0,2,A,0,12.235887846005072,0.7282867634678339,-36.42210922515208,44.493764759459395,610.5081702146339,1.9907573057477288,-0.6453162258650927,0.4049043807225885
ihawk1,20260808_131913,25.0,3,A,0,12.540600217970457,0.48341105153776043,-36.76212670374088,44.63478808542707,611.8708461310673,1.9912422301181836,-0.6479351792423003,0.4080553464273878
ihawk1,20260808_131913,30.0,1,A,0,12.360694294827901,0.6368477677658757,-37.97540008301405,39.95066459498382,608.9923797234301,1.987536135068384,-0.6581761396111173,0.41496866729095405
ihawk1,20260808_131913,30.0,2,A,0,12.306693414767748,0.6987506542396005,-37.9542830146215,39.996492099966964,609.1075442286043,1.9876209862235925,-0.6588755604430617,0.4132457976196527
ihawk1,20260808_131913,30.0,3,A,0,12.275457851850183,0.7370857061874715,-37.93716212622661,39.99296043405227,609.1611764427878,1.9877156278606698,-0.6586523486938074,0.4129410686568945
ihawk1,20260808_131913,35.0,1,A,0,12.08833591842422,0.9985224741222024,-38.9432371997973,37.04017904770486,603.7351676657773,1.986871492042254,-0.6488376750385522,0.42053026807375044
ihawk1,20260808_131913,35.0,2,A,0,12.543002716375536,0.5991529395664542,-39.187459032442355,37.014908494626226,605.5065491290218,1.988978099106687,-0.6528275951421669,0.41716131056454164
ihawk1,20260808_131913,35.0,3,A,0,12.065192910455515,1.031528068808793,-38.88714163258663,37.06894537396183,603.3041625027571,1.9866793417198807,-0.647398355884588,0.42197879596471394
ihawk1,20260808_131913,40.0,1,A,0,12.951493462731655,0.7289277155026924,-41.76968971039158,32.765905789713685,598.8543242487741,1.9860061125636896,-0.6535231396430151,0.4181023866586362
ihawk1,20260808_131913,40.0,2,A,0,13.003896486991035,0.689090111793441,-41.816727227452006,32.77666001425822,598.868111774208,1.985753249061796,-0.6536689334613582,0.4189256260162475
ihawk1,20260808_131913,40.0,3,A,0,12.944341822793223,0.742707956483637,-41.76735224355994,32.76061831864437,598.8345787045432,1.986074636039177,-0.6533049645640685,0.41881087468882255
ihawk1,20260808_131913,45.0,1,A,0,12.837911539136522,0.6679988734036998,-42.06887109554745,28.970240358589653,600.8283729357901,1.991328371272171,-0.6483439144458033,0.41986322278218347
ihawk1,20260808_131913,45.0,2,A,0,12.768937261765837,0.7416304620250315,-41.9869556124955,28.9392645823795,600.8105837774585,1.9916797441419811,-0.647898287403718,0.4189977035070312
ihawk1,20260808_131913,45.0,3,A,0,12.777885497200034,0.7266005311254443,-41.99480517967724,28.941932955288877,600.7870037558575,1.99162964943089,-0.6481660732236094,0.41903572061923056
ihawk1,20260808_131913,50.0,1,A,0,12.974833459650599,0.5710970992246175,-39.50508279638928,24.715810554262923,598.9575827150236,1.9942920382531768,-0.6491737116514519,0.406954981299742
ihawk1,20260808_131913,50.0,2,A,0,12.967306530522059,0.577898337212926,-39.52195708937123,24.717485656716867,599.0515909335408,1.9944416015417377,-0.649310588465001,0.40726625632209984
ihawk1,20260808_131913,50.0,3,A,0,12.98026256155219,0.5768081326638442,-39.530395964423235,24.71416515024276,599.0322136227949,1.994303688809111,-0.6491848922427743,0.4070740184580994
ihawk1,20260808_141232,0.0,1,A,0,11.87184138041947,1.0543222855951424,-37.77346451294807,65.0801224016241,624.7930362084275,1.9917248692080687,-0.6374398752340653,0.4002871811051576
ihawk1,20260808_141232,0.0,2,A,0,12.127495287116092,0.6188574867484268,-37.52828089484173,65.24691273012249,626.1610663540307,1.9930771543684145,-0.6380959614461362,0.3994230716479271
ihawk1,20260808_141232,0.0,3,A,0,12.146714371210045,0.6071918079844083,-37.51038684927003,65.26657500615015,626.1884403916815,1.993215611366629,-0.6376954680968973,0.39960468309853436
ihawk1,20260808_141232,5.0,1,A,0,11.840710874865875,0.5251201030933654,-39.54780376910199,59.06883406488958,629.401261972246,1.9926040108791643,-0.662605116378775,0.4080055035527075
