camera,run_id,height_mm,frame_index,geometry,best_reprojection_rmse_px,second_reprojection_rmse_px,n_board_corners
ihawk1,20260808_131913,45.0,3,logged_edge_aligned,1.8261630922553884,13.13594156987624,20
ihawk1,20260808_131913,50.0,1,actual_margin10,0.5782983628928634,13.553131822543461,20
ihawk1,20260808_131913,50.0,1,logged_edge_aligned,1.864020845445902,13.180630527780087,20
ihawk1,20260808_131913,50.0,2,actual_margin10,0.584612110380521,13.55191864090258,20
ihawk1,20260808_131913,50.0,2,logged_edge_aligned,1.861542825888289,13.179342542408994,20
ihawk1,20260808_131913,50.0,3,actual_margin10,0.5835188644859469,13.563781426038137,20
ihawk1,20260808_131913,50.0,3,logged_edge_aligned,1.8625203018084933,13.19028837876659,20
ihawk1,20260808_141232,0.0,1,actual_margin10,1.06231509688147,12.93415647730094,20
ihawk1,20260808_141232,0.0,1,logged_edge_aligned,2.3178888629039975,12.663188496306617,20
ihawk1,20260808_141232,0.0,2,actual_margin10,0.6272932638737535,12.754788550989845,20
ihawk1,20260808_141232,0.0,2,logged_edge_aligned,1.9051037240827813,12.452231042276997,20
ihawk1,20260808_141232,0.0,3,actual_margin10,0.6145169344646754,12.76123130567472,20
ihawk1,20260808_141232,0.0,3,logged_edge_aligned,1.9181200121224917,12.459780493709292,20
ihawk1,20260808_141232,5.0,1,actual_margin10,0.5271193511981506,12.367830226064026,20
ihawk1,20260808_141232,5.0,1,logged_edge_aligned,1.8480935793345128,12.084167981694739,20
ihawk1,20260808_141232,5.0,2,actual_margin10,0.5172744550081786,12.368219939984309,20
ihawk1,20260808_141232,5.0,2,logged_edge_aligned,1.855937432124111,12.085937917081694,20
ihawk1,20260808_141232,5.0,3,actual_margin10,0.528844222842016,12.371629284830464,20
ihawk1,20260808_141232,5.0,3,logged_edge_aligned,1.8481247457887908,12.087180878602574,20
ihawk1,20260808_141232,10.0,1,actual_margin10,0.4379029352914517,12.755342132858086,20
ihawk1,20260808_141232,10.0,1,logged_edge_aligned,1.869329931150765,12.439576478367757,20
ihawk1,20260808_141232,10.0,2,actual_margin10,0.43167503557852666,12.759667297240542,20
ihawk1,20260808_141232,10.0,2,logged_edge_aligned,1.8668708451940597,12.442459889017002,20
ihawk1,20260808_141232,10.0,3,actual_margin10,0.4358703516766802,12.757485231317082,20
ihawk1,20260808_141232,10.0,3,logged_edge_aligned,1.8607358432563736,12.440018361104528,20
ihawk1,20260808_141232,15.0,1,actual_margin10,0.4175819271765947,12.800340782588695,20
ihawk1,20260808_141232,15.0,1,logged_edge_aligned,1.8350203788979063,12.482091394653843,20
ihawk1,20260808_141232,15.0,2,actual_margin10,0.6016000929661295,12.835204746387642,20
ihawk1,20260808_141232,15.0,2,logged_edge_aligned,2.0952808733125776,12.549563179132814,20
ihawk1,20260808_141232,15.0,3,actual_margin10,0.405432871436425,12.806352212527138,20
ihawk1,20260808_141232,15.0,3,logged_edge_aligned,1.8360586393914582,12.488310660277579,20
ihawk1,20260808_141232,20.0,1,actual_margin10,0.7862548218988893,12.742992618877352,20
ihawk1,20260808_141232,20.0,1,logged_edge_aligned,1.9883721889774237,12.410338351143665,20
ihawk1,20260808_141232,20.0,2,actual_margin10,0.7231559461824553,12.629179781100452,20
ihawk1,20260808_141232,20.0,2,logged_edge_aligned,1.9176118345741313,12.299942758181839,20
ihawk1,20260808_141232,20.0,3,actual_margin10,0.7634519564296193,12.708685665503276,20
ihawk1,20260808_141232,20.0,3,logged_edge_aligned,1.90829981378076,12.36841309783751,20
ihawk1,20260808_141232,25.0,1,actual_margin10,1.3505207414681546,13.33518214651612,20
ihawk1,20260808_141232,25.0,1,logged_edge_aligned,2.1368755935168866,12.971826700042046,20
ihawk1,20260808_141232,25.0,2,actual_margin10,1.4573881790374774,13.225489049781455,20
ihawk1,20260808_141232,25.0,2,logged_edge_aligned,2.251022881083368,12.87601397821882,20
ihawk1,20260808_141232,25.0,3,actual_margin10,0.8722231467572547,12.931085688052116,20
