camera,run_id,height_mm,marker_id,board_position,frame_index,branch_label,matches_acquisition_solution,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_131913,0.0,0,TL,1,A,1,0.032259581453290886,-167.076072906495,40.47961499935943,670.3072362114323,1.9820867756084881,-0.6658140258316276,0.40921924136737947
ihawk1,20260808_131913,0.0,0,TL,1,B,0,0.7832690997144766,-166.6254874581528,41.184868088633245,668.905368841466,-2.0848385174633277,0.38349871475834335,-0.12120780059694834
ihawk1,20260808_131913,0.0,0,TL,2,A,1,0.04740771101671131,-167.38745593318302,40.535262754233884,671.5193504715379,1.9832362773525278,-0.6672005468869641,0.40881577669870134
ihawk1,20260808_131913,0.0,0,TL,2,B,0,0.7969794581833642,-166.9217720489313,41.23660083631283,670.0601377015201,-2.0855981052186934,0.3849904307109201,-0.12204325035000786
ihawk1,20260808_131913,0.0,0,TL,3,A,1,0.023731140029828502,-167.0022782010746,40.456329417869846,670.0532407004267,1.9818909840262762,-0.6651826615752271,0.40830145304571186
ihawk1,20260808_131913,0.0,0,TL,3,B,0,0.7767321677055191,-166.55723449463025,41.162989091188166,668.674773318774,-2.084498225809769,0.3827908506354721,-0.12190553629035951
ihawk1,20260808_131913,0.0,1,TR,1,A,1,0.11641203266997834,-56.61148520084623,1.174052658200092,760.2074478096512,1.9930133080345551,-0.6786035868970784,0.3964754648935949
ihawk1,20260808_131913,0.0,1,TR,1,B,0,0.36625483426443256,-56.54651322889134,1.871477268511593,759.7384962292678,-2.0033166953892136,0.585791187093111,0.2438812357800109
ihawk1,20260808_131913,0.0,1,TR,2,A,1,0.10103915509757426,-56.67350885613404,1.1527366419109815,761.625183706925,1.9946326109722803,-0.6779869913351021,0.3969650020219062
ihawk1,20260808_131913,0.0,1,TR,2,B,0,0.39137021059151056,-56.601841291718976,1.8498348935591344,761.0552360505435,-2.0048365082315476,0.5852659460574504,0.24434405207177182
ihawk1,20260808_131913,0.0,1,TR,3,A,1,0.11870684981481978,-56.60449822163584,1.1714983909053636,760.1145085879565,1.9930014336931345,-0.6792130623556066,0.39649775775456775
ihawk1,20260808_131913,0.0,1,TR,3,B,0,0.3698892783176772,-56.53897949604916,1.869107780621475,759.6408121185628,-2.0032959570741866,0.5863714528976051,0.24384931526068665
ihawk1,20260808_131913,0.0,2,BL,1,A,1,0.11375944347398895,-28.198673571103175,130.26607747824798,514.9765501906961,1.9865420153479274,-0.6699551546544774,0.4070021424763464
ihawk1,20260808_131913,0.0,2,BL,1,B,0,1.1401669839714796,-28.06371741811293,130.98749352434132,513.0455223751724,-2.453232717052424,0.7537485232619028,0.1371230379067792
ihawk1,20260808_131913,0.0,2,BL,2,A,1,0.11151450119874967,-28.231271679812025,130.26119679584,514.9329181893918,1.9862983105910184,-0.6709489033480234,0.40823077306500793
ihawk1,20260808_131913,0.0,2,BL,2,B,0,1.1361423968045687,-28.097498881106684,130.9858588602003,513.0145916054798,-2.452962209227902,0.7550208109914561,0.1379570255333261
ihawk1,20260808_131913,0.0,2,BL,3,A,1,0.11358097722114603,-28.215602536199654,130.19524679577273,514.7418706793973,1.9862723395334505,-0.6704875682011446,0.40978988804699185
ihawk1,20260808_131913,0.0,2,BL,3,B,0,1.1382249916085239,-28.083593538746793,130.91913227073567,512.818208332327,-2.4529352669767115,0.7549558717049137,0.13980299095262977
ihawk1,20260808_131913,0.0,3,BR,1,A,1,0.011844539515651543,83.96183280742346,90.72778379426508,591.0373052744574,1.9921934238040808,-0.6775335367424663,0.41884899109125706
ihawk1,20260808_131913,0.0,3,BR,1,B,0,0.6976799729487067,83.69700055396109,91.55658096274352,589.9101889424709,-2.2395529216127574,0.9624301374169002,0.6339614036520844
ihawk1,20260808_131913,0.0,3,BR,2,A,1,0.05795062483715715,83.87528344765556,90.67056115326238,590.7709542187667,1.9928654399876802,-0.6817026939052235,0.4266993193354249
ihawk1,20260808_131913,0.0,3,BR,2,B,0,0.6898246626692969,83.60938580814096,91.50387304122991,589.6744585127432,-2.2389670900858736,0.9675654645280559,0.6414063203027831
ihawk1,20260808_131913,0.0,3,BR,3,A,1,0.0001620059842984898,83.98570591197038,90.73507959497312,591.0701034900643,1.9917302849019882,-0.6773357564740241,0.4190429343927392
ihawk1,20260808_131913,0.0,3,BR,3,B,0,0.7000136802943798,83.7200954305026,91.5626718240264,589.9374274233909,-2.239032713609384,0.9623704936571341,0.6342437713466
ihawk1,20260808_131913,0.0,4,C,1,A,1,0.11717304494669563,-42.18566373374995,66.39597165797971,637.384922989002,1.9920607555042986,-0.657654778413282,0.43977459338245256
ihawk1,20260808_131913,0.0,4,C,1,B,0,0.7178401717017686,-42.09738520692952,67.1628397560551,635.9574483130809,-2.1949627251244546,0.641708191049382,0.2460115857620485
ihawk1,20260808_131913,0.0,4,C,2,A,1,0.09915982648477778,-42.155204136266356,66.36932336684474,636.9802607608648,1.9912402370994127,-0.6587190759281105,0.4393888352898213
