camera,run_id,height_mm,frame_index,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,definition
ihawk1,20260808_131913,0.0,1,-0.0036251766130037874,-0.011860006129592687,0.006757698017459893,-3.516045169401042e-06,8.016808140723808e-05,5.721041473438797e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,0.0,2,0.036797726127858546,0.0695979509801454,-0.049050725262785234,0.00014482724671368018,-0.0001965260308489146,2.9777544017012743e-08,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,0.0,3,-0.03317254951495023,-0.05773794485067419,0.042293027245400246,-0.00014131120222142215,0.00011635794989035664,-5.724019263519608e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,5.0,1,-0.015532561764736637,-0.025493168378106747,0.024059604501217163,-5.338689552899494e-06,7.205842170471858e-05,-6.122567964421703e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,5.0,2,-0.03362862217894349,-0.0689910595106314,0.04753793608107031,-0.00016387898443935635,1.9617804337547805e-05,-6.936550115100505e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,5.0,3,0.0491611839436571,0.09448422788856946,-0.07159754058211243,0.00016921767430841682,-9.167622637014361e-05,0.00013059118116858764,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,10.0,1,-0.006663047759047,0.0352568322028694,-0.011067372152176609,0.0002267135556407781,9.229959638137441e-05,0.00024927513007171075,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,10.0,2,0.057383203127219916,0.058272601399125615,-0.05335621421854396,7.78019469432038e-05,-0.00012723603097497218,-8.170807062981718e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,10.0,3,-0.050720155368198294,-0.09352943360193403,0.06442358637066022,-0.00030451550293375947,3.49364344881921e-05,-0.00016756705978769333,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,15.0,1,0.00819513509599879,0.023336305193741063,-0.026834400449741516,4.795821910428125e-05,-5.627748383999082e-05,-2.3124199205485885e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,15.0,2,-0.0022830233220635676,0.0012627002783080399,-6.997250827130045e-05,-4.956021110794179e-05,-7.939418579143648e-06,-0.0001068676434347214,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,15.0,3,-0.005912111773749271,-0.024599005472094707,0.02690437295786571,1.6019935067569044e-06,6.42169007004625e-05,0.00012999184200483482,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,20.0,1,-0.0280647617182295,-0.019854128781387932,0.06412806873455358,-0.0006129895379303721,-0.0010967218792970455,2.9147526727827364e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,20.0,2,-0.025699704384568842,-0.024499147921636377,0.06905658809833623,-0.000622304645534822,-0.0011066522933493403,2.0529364793823664e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_131913,20.0,3,0.0537644661027304,0.044353276703199204,-0.1331846568329714,0.0012352941833747493,0.002203374172485376,-4.967689151865225e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
