camera,run_id,height_mm,frame_index,branch_label,selected_by_reprojection,native_solution_index,positive_depth,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_131913,0.0,1,A,1,0,1,0.3360236070065043,-41.55544377577337,65.20433053506781,627.0181824072472,1.991318713745955,-0.6650392526117646,0.419702685568798
ihawk1,20260808_131913,0.0,1,B,0,1,1,12.420719505575747,-31.76254936808785,75.39972726226321,597.1344450850602,-2.192825988316062,0.6463320844344912,0.22376282798184646
ihawk1,20260808_131913,0.0,2,A,1,0,1,0.34812148310892405,-41.574587839432645,65.2106511655458,627.1316266780648,1.9915673501968454,-0.6650962253693118,0.4194297586693829
ihawk1,20260808_131913,0.0,2,B,0,1,1,12.426942910089437,-31.780332805211664,75.40312918421873,597.2115241054126,-2.1930082489053784,0.6463483167110231,0.22345857698527782
ihawk1,20260808_131913,0.0,3,A,1,0,1,0.3350403036321273,-41.5510188196249,65.20143659701047,626.9696199273537,1.991265631735359,-0.6649520186664825,0.4196150921443072
ihawk1,20260808_131913,0.0,3,B,0,1,1,12.421709832232207,-31.75742260288602,75.39740002314853,597.0866568550708,-2.1927885668254024,0.6462297189685663,0.2236760780849631
ihawk1,20260808_131913,5.0,1,A,1,0,1,0.3897957207742548,-40.55796471677892,62.42145963004718,623.8507068673852,1.9937369018242213,-0.6603020707576411,0.41058475413808954
ihawk1,20260808_131913,5.0,1,B,0,1,1,12.548785259756452,-30.740333195822853,72.80972696281785,593.8356879070396,-2.187947818817042,0.6400575444322231,0.22005002244579716
ihawk1,20260808_131913,5.0,2,A,1,0,1,0.39332972512425773,-40.54754860866665,62.428903703370835,623.8457568883716,1.993665028425394,-0.6604411481243772,0.4106352734634496
ihawk1,20260808_131913,5.0,2,B,0,1,1,12.552457513719608,-30.728858314853184,72.81343298091028,593.8141585788666,-2.1878892449112795,0.6402061514599288,0.2200830933464969
ihawk1,20260808_131913,5.0,3,A,1,0,1,0.37815320678326786,-40.58032580083428,62.44172217581549,624.0260203536764,1.9939043389159015,-0.6606317932401053,0.41072153025746105
ihawk1,20260808_131913,5.0,3,B,0,1,1,12.536373011390339,-30.766942146023666,72.82969671393131,594.0437673861452,-2.1881184037269015,0.6404069609742673,0.22010403818983243
ihawk1,20260808_131913,10.0,1,A,1,0,1,0.3382015206962527,-38.05106925982091,57.64848959315232,621.8265443803742,1.9936870506726587,-0.6500754916095297,0.40540937488600176
ihawk1,20260808_131913,10.0,1,B,0,1,1,12.715728815615345,-28.303185431538036,68.21991552156038,591.2878218976294,-2.1743160788601417,0.629408390379616,0.22814535782111575
ihawk1,20260808_131913,10.0,2,A,1,0,1,0.3521373030423726,-38.00848851795848,57.64588637571389,621.7860316177508,1.9935251690392446,-0.6496485187261307,0.4046839026858357
ihawk1,20260808_131913,10.0,2,B,0,1,1,12.71262272926087,-28.26183650122915,68.22245249002674,591.271987136257,-2.174153884179015,0.6290547798156807,0.22771404254790242
ihawk1,20260808_131913,10.0,3,A,1,0,1,0.3459249060813171,-38.003717612583934,57.63220869221342,621.5704769944414,1.9930653917785814,-0.6494308049699652,0.4046846842794397
ihawk1,20260808_131913,10.0,3,B,0,1,1,12.739322041980703,-28.245817014005166,68.20078580021259,590.9640625632916,-2.173686331474399,0.6287548417845635,0.22770811306213637
ihawk1,20260808_131913,15.0,1,A,1,0,1,0.37132173257880086,-39.28145096962771,53.1448175215533,619.5510337363625,1.9978468752856744,-0.649010518181587,0.4034017265781875
ihawk1,20260808_131913,15.0,1,B,0,1,1,12.796858498344799,-29.43770817630608,63.974977767797974,589.1078163386577,-2.1658485399560634,0.6213537172064656,0.22536960633749742
ihawk1,20260808_131913,15.0,2,A,1,0,1,0.37975831255449716,-39.277068128393765,53.134572641465596,619.5327280049117,1.9977751951909286,-0.6489220082573682,0.4033867829542414
ihawk1,20260808_131913,15.0,2,B,0,1,1,12.804157717877754,-29.431663194907202,63.96252453611582,589.0620119907072,-2.1657397643678253,0.621243448319297,0.22538007269857138
