camera,run_id,height_mm,n_frames,covariance_rank,selected_branch_sequence,branch_switch_flag,max_pairwise_rho_mm,max_pairwise_omega_rad,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,cov_rho_x_mm_rho_x_mm,cov_rho_x_mm_rho_y_mm,cov_rho_x_mm_rho_z_mm,cov_rho_x_mm_omega_x_rad,cov_rho_x_mm_omega_y_rad,cov_rho_x_mm_omega_z_rad,cov_rho_y_mm_rho_x_mm,cov_rho_y_mm_rho_y_mm,cov_rho_y_mm_rho_z_mm,cov_rho_y_mm_omega_x_rad,cov_rho_y_mm_omega_y_rad,cov_rho_y_mm_omega_z_rad,cov_rho_z_mm_rho_x_mm,cov_rho_z_mm_rho_y_mm,cov_rho_z_mm_rho_z_mm,cov_rho_z_mm_omega_x_rad,cov_rho_z_mm_omega_y_rad,cov_rho_z_mm_omega_z_rad,cov_omega_x_rad_rho_x_mm,cov_omega_x_rad_rho_y_mm,cov_omega_x_rad_rho_z_mm,cov_omega_x_rad_omega_x_rad,cov_omega_x_rad_omega_y_rad,cov_omega_x_rad_omega_z_rad,cov_omega_y_rad_rho_x_mm,cov_omega_y_rad_rho_y_mm,cov_omega_y_rad_rho_z_mm,cov_omega_y_rad_omega_x_rad,cov_omega_y_rad_omega_y_rad,cov_omega_y_rad_omega_z_rad,cov_omega_z_rad_rho_x_mm,cov_omega_z_rad_rho_y_mm,cov_omega_z_rad_rho_z_mm,cov_omega_z_rad_omega_x_rad,cov_omega_z_rad_omega_y_rad,cov_omega_z_rad_omega_z_rad
ihawk1,20260808_131913,0.0,3,2,A/A/A,0,0.17162147505336153,0.00042784512036135407,-41.55219267089491,65.18346884166156,626.8654291546967,1.9910620296772086,-0.6646750269243994,0.4191859541370772,0.03512572130916444,0.06449110326862223,0.04604530532465056,0.00014310162444494142,0.00017115573986932608,5.7225309495437235e-05,0.001233816297489089,0.0022596778952645256,-0.00161621027191931,5.0148562489237264e-06,-5.691112184098148e-06,8.462505064152397e-07,0.0022596778952645256,0.004159102400804096,-0.0029679443934759486,9.140199167636048e-06,-1.0673435945969878e-05,1.3142438361176711e-06,-0.00161621027191931,-0.0029679443934759486,0.0021201701424402933,-6.552060193109887e-06,7.551312987938396e-06,-1.0178554652771267e-06,5.0148562489237264e-06,9.140199167636048e-06,-6.552060193109887e-06,2.047807491878106e-08,-2.259344016890722e-08,3.945919317006478e-09,-5.691112184098148e-06,-1.0673435945969878e-05,7.551312987938396e-06,-2.259344016890722e-08,2.9294287290216417e-08,-1.0398771715631653e-09,8.462505064152397e-07,1.3142438361176711e-06,-1.0178554652771267e-06,3.945919317006478e-09,-1.0398771715631653e-09,3.2747360468485794e-09
ihawk1,20260808_131913,5.0,3,2,A/A/A,0,0.2185675715776765,0.00040413168650204923,-40.56539256168017,62.436551400657756,623.9606295702968,1.9934718205776305,-0.6604316098593683,0.41096712232680865,0.04352566318490493,0.0846668094534485,0.06310676569516993,0.00016661249119643832,8.361161661835987e-05,0.00011316848765631106,0.0018944833556857885,0.0036805024967120916,-0.002746081223529027,6.956444594598589e-06,-3.142941721844396e-06,4.8518374799851925e-06,0.0036805024967120916,0.0071684686230265564,-0.0053289432332316545,1.371534309090908e-05,-5.926204024209713e-06,9.342621449949052e-06,-0.002746081223529027,-0.0053289432332316545,0.003982463876505076,-1.0017242375006969e-05,4.6150396968990135e-06,-7.060282895444961e-06,6.956444594598589e-06,1.371534309090908e-05,-1.0017242375006969e-05,2.7759722222683234e-08,-9.556440605324199e-09,1.6896374371288493e-08,-3.142941721844396e-06,-5.926204024209713e-06,4.6150396968990135e-06,-9.556440605324199e-09,6.990902433535592e-09,-8.872365679536618e-09,4.8518374799851925e-06,9.342621449949052e-06,-7.060282895444961e-06,1.6896374371288493e-08,-8.872365679536618e-09,1.2807106598416627e-08
ihawk1,20260808_131913,10.0,3,2,A/A/A,0,0.22046041428733576,0.0006776815299509076,-38.02748259833143,57.65357409038277,621.8267715269963,1.9934296673670848,-0.6499754715474877,0.40500570199347546,0.05435881882065364,0.08181227059769595,0.05966477521514618,0.00027402725301184713,0.00011386126980930883,0.0002201056778052396,0.0029548811835766486,0.0039263889849134,-0.0031277911797407483,9.199497648551256e-06,-4.8440945073099594e-06,1.0747121980647432e-06,0.0039263889849134,0.006693247620350626,-0.004762453715036349,2.0504043072021324e-05,-3.713884032176173e-06,9.849880897334093e-06,-0.0031277911797407483,-0.004762453715036349,0.0035598854014739223,-1.3139160722199576e-05,4.009024673551252e-06,-4.597229130993727e-06,9.199497648551256e-06,2.0504043072021324e-05,-1.3139160722199576e-05,7.509093539321888e-08,1.938364148836556e-10,5.059188579089159e-08,-4.8440945073099594e-06,-3.713884032176173e-06,4.009024673551252e-06,1.938364148836556e-10,1.2964388762588222e-08,1.3775004446221212e-08,1.0747121980647432e-06,9.849880897334093e-06,-4.597229130993727e-06,5.059188579089159e-08,1.3775004446221212e-08,4.8446509402103947e-08
ihawk1,20260808_131913,15.0,3,2,A/A/A,0,0.07338016415193689,0.0002528369478426361,-39.27227782248614,53.12584338962803,619.467646634724,1.997032946192537,-0.6485608432705702,0.4038022043146457,0.00732548634412972,0.023992588671341936,0.02686945503638785,4.877894877871854e-05,6.063827129094439e-05,0.00012011099198240701,5.366275017803101e-05,0.00016689673469705334,-0.00018940672408350757,2.4835001882807623e-07,-4.11366599928348e-07,-3.570254568742206e-07,0.00016689673469705334,0.0005756443111522054,-0.000644062465252857,5.085902490839169e-07,-1.4515027681034925e-06,-1.936122602965916e-06,-0.00018940672408350757,-0.000644062465252857,0.0007219676139524685,-6.20180786618591e-07,1.61922176267092e-06,2.0626754087009015e-06,2.4835001882807623e-07,5.085902490839169e-07,-6.20180786618591e-07,2.379385843956847e-09,-1.1013067909165291e-09,2.1978168219742093e-09,-4.11366599928348e-07,-1.4515027681034925e-06,1.61922176267092e-06,-1.1013067909165291e-09,3.6769999451541704e-09,5.2487559553945365e-09,-3.570254568742206e-07,-1.936122602965916e-06,2.0626754087009015e-06,2.1978168219742093e-09,5.2487559553945365e-09,1.442665039499784e-08
ihawk1,20260808_131913,20.0,3,2,A/A/A,0,0.22794308662130136,0.00379629787198498,-36.959614389772696,48.95906831290404,616.2917062592828,1.9958072098667405,-0.641679858712431,0.4062632698918939,0.04657640749922042,0.03848121511117281,0.11536761758639912,0.0010698062826852812,0.0019081844673510752,4.323671289623693e-05,0.0021693617355334365,0.0017857262472433745,-0.005367537418059868,4.9805691497062026e-05,8.884155550872265e-05,-2.0082342744200188e-06,0.0017857262472433745,0.0014808039164323549,-0.004436105219537793,4.110282575803246e-05,7.33066800072197e-05,-1.642491804707972e-06,-0.005367537418059868,-0.004436105219537793,0.013309687187561627,-0.00012340315135043602,-0.00022010396034262568,4.9515311176861814e-06,4.9805691497062026e-05,4.110282575803246e-05,-0.00012340315135043602,1.1444854824728998e-06,2.0413846001204105e-06,-4.600411158145454e-08,8.884155550872265e-05,7.33066800072197e-05,-0.00022010396034262568,2.0413846001204105e-06,3.6411679614399067e-06,-8.207118933072502e-08,-2.0082342744200188e-06,-1.642491804707972e-06,4.9515311176861814e-06,-4.600411158145454e-08,-8.207118933072502e-08,1.8694133420716205e-09
ihawk1,20260808_131913,25.0,3,2,A/A/A,0,1.4115194351274682,0.0036273406003827524,-36.53740236767079,44.543725297232335,610.968781382935,1.9909008943114619,-0.646122654964262,0.4059799926702084,0.23610177504696392,0.6328830336336179,0.44522032954867813,0.0009107816292900125,0.00035093753484124785,0.001828670994044354,0.05574404818032716,0.1494203572112152,-0.10510550518650355,0.0002149857803537844,8.08514639441286e-05,0.00043153587041756624,0.1494203572112152,0.4005409342612911,-0.28176494877022623,0.000576166108385359,0.00021709494455517762,0.0011564368956459865,-0.10510550518650355,-0.28176494877022623,0.19822114184343356,-0.00040522324891619546,-0.00015295764359286236,-0.000813275240358482,0.0002149857803537844,0.000576166108385359,-0.00040522324891619546,8.295231762521697e-07,3.102886428906123e-07,1.6654397021037058e-06,8.08514639441286e-05,0.00021709494455517762,-0.00015295764359286236,3.102886428906123e-07,1.2315715336045203e-07,6.214571037354125e-07,0.00043153587041756624,0.0011564368956459865,-0.000813275240358482,1.6654397021037058e-06,6.214571037354125e-07,3.3440376044591652e-06
ihawk1,20260808_131913,30.0,3,2,A/A/A,0,0.17816682785448434,0.0017162758058867974,-37.9556385336719,39.98005103633968,609.0870348666796,1.987624367137699,-0.6585680562089402,0.4137185303878473,0.05515450620823634,0.03940105415151675,0.0621391065305417,0.0002766578982219666,0.000865519814301325,0.00026721521854463547,0.003042019555074381,0.0021716521446579016,-0.003340661177997542,-1.4247299274180252e-05,-4.5089780028017616e-05,-1.4495593549858732e-05,0.0021716521446579016,0.0015524430682507554,-0.002405119801416202,-1.0315610209713237e-05,-3.2604053323513954e-05,-1.027767600833822e-05,-0.003340661177997542,-0.002405119801416202,0.00386126856041401,1.7020878989619263e-05,5.346145117074021e-05,1.5248579340749412e-05,-1.4247299274180252e-05,-1.0315610209713237e-05,1.7020878989619263e-05,7.653959264859604e-08,2.3933356286943926e-07,6.310788573347335e-08,-4.5089780028017616e-05,-3.2604053323513954e-05,5.346145117074021e-05,2.3933356286943926e-07,7.491245489482001e-07,2.0113617428882172e-07,-1.4495593549858732e-05,-1.027767600833822e-05,1.5248579340749412e-05,6.310788573347335e-08,2.0113617428882172e-07,7.140397302185729e-08
ihawk1,20260808_131913,35.0,3,2,A/A/A,0,2.2234259889267687,0.0064584958164678906,-39.00609078516801,37.04211623633403,604.1819562547548,1.987510841225577,-0.6496877933263192,0.4198909176385395,0.5081977493321866,0.9188807733110983,0.534758449615971,0.0004911131845767371,0.0032303867574056252,0.000812353274675534,0.25826495242630004,0.4669684056467914,-0.27167963962636427,0.0002236025674007343,-0.0016385784697071951,0.0004123866788260198,0.4669684056467914,0.8443418755608021,-0.49127829659255484,0.0004051982291701127,-0.002961890159338483,0.0007454788150225747,-0.27167963962636427,-0.49127829659255484,0.2859665994356769,-0.00023810706531539818,0.0017210615200616767,-0.0004333046809763154,0.0002236025674007343,0.0004051982291701127,-0.00023810706531539818,2.4119216006510423e-07,-1.3753913378448385e-06,3.4877152099395576e-07,-0.0016385784697071951,-0.002961890159338483,0.0017210615200616767,-1.3753913378448385e-06,1.043539860242163e-05,-2.6239291459346197e-06,0.0004123866788260198,0.0007454788150225747,-0.0004333046809763154,3.4877152099395576e-07,-2.6239291459346197e-06,6.599178428760635e-07
ihawk1,20260808_131913,40.0,3,2,A/A/A,0,0.06180365562535816,0.0007173490819510935,-41.7845895299371,32.76772715131587,598.8523408228069,1.9859446875583633,-0.6534990221945511,0.41861296619439115,0.01730103253522341,0.02421103349994348,0.01553639560152423,0.00015654275812382716,0.00030611909657128476,0.00024551538192958515,0.000299325726784859,-0.00036990351267582924,0.00020837342535936425,4.539062305373663e-07,-3.615300381831199e-06,-4.238193153800456e-06,-0.00036990351267582924,0.0005861741431353855,-0.0003689976917457917,-2.3141173649199937e-06,1.92647257448771e-06,5.0513132456442786e-06,0.00020837342535936425,-0.0003689976917457917,0.0002413795882870614,1.8306222379432366e-06,-3.2126581521072245e-07,-2.7895222940487987e-06,4.539062305373663e-07,-2.3141173649199937e-06,1.8306222379432366e-06,2.4505635121015052e-08,2.904133463938368e-08,-3.897356806538522e-09,-3.615300381831199e-06,1.92647257448771e-06,-3.2126581521072245e-07,2.904133463938368e-08,9.370890128561956e-08,5.485617505048677e-08,-4.238193153800456e-06,5.0513132456442786e-06,-2.7895222940487987e-06,-3.897356806538522e-09,5.485617505048677e-08,6.027780276403006e-08
ihawk1,20260808_131913,45.0,3,2,A/A/A,0,0.08943421257149307,0.0008492550546140922,-42.01687506282585,28.95047858286003,600.8086608618826,1.9915459497594106,-0.6481361012462536,0.4192988898711163,0.032915492124001314,0.03279707903246311,0.02468084047424342,1.4805255922478e-05,0.0002904698878959361,0.00036739853704973374,0.0010834296217651926,-0.0009478955237122051,0.0007204548306867478,3.588330937846336e-07,-8.637075115645417e-06,-1.2092107949809385e-05,-0.0009478955237122051,0.0010756483930616312,-0.000809318405233472,-1.5672019568690704e-07,9.511755058216945e-06,1.0653412721415591e-05,0.0007204548306867478,-0.000809318405233472,0.0006091438865150522,1.2437296991999053e-07,-7.1641090088938775e-06,-8.094729240142333e-06,3.588330937846336e-07,-1.5672019568690704e-07,1.2437296991999053e-07,2.191956029300699e-10,-1.6127120988309204e-09,-3.9576918073516495e-09,-8.637075115645417e-06,9.511755058216945e-06,-7.1641090088938775e-06,-1.6127120988309204e-09,8.437275577427768e-08,9.6985296457639e-08,-1.2092107949809385e-05,1.0653412721415591e-05,-8.094729240142333e-06,-3.9576918073516495e-09,9.6985296457639e-08,1.3498168502628458e-07
