camera,height_mm,run_id,bias_kind,b_run_rho_x_mm,b_run_rho_y_mm,b_run_rho_z_mm,b_run_omega_x_rad,b_run_omega_y_rad,b_run_omega_z_rad,gaussian_fit,definition
ihawk1,20.0,20260808_131913,condition_residual,1.2790679035213655,-3.494673626651154,0.2662147536472965,-0.0019218104213993951,0.002395104537684772,-0.01556274653077453,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,20.0,20260808_141232,condition_residual,1.2449517721692378,3.4963674246218424,-0.49389511251197743,0.004649719178271408,-0.0028435133967878575,0.014497748279837535,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,20.0,20260808_145501,condition_residual,-0.9864197841704916,0.8172638318760704,0.25628742725441855,-0.0005259079065924704,6.44128910328848e-05,0.010868211787574722,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,20.0,20260808_151001,condition_residual,-1.4889263322494244,-0.10367485372146859,-0.5910533907106641,-0.0008471673516578097,-0.00330873136093423,-0.0007436428848738561,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,20.0,20260808_162715,condition_residual,-0.04867355927070493,-0.7152827761252877,0.5624463223209356,-0.0013548334986246769,0.003692727328996715,-0.009059570651745681,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,25.0,20260808_131913,condition_residual,0.5370897266154822,-4.961561073555576,1.2802583695961829,-0.002901800112067527,-0.0026064801634168152,-0.011800675190667038,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,25.0,20260808_141232,condition_residual,-0.6929578939892365,2.4516774802680015,-0.1815699293672066,-0.00042700298033034593,0.009092143886150063,0.004523412509618098,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,25.0,20260808_145501,condition_residual,0.9285409927835145,0.3851765005115074,0.428657306526276,0.002003202984643763,-0.0010677489326272268,0.005699084049002212,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,25.0,20260808_151001,condition_residual,-2.2360720710351356,-0.01443311773279163,-0.8016853071016766,-0.0007616791890139188,-0.0008689430279679024,0.0005696353681021427,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,25.0,20260808_162715,condition_residual,1.4633992456253153,2.1391402105089505,-0.7256604396535001,0.0020872792967036543,-0.004548971762272542,0.0010085432640514398,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,30.0,20260808_131913,condition_residual,0.0042623706105103885,-4.666601680643587,1.672640349053769,-0.005578248299256605,4.6541445651261784e-05,-0.012456419523359566,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,30.0,20260808_141232,condition_residual,-0.20467196678037836,3.206185754940304,-1.2354269530915656,0.0017150098311019856,-0.0017020882286325793,0.005206591870946678,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,30.0,20260808_145501,condition_residual,-0.8014351558753317,0.909314697218865,0.3596088670703445,0.0018626890848775445,0.0029473663720888817,0.0019269125446395273,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,30.0,20260808_151001,condition_residual,-1.1702478244139403,0.8215298805267239,-1.0400016662023048,0.001635567622747313,-0.0010132634681010674,0.002930440963139681,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,30.0,20260808_162715,condition_residual,2.1720925764591286,-0.27042865204231414,0.24317940316975964,0.00036498176055445146,-0.00027855612101366405,0.0023924741446968737,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,35.0,20260808_131913,condition_residual,-1.8568240253199522,-4.853815209747084,1.2302047691540245,-0.001453017328998528,0.003652076445778498,-0.012259611869365111,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,35.0,20260808_141232,condition_residual,1.029666138766757,5.282392567565939,-0.8808853316818852,0.0037959646191025637,-0.005313999672107925,0.003325956941058571,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,35.0,20260808_145501,condition_residual,-0.4632215516884562,0.22986038596000347,0.6290395276134334,-0.006876146722440779,0.005247808829589468,-0.009875397455921189,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,35.0,20260808_151001,condition_residual,-1.7384582719064101,-0.4940955681816605,-0.7556896732437126,0.0025215697135195425,-0.0008601714481578287,0.010968042129219332,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,35.0,20260808_162715,condition_residual,3.028837710148063,-0.16434217559716705,-0.22266929184181278,0.002011629718793334,-0.0027257141550701123,0.007841010254963207,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,40.0,20260808_131913,condition_residual,-4.25935280731712,-4.980677741268764,1.9041686508303628,-0.004919235092130123,0.0038921011190927103,-0.015037276962311703,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,40.0,20260808_141232,condition_residual,1.1353944652780987,4.278818215932199,-0.5341920913543592,0.001969042862676941,-0.0031147923877066146,-0.000435780336953385,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,40.0,20260808_145501,condition_residual,1.2918484514776634,-0.3116608232839033,0.3020738707007013,-5.914237005074935e-05,0.0018319490803352973,0.0020322150920529538,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,40.0,20260808_151001,condition_residual,-1.0665069376124965,1.2944740727946686,-1.1172870370667987,0.002497810864759598,-0.0005470250164728204,0.01814167913187789,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,40.0,20260808_162715,condition_residual,2.898616828173862,-0.28095372417421155,-0.5547633931098922,0.0005115237347386759,-0.0020622327952365166,-0.004700836924660899,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,45.0,20260808_131913,condition_residual,-2.7087115421216597,-3.7773232293205505,-0.05367595904351859,-0.0018286405741010548,0.004348060196083617,-0.020148802480878834,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,45.0,20260808_141232,condition_residual,1.1858415454236997,6.739596080731126,-1.1979424149454119,0.0021260562831282243,-0.005663881245140967,-0.004446040099139957,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,45.0,20260808_145501,condition_residual,-0.26897028033202824,-0.3412493143963699,0.7251003668619982,-0.004384479980821875,0.0020697436702182734,-0.006178494732370906,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,45.0,20260808_151001,condition_residual,-0.4952698492741342,-0.7242706903207234,0.03820657493760814,0.005334086418135482,0.0018635042665799094,0.029517753702307373,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,45.0,20260808_162715,condition_residual,2.287110126304182,-1.8967528466934818,0.4883114321893701,-0.0012470221463487673,-0.0026174268877143477,0.0012555836100898376,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,50.0,20260808_131913,condition_residual,-0.2606068660161552,-3.636686949685355,-0.19178675727082917,-0.0002152057254162026,-0.003973006699869513,-0.02390147684255441,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,50.0,20260808_141232,condition_residual,2.3113495153690597,4.6868892940946365,-0.33698864856828975,0.0028524926681524473,-0.005212532763575294,0.001945388958494772,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,50.0,20260808_145501,condition_residual,0.4564095936760908,-0.9059502707571712,0.5688549890059063,-0.004472231007597359,0.0036635705003173393,-0.0019261896444227266,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,50.0,20260808_151001,condition_residual,-4.531549928705703,0.6979603159660165,0.041945745766108204,0.0022906119496726054,0.006512215597201818,0.03761797525366987,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk1,50.0,20260808_162715,condition_residual,2.0243976856767034,-0.8422123896181447,-0.08202532893288657,-0.00045566788481609435,-0.00099024663406867,-0.013735697725183106,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,0.0,20260808_131913,baseline_placement,-1.9836431340205702,1.6917087926350642,0.29716368293685147,0.00258992263973464,0.002309521158687138,0.016514980577555415,0,Log(inv(T_bar_camera_height0) @ T_bar_camera_run_height0)
