frame_index,timestamp,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_raw_px,v_raw_px,u_undist_px,v_undist_px
1,2026-08-07T21:25:53.934,0,0,0,0.0,0.0,231.7828826904297,249.47999572753906,231.7828826904297,249.47999572753906
1,2026-08-07T21:25:53.934,1,1,0,25.0,0.0,246.74755859375,244.12539672851562,246.74755859375,244.12539672851562
1,2026-08-07T21:25:53.934,2,2,0,50.0,0.0,260.8265075683594,238.8905792236328,260.8265075683594,238.8905792236328
1,2026-08-07T21:25:53.934,3,3,0,75.0,0.0,274.5982971191406,234.54364013671875,274.5982971191406,234.54364013671875
1,2026-08-07T21:25:53.934,4,4,0,100.0,0.0,287.50946044921875,229.46929931640625,287.50946044921875,229.46929931640625
1,2026-08-07T21:25:53.934,5,5,0,125.0,0.0,300.54595947265625,225.12850952148438,300.54595947265625,225.12850952148438
1,2026-08-07T21:25:53.934,6,0,1,0.0,25.0,239.22328186035156,257.71783447265625,239.22328186035156,257.71783447265625
1,2026-08-07T21:25:53.934,7,1,1,25.0,25.0,254.36911010742188,251.99697875976562,254.36911010742188,251.99697875976562
1,2026-08-07T21:25:53.934,8,2,1,50.0,25.0,268.8909606933594,246.58566284179688,268.8909606933594,246.58566284179688
1,2026-08-07T21:25:53.934,9,3,1,75.0,25.0,282.7496337890625,241.6486053466797,282.7496337890625,241.6486053466797
1,2026-08-07T21:25:53.934,10,4,1,100.0,25.0,295.93780517578125,236.7391357421875,295.93780517578125,236.7391357421875
1,2026-08-07T21:25:53.934,11,5,1,125.0,25.0,309.1849670410156,231.77183532714844,309.1849670410156,231.77183532714844
1,2026-08-07T21:25:53.934,12,0,2,0.0,50.0,246.89210510253906,266.4249572753906,246.89210510253906,266.4249572753906
1,2026-08-07T21:25:53.934,13,1,2,25.0,50.0,262.16033935546875,260.3398742675781,262.16033935546875,260.3398742675781
1,2026-08-07T21:25:53.934,14,2,2,50.0,50.0,276.9596862792969,254.5824432373047,276.9596862792969,254.5824432373047
1,2026-08-07T21:25:53.934,15,3,2,75.0,50.0,290.98712158203125,249.1427001953125,290.98712158203125,249.1427001953125
1,2026-08-07T21:25:53.934,16,4,2,100.0,50.0,304.5621032714844,244.04592895507812,304.5621032714844,244.04592895507812
