run_id,trial_index,is_baseline,timestamp,scan_tx_mm,scan_ty_mm,scan_tz_mm,fixed_target_x_mm,fixed_target_y_mm,fixed_target_z_mm,clearance_mm,random_seed,random_base_rad,random_shoulder_rad,random_elbow_rad,random_wrist_rad,random_roll_rad,random_hand_rad,random_feedback_x_mm,random_feedback_y_mm,random_feedback_z_mm,final_feedback_x_mm,final_feedback_y_mm,final_feedback_z_mm,final_tracking_error_mm,manual_dx_mm,manual_dy_mm,manual_dz_mm,manual_xy_offset_mm,manual_3d_offset_mm,success,failure_type,notes
20260807_195654,1,True,2026-08-07T20:00:04,282.4987562892452,20.83847978877683,-76.32843798227229,282.4987562892452,20.83847978877683,-66.32843798227229,10.0,20260807,,,,,,,,,,280.4843822,6.024533365,-67.77189296,15.01979606688052,0.0,0.0,0.0,0.0,0.0,True,none,Trial 1 physical baseline
20260807_195654,2,False,2026-08-07T20:03:47,282.4987562892452,20.83847978877683,-76.32843798227229,282.4987562892452,20.83847978877683,-66.32843798227229,10.0,20260807,-0.20528,0.05399,1.53402,-0.10618,-0.02449,3.14,355.7052165,-57.79336391,227.8503364,280.4421364,7.74543977,-67.77189296,13.331952016672481,0.0,0.0,0.0,0.0,0.0,True,none,below_1mm_measurement_resolution[D
20260807_195654,3,False,2026-08-07T20:06:51,282.4987562892452,20.83847978877683,-76.32843798227229,282.4987562892452,20.83847978877683,-66.32843798227229,10.0,20260807,-0.0105,-0.00623,1.68758,0.09401,0.16212,3.14,340.1452703,9.394361128,161.1837177,281.4975323,7.774588406,-67.8154462,13.186314912712366,0.5,-0.5,0.3,0.7071067811865476,0.7681145747868608,True,none,below_1mm_measurement_resolution
