n_points,distribution,n_trials,spread_score_mean,spread_score_sd,spread_score_min,spread_score_max,hull_coverage_mean,mean_pairwise_distance_mm
4,spread,100,0.6577717683824416,0.046667699027264045,0.6063483040942681,0.8349312985509718,0.6507142857142856,142.97693661453945
4,random,100,0.3249091195492704,0.09426576366115415,0.16941686844183346,0.5985628621103398,0.21514285714285716,93.48047552896952
4,clustered,100,0.1129370843357033,0.0101744587258333,0.09012206164653187,0.1261731110771178,0.03514285714285714,41.018319509455495
6,spread,100,0.7199756515991547,0.03721318648439925,0.6788576783469422,0.8257109934407327,0.8451428571428572,127.91839311382948
6,random,100,0.4064288692101886,0.10028840572096402,0.21068505595788928,0.6694336681218471,0.3894285714285715,91.06188555041055
6,clustered,100,0.18223089702042716,0.01695124918744073,0.11882325832531397,0.20136310017297246,0.11628571428571427,53.37228403883066
8,spread,100,0.7365813140680948,0.022678978078279895,0.7091467986739293,0.8041130322861555,0.9187142857142858,119.23862463214613
8,random,100,0.46949756392690956,0.0886260710831687,0.30303563446212733,0.6870291746375353,0.5135714285714286,91.49082593839134
8,clustered,100,0.24698491670807335,0.017711950770526664,0.19556599951250986,0.2678490990194346,0.20814285714285716,61.4694154999528
12,spread,100,0.7534122208654717,0.008212588741154334,0.7414389308426096,0.7719488933065893,0.9932857142857143,110.44067926767529
12,random,100,0.5548959456930959,0.06538947266069466,0.40791687151443007,0.6884670164301352,0.6832857142857144,91.72362159552983
12,clustered,100,0.35856287352851474,0.017893304796963338,0.30440779433278425,0.3807950156597261,0.3875714285714286,70.87333601929241
16,spread,100,0.7473586551133339,0.004309020664430163,0.7426210255547955,0.7635179026857124,1.0,106.39298044515576
16,random,100,0.6214755082821294,0.061084757243856855,0.4749632741691632,0.7280503475749575,0.8147142857142857,92.09579125166138
16,clustered,100,0.44499569590020854,0.01653624743412736,0.3990528202265561,0.4634366783897035,0.536142857142857,76.09800475976841
24,spread,100,0.7357937574381613,0.0019699871210026557,0.7337058677617945,0.743797330067416,1.0,101.41872987106068
24,random,100,0.6813970422022527,0.032028874778125604,0.591045606070032,0.7316978108593398,0.9324285714285716,92.55360315841594
24,clustered,100,0.5603532110830012,0.014246503007237099,0.5087849042211534,0.5749276530346594,0.7395714285714285,81.9661796388183
