subset_id,n_points,distribution,trial_index,global_trial_id,spread_score,hull_area_mm2,hull_coverage,mean_pairwise_distance_mm,corner_indices,grid_col_row
N12_clustered_T100,12,clustered,100,1200,0.3807950156597261,9375.0,0.42857142857142855,71.61835852036388,4;9;15;16;18;19;21;26;27;28;34;45,"4,0;3,1;3,2;4,2;0,3;1,3;3,3;2,4;3,4;4,4;4,5;3,7"
N16_spread_T001,16,spread,1,1201,0.7635179026857124,21875.0,1.0,113.34333562956922,0;4;5;6;9;13;17;24;30;31;39;41;42;43;45;47,"0,0;4,0;5,0;0,1;3,1;1,2;5,2;0,4;0,5;1,5;3,6;5,6;0,7;1,7;3,7;5,7"
N16_spread_T002,16,spread,2,1202,0.7627790255839009,21875.0,1.0,113.02553257146155,0;2;4;5;6;7;10;13;19;30;39;40;41;42;43;47,"0,0;2,0;4,0;5,0;0,1;1,1;4,1;1,2;1,3;0,5;3,6;4,6;5,6;0,7;1,7;5,7"
N16_spread_T003,16,spread,3,1203,0.7610160757413288,21875.0,1.0,112.26725917269722,0;4;5;6;7;9;10;18;29;30;32;39;41;42;45;47,"0,0;4,0;5,0;0,1;1,1;3,1;4,1;0,3;5,4;0,5;2,5;3,6;5,6;0,7;3,7;5,7"
N16_spread_T004,16,spread,4,1204,0.7597764305379736,21875.0,1.0,111.73406760994772,0;4;5;6;8;9;17;27;28;29;30;41;42;43;45;47,"0,0;4,0;5,0;0,1;2,1;3,1;5,2;3,4;4,4;5,4;0,5;5,6;0,7;1,7;3,7;5,7"
N16_spread_T005,16,spread,5,1205,0.7562759048084451,21875.0,1.0,110.22843456339491,0;4;5;6;10;18;19;23;24;29;32;34;41;42;43;47,"0,0;4,0;5,0;0,1;4,1;0,3;1,3;5,3;0,4;5,4;2,5;4,5;5,6;0,7;1,7;5,7"
N16_spread_T006,16,spread,6,1206,0.7544908221225124,21875.0,1.0,109.46064146874693,0;4;5;6;7;8;9;10;17;32;37;38;40;42;45;47,"0,0;4,0;5,0;0,1;1,1;2,1;3,1;4,1;5,2;2,5;1,6;2,6;4,6;0,7;3,7;5,7"
N16_spread_T007,16,spread,7,1207,0.7537916975175778,21875.0,1.0,109.15993660605494,0;2;4;5;6;9;10;17;20;26;28;30;42;43;45;47,"0,0;2,0;4,0;5,0;0,1;3,1;4,1;5,2;2,3;2,4;4,4;0,5;0,7;1,7;3,7;5,7"
N16_spread_T008,16,spread,8,1208,0.7537553534896198,21875.0,1.0,109.1443044485545,0;4;5;7;9;24;26;30;34;37;40;41;42;43;45;47,"0,0;4,0;5,0;1,1;3,1;0,4;2,4;0,5;4,5;1,6;4,6;5,6;0,7;1,7;3,7;5,7"
N16_spread_T009,16,spread,9,1209,0.7536491170798143,21875.0,1.0,109.09861044093698,0;4;5;6;8;10;16;23;24;26;29;30;37;42;43;47,"0,0;4,0;5,0;0,1;2,1;4,1;4,2;5,3;0,4;2,4;5,4;0,5;1,6;0,7;1,7;5,7"
