subset_id,n_points,distribution,trial_index,point_order,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_undist_median_px,v_undist_median_px
N04_spread_T017,4,spread,17,2,17,5,2,125.0,50.0,317.6033935546875,238.67313385009766
N04_spread_T017,4,spread,17,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T017,4,spread,17,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T018,4,spread,18,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T018,4,spread,18,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T018,4,spread,18,3,37,1,6,25.0,150.0,299.1462707519531,299.0100555419922
N04_spread_T018,4,spread,18,4,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T019,4,spread,19,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T019,4,spread,19,2,17,5,2,125.0,50.0,317.6033935546875,238.67313385009766
N04_spread_T019,4,spread,19,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T019,4,spread,19,4,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T020,4,spread,20,1,4,4,0,100.0,0.0,287.49256896972656,229.35186767578125
N04_spread_T020,4,spread,20,2,13,1,2,25.0,50.0,262.1682434082031,260.2814483642578
N04_spread_T020,4,spread,20,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T020,4,spread,20,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T021,4,spread,21,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T021,4,spread,21,2,9,3,1,75.0,25.0,282.7714385986328,241.5723114013672
N04_spread_T021,4,spread,21,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T021,4,spread,21,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T022,4,spread,22,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T022,4,spread,22,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T022,4,spread,22,3,38,2,6,50.0,150.0,315.092529296875,291.53961181640625
N04_spread_T022,4,spread,22,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T023,4,spread,23,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T023,4,spread,23,2,23,5,3,125.0,75.0,327.05821228027344,245.8694610595703
N04_spread_T023,4,spread,23,3,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T023,4,spread,23,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T024,4,spread,24,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T024,4,spread,24,2,2,2,0,50.0,0.0,260.8468322753906,238.825927734375
N04_spread_T024,4,spread,24,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T024,4,spread,24,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T025,4,spread,25,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T025,4,spread,25,2,4,4,0,100.0,0.0,287.49256896972656,229.35186767578125
