dataset,camera,pose_key,height_mm,run_id,n_runs_for_condition,b_rho_x_mm,b_rho_y_mm,b_rho_z_mm,b_omega_x_rad,b_omega_y_rad,b_omega_z_rad,definition
E4,ihawk1,board_static,0.0,20260811_191758,2,-0.10593349299500329,-0.18766462263582573,-0.14103173947951703,-0.009396540692355543,-0.003711207119494052,-0.00035532580056719373,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E4,ihawk1,board_static,0.0,20260811_192958,2,0.10593349299489188,0.18766462263584566,0.14103173947948158,0.00939654069235555,0.003711207119494022,0.00035532580056731554,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E4,ihawk2,board_static,0.0,20260811_191758,2,0.051610284463219254,-0.2676900721745382,0.24659366569066368,-0.0005779084209309322,-0.0009241755321921654,-0.0003771273840379042,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E4,ihawk2,board_static,0.0,20260811_192958,2,-0.05161028446322076,0.26769007217449653,-0.24659366569063182,0.0005779084209309176,0.0009241755321921733,0.0003771273840379065,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,0.0,20260808_131913,5,-4.90840158823872,0.056743717095208326,1.663239951090865,-0.002058625157085719,0.0004470789692736773,0.01631155459900442,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,0.0,20260808_141232,5,1.5103791924964598,0.7195602261524433,0.28541668782957863,0.004858050671262411,0.008785479140418278,-0.005777177778618035,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,0.0,20260808_145501,5,1.0144273283472753,0.6291388470960253,-1.1709558590024045,-0.002595522204045823,-0.0005693264783496598,-0.001251640362568839,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,0.0,20260808_151001,5,-0.12952691848978137,-0.31720834049322755,-0.19845263871113705,0.001539950639261778,0.0005025199257420492,-0.0007913663444317822,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,0.0,20260808_162715,5,2.5131219858847382,-1.0882344498505807,-0.5792481412068502,-0.0017438539493199235,-0.0091657515570582,-0.00849137011336886,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,0.0,20260808_131913,5,-3.9819330485138544,4.844178411297767,-3.273768138359329,-0.3711420186566493,0.21688126971397598,0.012459032774049323,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,0.0,20260808_141232,5,1.4952927479724942,-1.573944316251604,10.2215838274167,1.4948756012537032,-0.9084352833104299,-0.017407779945922335,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,0.0,20260808_145501,5,1.00928230556624,-0.1723555637697157,-3.4219550823796867,-0.37768795952241013,0.22356424841867828,0.00483261007552359,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,0.0,20260808_151001,5,0.7361970197958128,1.1207662633048294,-3.94934598887829,-0.37540154924067687,0.23307775183530535,0.007633067481097361,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,0.0,20260808_162715,5,0.7411609751791698,-4.2186447945814844,0.42348538220049703,-0.3706440738339673,0.23491201334247086,-0.007516930384748042,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,0.0,20260808_131913,5,-0.5403224363814996,1.4031351940098122,0.23887695979341725,-0.0073390689747363964,-0.0023641397111754964,0.014028458757585101,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,0.0,20260808_141232,5,0.414697655123553,1.873417253551682,-0.8314718475425946,0.003868964728255456,-0.004187615637336208,-0.007711678319604886,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,0.0,20260808_145501,5,-0.5712719337555541,-0.13232763010297952,-0.2103358001341002,0.00751363514806145,0.0066696328554142655,-0.0009062091006371535,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,0.0,20260808_151001,5,-0.638198556870093,-0.7496568949255391,0.712997533893978,-0.003390338396010932,-0.004053681335036215,-0.006765794138437665,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,0.0,20260808_162715,5,1.3350952718835603,-2.394567922532825,0.08993315398914983,-0.0006531925055766338,0.003935803828181963,0.0013552228011250939,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,0.0,20260808_131913,5,-0.22069056976325235,4.243628317687282,-0.4876245179921089,-0.009385074879792392,-0.0035170001426764975,0.009658317688717215,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,0.0,20260808_141232,5,-1.4517646398689628,-1.1358438404766924,1.4907994434033656,-0.003074582931205206,-0.002795500028672647,-0.011657472254592797,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,0.0,20260808_145501,5,-0.03190420411451793,-0.4168162006686561,-0.6465946712816776,0.0018471951995133625,0.0008815004851476918,-0.005103594985746227,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,0.0,20260808_151001,5,-0.054512964940702395,0.0017132599109654482,-0.2749272764729691,0.004640227620083999,0.0028991356469345838,0.0046990095277186636,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,0.0,20260808_162715,5,1.7588723786871445,-2.6926815364528305,-0.08165297765633973,0.005972234991408776,0.0025318640392703587,0.0024037400238686142,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,0.0,20260808_131913,5,-1.642337050060153,3.6301463986942157,-5.164646744501802,-0.09945908371884227,0.0823346330314446,0.020401583051770873,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,0.0,20260808_141232,5,0.25412645608885787,0.42708854391397494,16.884391408583905,0.43962960950423907,-0.2989747325629443,-0.011923723547120266,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,0.0,20260808_145501,5,0.29162903562951054,-0.41126196332533166,-4.666632590804468,-0.10901125066071803,0.07434595611875085,-0.001182422202223173,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,0.0,20260808_151001,5,0.12898008445463832,0.15856284213397126,-4.534327785433629,-0.11026442074510738,0.06908241144189986,-0.0006120154930120338,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,0.0,20260808_162715,5,0.9676014738870797,-3.8045358214168283,-2.51878428784388,-0.12089485437956897,0.07321173197084718,-0.006683421809415563,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,5.0,20260808_131913,5,-2.8878873621365826,3.2963514281391375,-2.919358718383913,0.003336688921529645,-0.00855364431550433,0.0231211575519871,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,5.0,20260808_141232,5,-1.527656128420469,-0.4259012451421802,2.3848112360495506,-0.013426815940412513,-0.004192351175085825,-0.009287412312414357,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,5.0,20260808_145501,5,0.6213012862356299,-0.7070601656401355,-0.19627359852258294,0.004811305290260014,0.005037769781223218,2.726831200132398e-06,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
