experiment,phase,position,camera_id,serial,sample_index,wall_time_iso,color_stamp_s,depth_stamp_s,color_depth_dt_ms,marker_id,u_px,v_px,marker_area_px2,depth_patch_size,depth_valid_count,depth_valid_ratio,depth_median_raw,depth_mean_raw,depth_std_raw,x_cam_raw,y_cam_raw,z_cam_raw,fx,fy,cx,cy,color_frame_id,depth_frame_id
E0-A,formal,right,ihawk2,HK100QB5311M2B242,1,2026-08-07T18:58:33.513,1786100313.403155,1786100313.403155,0.0,4,500.271728515625,290.3572692871094,1061.1719766301103,9,81,1.0,487.0,485.4074074074074,5.407813277512866,223.28525814818457,108.7523727301036,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,1,2026-08-07T18:58:33.579,1786100313.409969,1786100313.409969,0.0,4,414.7034912109375,333.0735168457031,1674.6860937811434,9,81,1.0,416.0,416.55555555555554,3.00416377715996,95.8508091707794,135.10425193090978,416.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,2,2026-08-07T18:58:33.705,1786100313.568228,1786100313.608081,39.85309600830078,4,500.2959899902344,290.3667297363281,1061.0224891928956,9,81,1.0,488.0,485.5925925925926,5.47443553660507,223.77400471516282,108.98748121230422,488.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,2,2026-08-07T18:58:33.798,1786100313.679967,1786100313.679967,0.0,4,414.70416259765625,333.066162109375,1674.925252571702,9,81,1.0,416.0,416.4938271604938,2.9543334983974114,95.8515043365064,135.09663952865307,416.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,3,2026-08-07T18:58:33.912,1786100313.76813,1786100313.76813,0.0,4,500.29425048828125,290.3545837402344,1057.8963637724519,9,81,1.0,487.0,485.3333333333333,5.371219600798314,223.31328662570294,108.74903058102282,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,3,2026-08-07T18:58:33.999,1786100313.870246,1786100313.870246,0.0,4,414.70086669921875,333.0653381347656,1673.8683332074434,9,81,1.0,416.0,416.4320987654321,3.0697649405326555,95.8480917047557,135.09578668690648,416.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,4,2026-08-07T18:58:34.121,1786100313.998153,1786100313.998153,0.0,4,500.31048583984375,290.3841247558594,1059.7749594650231,9,81,1.0,487.0,485.2962962962963,5.562024012094079,223.3334914360549,108.78579422091141,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,4,2026-08-07T18:58:34.201,1786100314.109968,1786100314.109968,0.0,4,414.72210693359375,333.0964660644531,1671.8762820605189,9,81,1.0,416.0,416.5432098765432,3.0415842200901215,95.87008422048238,135.12800515288927,416.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,5,2026-08-07T18:58:34.336,1786100314.228388,1786100314.228388,0.0,4,500.27203369140625,290.373046875,1058.4942074385472,9,81,1.0,487.0,485.25925925925924,5.354385533788583,223.28563793785284,108.77200785595319,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,5,2026-08-07T18:58:34.411,1786100314.266076,1786100314.266076,0.0,4,414.716796875,333.075927734375,1673.9396179746836,9,81,1.0,417.0,416.58024691358025,2.957465965699623,96.09502980811695,135.43152311750106,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,6,2026-08-07T18:58:34.562,1786100314.428287,1786100314.428287,0.0,4,500.2441711425781,290.40740966796875,1059.2576970853843,9,81,1.0,487.0,485.28395061728395,5.548050486209626,223.25096314113975,108.81477217260044,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,6,2026-08-07T18:58:34.617,1786100314.500116,1786100314.500116,0.0,4,414.7544860839844,333.0855407714844,1672.3592062457465,9,81,1.0,416.0,416.51851851851853,3.0004629272460237,95.90361016758872,135.11669710306393,416.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,7,2026-08-07T18:58:34.761,1786100314.598187,1786100314.658182,59.99493598937988,4,500.2801513671875,290.4107971191406,1060.8286914923228,9,81,1.0,487.0,485.24691358024694,5.546464784431455,223.29574034302883,108.81898783791824,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,7,2026-08-07T18:58:34.838,1786100314.695071,1786100314.695071,0.0,4,414.7531433105469,333.07611083984375,1672.9892456871457,9,81,1.0,417.0,416.58024691358025,3.0119105129919785,96.13275401843313,135.43171309346704,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,8,2026-08-07T18:58:34.961,1786100314.858184,1786100314.858184,0.0,4,500.25799560546875,290.3596496582031,1060.6452692938037,9,81,1.0,487.0,485.2345679012346,5.273214401430762,223.2681676131124,108.75533508951611,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,8,2026-08-07T18:58:35.039,1786100314.926088,1786100314.926088,0.0,4,414.7505798339844,333.0814514160156,1673.571818605531,9,81,1.0,417.0,416.5925925925926,3.0527765140023666,96.13009336883904,135.43725405914176,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,9,2026-08-07T18:58:35.177,1786100315.028178,1786100315.028178,0.0,4,500.2740478515625,290.398193359375,1061.2057600058615,9,81,1.0,487.0,485.2962962962963,5.47595755198222,223.28814454966343,108.80330252461867,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,9,2026-08-07T18:58:35.246,1786100315.124086,1786100315.124086,0.0,4,414.69793701171875,333.0611572265625,1674.100407218095,9,81,1.0,417.0,416.61728395061726,2.98984908162004,96.07545502896043,135.41619838957783,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,10,2026-08-07T18:58:35.393,1786100315.258181,1786100315.258181,0.0,4,500.30169677734375,290.30609130859375,1055.954924931284,9,81,1.0,487.0,485.39506172839504,5.519689783732594,223.32255349360872,108.68868200273464,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,10,2026-08-07T18:58:35.468,1786100315.330001,1786100315.330001,0.0,4,414.7091369628906,333.10113525390625,1672.6741717630066,9,81,1.0,417.0,416.679012345679,3.003444524599327,96.08707953373461,135.4576764754857,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,11,2026-08-07T18:58:35.618,1786100315.482168,1786100315.482168,0.0,4,500.28631591796875,290.4295959472656,1063.4002611599863,9,81,1.0,486.0,485.1111111111111,5.536244214266564,222.8448835273991,108.61888722874966,486.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,11,2026-08-07T18:58:35.694,1786100315.560017,1786100315.560017,0.0,4,414.70550537109375,333.114990234375,1673.1687620980665,9,81,1.0,417.0,416.641975308642,3.0220383931020325,96.08331028014298,135.47205132357897,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,12,2026-08-07T18:58:35.817,1786100315.648203,1786100315.688149,39.94607925415039,4,500.296875,290.3879089355469,1062.8158242655918,9,81,1.0,488.0,485.5432098765432,5.4544692287977234,223.77510836678198,109.01389273725955,488.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,12,2026-08-07T18:58:35.898,1786100315.784041,1786100315.784041,0.0,4,414.69586181640625,333.10162353515625,1675.5113922744058,9,81,1.0,417.0,416.65432098765433,3.037928956654354,96.07330116976522,135.45818307806167,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,13,2026-08-07T18:58:36.018,1786100315.918182,1786100315.918182,0.0,4,500.2640380859375,290.3043518066406,1058.1831368529238,9,81,1.0,487.0,485.24691358024694,5.464729783341375,223.27568744854415,108.6865172016255,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,13,2026-08-07T18:58:36.119,1786100315.99002,1786100315.99002,0.0,4,414.7025451660156,333.0941467285156,1671.9492263179272,9,81,1.0,416.0,416.51851851851853,3.0582311517898346,95.84982961907319,135.12560456130623,416.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,14,2026-08-07T18:58:36.236,1786100316.076048,1786100316.076048,0.0,4,500.28924560546875,290.3526306152344,1058.127013122663,9,81,1.0,486.0,485.28395061728395,5.376417412881079,222.8485220216009,108.52330095398953,486.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,14,2026-08-07T18:58:36.320,1786100316.18009,1786100316.221656,41.56613349914551,4,414.73583984375,333.081787109375,1672.9105841768906,9,81,1.0,416.0,416.51851851851853,3.0004629272460237,95.8843035194436,135.11281193510717,416.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,15,2026-08-07T18:58:36.459,1786100316.308081,1786100316.308081,0.0,4,500.2788391113281,290.38922119140625,1061.5877553541213,9,81,1.0,487.0,485.14814814814815,5.433946795633703,223.2941072474553,108.79213670837153,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,15,2026-08-07T18:58:36.533,1786100316.422581,1786100316.422581,0.0,4,414.7124938964844,333.10089111328125,1671.865717546083,9,81,1.0,416.0,416.4938271604938,3.0908067587206234,95.86013071120954,135.13258522893585,416.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,16,2026-08-07T18:58:36.677,1786100316.538112,1786100316.538112,0.0,4,500.37060546875,290.36669921875,1063.2722900798544,9,81,1.0,487.0,485.41975308641975,5.375556244545452,223.4083100007042,108.76410823085317,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,16,2026-08-07T18:58:36.747,1786100316.610013,1786100316.610013,0.0,4,414.708740234375,333.0733337402344,1671.3904814347625,9,81,1.0,417.0,416.60493827160496,2.994490826274473,96.08666776653551,135.42883179131618,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,17,2026-08-07T18:58:36.892,1786100316.780667,1786100316.780667,0.0,4,500.29876708984375,290.32061767578125,1058.981086644344,9,81,1.0,487.0,485.2716049382716,5.3642621712566685,223.31890751279334,108.70675999094432,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk1,HK100QB6513M2B479,17,2026-08-07T18:58:36.964,1786100316.840122,1786100316.840122,0.0,4,414.7118835449219,333.09735107421875,1674.5497382637113,9,81,1.0,417.0,416.61728395061726,3.01897292648745,96.08993022972827,135.4537503055219,417.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,right,ihawk2,HK100QB5311M2B242,18,2026-08-07T18:58:37.110,1786100316.968078,1786100316.968078,0.0,4,500.27545166015625,290.34747314453125,1055.5780695527792,9,81,1.0,487.0,485.358024691358,5.468794752903304,223.28989158213747,108.74018148175212,487.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
