camera_id,serial,sample_index,wall_time_iso,color_stamp_s,depth_stamp_s,color_depth_dt_ms,marker_id,u_px,v_px,marker_area_px2,depth_patch_size,depth_valid_count,depth_valid_ratio,depth_median_raw,depth_mean_raw,depth_std_raw,x_cam_raw,y_cam_raw,z_cam_raw,fx,fy,cx,cy,color_frame_id,depth_frame_id
ihawk2,HK100QB5311M2B242,1,2026-08-07T18:42:41.246,1786099361.052569,1786099361.052569,0.0,4,373.0,341.0,1661.0,9,81,1.0,413.0,413.5679012345679,3.1620336478480833,55.03522303518701,145.67535037156608,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
ihawk1,HK100QB6513M2B479,1,2026-08-07T18:42:41.351,1786099361.066448,1786099361.066448,0.0,4,271.25,278.25,953.5,9,81,1.0,490.0,490.9382716049383,5.285228658753436,-62.0550631718182,92.29909415176984,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
ihawk2,HK100QB5311M2B242,2,2026-08-07T18:42:41.421,1786099361.157334,1786099361.157334,0.0,4,373.0,341.0,1661.0,9,81,1.0,413.0,413.41975308641975,3.208832332527146,55.03522303518701,145.67535037156608,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
ihawk2,HK100QB5311M2B242,3,2026-08-07T18:42:41.628,1786099361.514476,1786099361.484758,29.71816062927246,4,373.0,341.0,1661.0,9,81,1.0,413.0,413.6296296296296,3.187649778616075,55.03522303518701,145.67535037156608,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
ihawk1,HK100QB6513M2B479,2,2026-08-07T18:42:41.698,1786099361.586206,1786099361.556391,29.814958572387695,4,271.25,278.0,976.5,9,81,1.0,490.0,490.9382716049383,5.285228658753436,-62.0550631718182,91.99430649167314,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
ihawk2,HK100QB5311M2B242,4,2026-08-07T18:42:41.856,1786099361.756429,1786099361.714957,41.47195816040039,4,373.0,341.0,1661.0,9,81,1.0,413.0,413.60493827160496,3.208110862897661,55.03522303518701,145.67535037156608,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
ihawk1,HK100QB6513M2B479,3,2026-08-07T18:42:41.940,1786099361.786573,1786099361.786573,0.0,4,271.0,278.25,968.5,9,81,1.0,490.0,491.0246913580247,5.265394830024562,-62.359963831937,92.29909415176984,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
ihawk2,HK100QB5311M2B242,5,2026-08-07T18:42:42.057,1786099361.94476,1786099361.91047,34.29007530212402,4,373.0,341.0,1661.0,9,81,1.0,414.0,413.69135802469134,3.1884242789685393,55.16848023381942,146.0280751908677,414.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
ihawk1,HK100QB6513M2B479,4,2026-08-07T18:42:42.162,1786099362.056395,1786099362.0164,39.99495506286621,4,271.25,278.0,976.5,9,81,1.0,490.0,490.81481481481484,5.443140433405865,-62.0550631718182,91.99430649167314,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
ihawk2,HK100QB5311M2B242,6,2026-08-07T18:42:42.278,1786099362.144769,1786099362.144769,0.0,4,373.0,341.0,1661.0,9,81,1.0,413.0,413.60493827160496,3.076845025125896,55.03522303518701,145.67535037156608,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
ihawk1,HK100QB6513M2B479,5,2026-08-07T18:42:42.396,1786099362.286584,1786099362.246386,40.19784927368164,4,271.25,278.0,976.5,9,81,1.0,490.0,491.04938271604937,5.328933370215613,-62.0550631718182,91.99430649167314,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
ihawk2,HK100QB5311M2B242,7,2026-08-07T18:42:42.515,1786099362.374793,1786099362.374793,0.0,4,373.0,341.0,1661.0,9,81,1.0,413.0,413.60493827160496,3.164960554042021,55.03522303518701,145.67535037156608,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
