relative_noise_factor,C_yaw_vs_q1_sigma,T_yaw_vs_q6_sigma,C_R_angle_deg
1.0,0.2823231243826977,1.1526953438981697,0.6046057059732669
0.5,0.564325212642296,2.186623559129981,1.0608518204703883
0.4,0.7051059932253924,2.6358591706936543,1.295427030765476
0.3,0.9392773669250803,3.275467213450019,1.6929164020922178
0.25,1.1260930446217645,3.694062237672784,2.0144098172839033
