pixel_sigma_px,P_C_angle_deg,P_T_angle_deg
1.0,0.00013684369656212056,0.00010365529379322739
0.5,0.00014202441845313795,0.00010820381069890026
0.17,0.00017995596180171044,0.00013536284316236746
0.08,0.0002561093255664882,0.00016703880108332115
0.03,0.0003982824319421114,0.00019083130205687002
