action_pair,minimum_angle_deg,all_principal_angles_deg,historical_fingerprint_deg
P-C,0.00017995596180171044,"[0.00017995596180171044, 0.0155409532513412, 0.062442419511802544, 6.422328362604278, 31.49909861759072]",0.572
P-T,0.00013536284316236746,"[0.00013536284316236746, 0.01641882013551374, 0.04006614357338587, 4.988761753512451, 29.326029787054082]",0.572
P-R,0.3912087560058337,"[0.3912087560058337, 1.2789127006669139, 1.7385447869271782, 4.5068498921430304, 28.873086821374027]",1.142
C-R,0.6046057059732669,"[0.6046057059732669, 0.9000381691280844, 1.5435411512264405, 9.674541312065504, 9.904066665564015, 13.855187826965896]",0.386
T-R,0.7748467551376205,"[0.7748467551376205, 1.2827374317084346, 1.7634110557125304, 4.232143227614391, 4.328843534180922, 5.760506954528337]",0.573
