dataset,camera,height_mm,component,run_id,pose_key,sample_id,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,coordinate
E2,ihawk1,0.0,within_pose,20260808_131913,marker_0,1,-0.10049692661233052,-0.26268625988542665,0.14175041552700599,-0.00015531433538555538,0.0004929299382136421,4.478765399850303e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_0,2,0.3720020392989724,0.8029523763841004,-0.5063558262574842,0.0008188974321622545,-0.0007548790983067702,0.0007177306023007395,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_0,3,-0.2715051126867594,-0.540266116498691,0.3646054107305921,-0.0006635830966595364,0.0002619491600651667,-0.0007625182561548867,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_0,1,0.09312602077983069,0.4712407445908515,-0.18052571907706325,0.0007510176267004015,-0.0025597100676341303,-0.0007121006954435749,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_0,2,0.35143157763060495,0.6599892149388202,-0.7260241242076838,0.0018755241722084553,0.0016269404410753712,0.001388115319913778,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_0,3,-0.44455759841044706,-1.1312299595296669,0.9065498432846519,-0.002626541798952311,0.0009327696265722475,-0.0006760146244822931,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_0,1,-0.058843570393366,-0.10380238894846297,0.125208030855531,-0.00031108571935459516,-0.00033539420118623535,-0.0002225693577853448,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_0,2,-0.06404891097543854,-0.15425806728934455,0.0934691770468269,-0.0005338586872185884,0.00019017092772863014,-0.0005465061748057223,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_0,3,0.12289248136883765,0.25806045623765894,-0.21867720790233597,0.0008449444066407994,0.00014522327346725957,0.0007690755326531278,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_0,1,-0.025726216970840696,0.05181894025103303,-0.07591087320682677,0.0004528397245727703,-0.0003079583510967278,-0.0003228060294498938,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_0,2,0.020496106564287908,0.012975435264821257,0.00989874404909176,-0.00029364616222555217,0.0002879097825426217,0.00014285544397681392,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_0,3,0.005230110406508223,-0.06479437551589258,0.06601212915764786,-0.00015919356232814734,2.0048568581951668e-05,0.0001799505854288085,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_0,1,0.3836952259813264,0.4745017484945969,-0.5100482214756719,0.0018423213668674343,0.0007531401183618047,0.001963390395569372,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_0,2,-0.11160848898078791,-0.22011056897561462,0.09905633419617592,0.0002286592149636244,0.0007135826336345178,1.140006597081349e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_0,3,-0.27208673700030206,-0.2543911795189821,0.4109918872793792,-0.002070980581878959,-0.001466722752223459,-0.001974790461513248,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_1,1,-0.22291846192963344,-0.3195218185960931,0.28129494870203237,-0.0005486555861622462,5.813440029647765e-05,-2.8828924380681796e-06,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_1,2,0.43463045425030816,0.7417841638893864,-0.5865354662681633,0.0010727811935711893,0.00014219797050711642,-0.00043449654828004087,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_1,3,-0.21171199232071408,-0.4222623452933815,0.3052405175661328,-0.0005241256072732962,-0.00020033237078000477,0.0004373794406534991,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_1,1,0.11113410361455603,0.16912086922912928,0.08010971932476531,3.617504452392565e-05,-0.000196055862153276,6.603495074181347e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_1,2,-0.024363649924519403,-0.06594277422404607,-0.0308169567925518,-6.081186421629283e-06,4.1938372318408794e-05,7.738556249126157e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_1,3,-0.08677045368997208,-0.10317809500516578,-0.049292762532075,-3.0093858167694846e-05,0.0001541174901807353,-0.00014342051344053833,right-invariant board-normalized SE(3) log
