dataset,camera,height_mm,component,n_vectors,covariance_rank,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,cov_rho_x_mm_rho_x_mm,cov_rho_x_mm_rho_y_mm,cov_rho_x_mm_rho_z_mm,cov_rho_x_mm_omega_x_rad,cov_rho_x_mm_omega_y_rad,cov_rho_x_mm_omega_z_rad,cov_rho_y_mm_rho_x_mm,cov_rho_y_mm_rho_y_mm,cov_rho_y_mm_rho_z_mm,cov_rho_y_mm_omega_x_rad,cov_rho_y_mm_omega_y_rad,cov_rho_y_mm_omega_z_rad,cov_rho_z_mm_rho_x_mm,cov_rho_z_mm_rho_y_mm,cov_rho_z_mm_rho_z_mm,cov_rho_z_mm_omega_x_rad,cov_rho_z_mm_omega_y_rad,cov_rho_z_mm_omega_z_rad,cov_omega_x_rad_rho_x_mm,cov_omega_x_rad_rho_y_mm,cov_omega_x_rad_rho_z_mm,cov_omega_x_rad_omega_x_rad,cov_omega_x_rad_omega_y_rad,cov_omega_x_rad_omega_z_rad,cov_omega_y_rad_rho_x_mm,cov_omega_y_rad_rho_y_mm,cov_omega_y_rad_rho_z_mm,cov_omega_y_rad_omega_x_rad,cov_omega_y_rad_omega_y_rad,cov_omega_y_rad_omega_z_rad,cov_omega_z_rad_rho_x_mm,cov_omega_z_rad_rho_y_mm,cov_omega_z_rad_rho_z_mm,cov_omega_z_rad_omega_x_rad,cov_omega_z_rad_omega_y_rad,cov_omega_z_rad_omega_z_rad,coordinate
E2,ihawk1,0.0,within_pose,75,6,0.27769005348115233,0.3424804224429124,5.933861854239145,0.1583737155096226,0.1034850379733262,0.0011157522705031839,0.07711176580236526,0.07708127713418234,-0.3136483979276185,-0.005969153475730735,0.0037873168614399842,-1.795275848823954e-05,0.07708127713418234,0.1172928397566757,0.3790968527272731,0.013070627760127318,-0.008591013675548367,-6.842352729978491e-06,-0.3136483979276185,0.3790968527272731,35.21071650519442,0.9381322680186751,-0.6128923412042394,-0.0016147841114727978,-0.005969153475730735,0.013070627760127318,0.9381322680186751,0.02508223376432287,-0.016388043072910967,-4.255220897549328e-05,0.0037873168614399842,-0.008591013675548367,-0.6128923412042394,-0.016388043072910967,0.010709153084340764,2.886110803615131e-05,-1.795275848823954e-05,-6.842352729978491e-06,-0.0016147841114727978,-4.255220897549328e-05,2.886110803615131e-05,1.24490312913301e-06,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,between_run,5,4,1.2424563759077003,2.104939785752374,24.445799909514676,0.21708798108164434,0.1345084925045489,0.00917450014170852,1.5436978460336965,-2.4022187466615104,-2.9667625215753857,0.03165416677377865,-0.018229141536902523,-0.009437222147646857,-2.4022187466615104,4.4307715016432505,-0.8701468512631032,-0.0035735015815999737,0.0002275545465778795,0.0136250503163259,-2.9667625215753857,-0.8701468512631032,597.5971332160277,-5.305079215052285,3.287347207515301,0.14325253231915272,0.03165416677377865,-0.0035735015815999737,-5.305079215052285,0.047127191530104376,-0.0291990599918538,-0.0013024349561512477,-0.018229141536902523,0.0002275545465778795,3.287347207515301,-0.0291990599918538,0.018092534555846293,0.0007991558804634549,-0.009437222147646857,0.0136250503163259,0.14325253231915272,-0.0013024349561512477,0.0007991558804634549,8.417145285020967e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,cross_pose,25,6,9.310714413525636,9.600785877073875,54.048691921192734,0.33079226019644414,0.19984394499745037,0.00832975031701868,86.68940289023404,14.047186966461226,235.9934966923369,-1.2275438489034503,0.6872376802211466,-0.04648069962158705,14.047186966461226,92.17508945742117,325.60122063603035,-1.5152842719719608,0.9160460357698775,0.03146164365716254,235.9934966923369,325.60122063603035,2921.261098392005,-16.832672133133304,10.060097225481243,0.08671537361518927,-1.2275438489034503,-1.5152842719719608,-16.832672133133304,0.109423519405872,-0.06598172494751764,-0.0005694571300187388,0.6872376802211466,0.9160460357698775,10.060097225481243,-0.06598172494751764,0.03993760235214397,0.0003861389235779792,-0.04648069962158705,0.03146164365716254,0.08671537361518927,-0.0005694571300187388,0.0003861389235779792,6.938474034387282e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,total_sum,,6,9.39735135567837,9.834793022673182,59.61601251436754,0.42618416758521105,0.26218178806379944,0.012441908869752081,88.3102125020701,11.722049496933899,232.7130857728339,-1.2018588356054023,0.6727958555456841,-0.05593587452772215,11.722049496933899,96.72315379882109,325.1101706374945,-1.5057871457934335,0.907682576640907,0.045079851620758456,232.7130857728339,325.1101706374945,3554.068948113227,-21.199619080166915,12.734552091792304,0.22835312182286918,-1.2018588356054023,-1.5057871457934335,-21.199619080166915,0.18163294470029925,-0.1115688280122824,-0.0019144442951454798,0.6727958555456841,0.907682576640907,12.734552091792304,-0.1115688280122824,0.06873928999233103,0.0012141559120775855,-0.05593587452772215,0.045079851620758456,0.22835312182286918,-0.0019144442951454798,0.0012141559120775855,0.0001548010963232155,right-invariant board-normalized SE(3) log
E2,ihawk1,5.0,within_pose,75,6,0.2242226129562071,0.2906736794694673,0.2716465016102211,0.0008992653814156499,0.0007716673699914499,0.0009232535985635845,0.05027578016090905,0.05607514932676276,-0.05181846823612686,8.22220805459342e-05,-2.867837477722182e-05,6.689787350895059e-05,0.05607514932676276,0.08449118793631862,-0.06911069049601408,0.00011494204781708036,-5.129548100274355e-05,8.690280129653047e-05,-0.05181846823612686,-0.06911069049601408,0.07379182183707184,-0.0001382114833944003,7.784887171196829e-05,-7.715888202427402e-05,8.22220805459342e-05,0.00011494204781708036,-0.0001382114833944003,8.086782262126344e-07,-1.0688345153052933e-07,5.088659339853703e-07,-2.867837477722182e-05,-5.129548100274355e-05,7.784887171196829e-05,-1.0688345153052933e-07,5.954705299095212e-07,1.842753648812884e-07,6.689787350895059e-05,8.690280129653047e-05,-7.715888202427402e-05,5.088659339853703e-07,1.842753648812884e-07,8.523972072606085e-07,right-invariant board-normalized SE(3) log
E2,ihawk1,5.0,between_run,5,4,2.6746491945435964,3.8134138106583912,1.7764434225710846,0.004822865035840145,0.005123844971182059,0.010084854405115634,7.153748313872709,3.5723928514346297,-2.07607557796681,-0.011296290177478614,-0.0021390031324733084,-0.010099254282477948,3.5723928514346297,14.542124891320151,-4.860027345346704,-0.006925184894461773,-0.013768511202136851,0.027811822972701985,-2.07607557796681,-4.860027345346704,3.1557512335960687,0.0023646763219772214,0.008600055541794868,-0.008746741671141211,-0.011296290177478614,-0.006925184894461773,0.0023646763219772214,2.326002715392936e-05,2.3701624023491203e-06,1.296760929493327e-05,-0.0021390031324733084,-0.013768511202136851,0.008600055541794868,2.3701624023491203e-06,2.6253787288707674e-05,-3.56383285437656e-05,-0.010099254282477948,0.027811822972701985,-0.008746741671141211,1.296760929493327e-05,-3.56383285437656e-05,0.00010170428837238023,right-invariant board-normalized SE(3) log
E2,ihawk1,5.0,cross_pose,25,6,9.467381762941598,6.875697901485421,4.2861090720628425,0.009179858543477923,0.009925177618940887,0.01127119718265275,89.63131744527915,-1.2957220538580145,-16.20860429092172,0.011604122835552358,0.023634294885093457,-0.027470453357776432,-1.2957220538580145,47.275221632491025,-4.958446813379776,-0.018147985080142235,-0.019242830143538413,0.01508627111663137,-16.20860429092172,-4.958446813379776,18.370730977619402,0.00022704737266128583,0.026746170786351282,0.012795377538258747,0.011604122835552358,-0.018147985080142235,0.00022704737266128583,8.426980287826462e-05,2.6204013193287678e-05,5.2329424710844015e-05,0.023634294885093457,-0.019242830143538413,0.026746170786351282,2.6204013193287678e-05,9.85091507675251e-05,3.374181536066618e-05,-0.027470453357776432,0.01508627111663137,0.012795377538258747,5.2329424710844015e-05,3.374181536066618e-05,0.00012703988593023929,right-invariant board-normalized SE(3) log
E2,ihawk1,5.0,total_sum,,6,9.840494984466623,7.867772093276946,4.6476094966178625,0.010408578589721395,0.01119635693367009,0.015152444407087594,96.83534153931276,2.332745946903378,-18.336498337124656,0.00039005473861967836,0.021466613377842926,-0.03750280976674543,2.332745946903378,61.9018377117475,-9.887584849222495,-0.024958227926786928,-0.03306263682667801,0.04298499689062989,-18.336498337124656,-9.887584849222495,21.600274033052543,0.002453512211244107,0.035424075199858115,0.003971476985093262,0.00039005473861967836,-0.024958227926786928,0.002453512211244107,0.00010833850825840661,2.846729214410627e-05,6.580589993976266e-05,0.021466613377842926,-0.03306263682667801,0.035424075199858115,2.846729214410627e-05,0.0001253584085861423,-1.712237818218128e-06,-0.03750280976674543,0.04298499689062989,0.003971476985093262,6.580589993976266e-05,-1.712237818218128e-06,0.00022959657150988013,right-invariant board-normalized SE(3) log
E2,ihawk1,10.0,within_pose,75,6,0.2440951999620097,0.19816044879410077,0.23658943637637792,0.0009846434949066206,0.00087072956046678,0.0013676112581756804,0.05958246664449351,0.024564929587038643,-0.04191169017184337,6.107136643681209e-05,2.6094949802492022e-05,0.00016553339309737102,0.024564929587038643,0.03926756346627943,-0.03687774847473145,1.3159206290671085e-05,-2.5435166256901194e-05,-2.0459874242965715e-05,-0.04191169017184337,-0.03687774847473145,0.05597456140489217,-5.663423922825835e-05,3.795808472976005e-05,-3.615219986440932e-05,6.107136643681209e-05,1.3159206290671085e-05,-5.663423922825835e-05,9.695228120619242e-07,4.588946196429013e-07,8.774002683637527e-07,2.6094949802492022e-05,-2.5435166256901194e-05,3.795808472976005e-05,4.588946196429013e-07,7.581699674706719e-07,7.653225470539435e-07,0.00016553339309737102,-2.0459874242965715e-05,-3.615219986440932e-05,8.774002683637527e-07,7.653225470539435e-07,1.8703605534888677e-06,right-invariant board-normalized SE(3) log
E2,ihawk1,10.0,between_run,5,4,2.609471595780617,3.1227283451099357,1.3359523415089731,0.004963911704748517,0.002362198114226871,0.010726807496905135,6.80934200918584,-2.2135525309986126,-2.848154638666828,0.002229900454788276,-0.0023838399748658365,-0.02088617302142905,-2.2135525309986126,9.751432317353038,-0.5651617798879821,0.012768059066748477,0.0034823029085177576,0.016444168456069237,-2.848154638666828,-0.5651617798879821,1.784768658783308,-0.004301583633618826,0.001508257881663164,0.004954713374361712,0.002229900454788276,0.012768059066748477,-0.004301583633618826,2.4640419412539327e-05,1.6290578598363088e-07,1.4555255344661877e-05,-0.0023838399748658365,0.0034823029085177576,0.001508257881663164,1.6290578598363088e-07,5.579979930856985e-06,-1.7215312567404055e-06,-0.02088617302142905,0.016444168456069237,0.004954713374361712,1.4555255344661877e-05,-1.7215312567404055e-06,0.0001150643990756602,right-invariant board-normalized SE(3) log
