trial,timestamp,target_x_mm,target_y_mm,target_z_mm,start_x_mm,start_y_mm,start_z_mm,first_x_mm,first_y_mm,first_z_mm,first_dx_mm,first_dy_mm,first_dz_mm,first_xy_error_mm,first_3d_error_mm,settled_x_mm,settled_y_mm,settled_z_mm,settled_dx_mm,settled_dy_mm,settled_dz_mm,settled_xy_error_mm,settled_3d_error_mm,settle_drift_3d_mm,base_rad,shoulder_rad,elbow_rad,wrist_rad,roll_rad,base_pid_p,base_pid_i,t104_spd
1,2026-08-11T17:07:31,241.913571675,54.004575551,-78.676144925,355.5554824,-9.819970743,183.2755607,234.1759188,54.09740454,-85.58611792,-7.737652874999981,0.09282898899999736,-6.909972995000004,7.7382096918598835,10.374373042590262,234.1759188,54.09740454,-85.58611792,-7.737652874999981,0.09282898899999736,-6.909972995000004,7.7382096918598835,10.374373042590262,0.0,0.227029157,0.533825314,1.822369176,0.753184567,0.004601942,16,8,0.05
2,2026-08-11T17:07:58,241.913571675,54.004575551,-78.676144925,352.7219105,-12.99151725,172.4232548,234.8887614,52.74603522,-85.22923588,-7.024810274999993,-1.258540330999999,-6.553090955000002,7.136657702629367,9.688905213129186,234.8075736,53.10628787,-85.22923588,-7.105998074999974,-0.8982876809999993,-6.553090955000002,7.1625504814793235,9.707993122383355,0.3692877342951687,0.222427214,0.532291333,1.822369176,0.751650586,0.004601942,16,8,0.05
3,2026-08-11T17:08:25,241.913571675,54.004575551,-78.676144925,352.8265416,-9.744601017,172.4232548,235.2269962,52.4430895,-85.24073151,-6.686575474999984,-1.5614860510000028,-6.564586585000001,6.866478738796097,9.499596165222014,235.2269962,52.4430895,-85.24073151,-6.686575474999984,-1.5614860510000028,-6.564586585000001,6.866478738796097,9.499596165222014,0.0,0.219359253,0.532291333,1.822369176,0.750116605,0.004601942,16,8,0.05
4,2026-08-11T17:08:53,241.913571675,54.004575551,-78.676144925,352.7779616,-11.36817951,172.4232548,232.9105989,55.69021363,-85.66213865,-9.00297277499999,1.6856380790000003,-6.985993725,9.159415621139038,11.5195053212586,234.4345777,48.87919552,-85.66213865,-7.47899397499998,-5.125380030999999,-6.985993725,9.06669020868473,11.445915414067978,6.97943257561798,0.205553426,0.532291333,1.826971118,0.751650586,0.004601942,16,8,0.05
5,2026-08-11T17:09:20,241.913571675,54.004575551,-78.676144925,352.5044661,-10.81809592,170.995958,233.9949855,52.16841674,-85.67484873,-7.918586174999973,-1.8361588110000042,-6.998703804999991,8.128682930839021,10.72647850602587,233.9949855,52.16841674,-85.67484873,-7.918586174999973,-1.8361588110000042,-6.998703804999991,8.128682930839021,10.72647850602587,0.0,0.219359253,0.532291333,1.826971118,0.750116605,0.004601942,16,8,0.05
