run_id,camera_id,motion_tier,motion_scenario,translation_mm,rotation_deg,pixel_noise_sigma_px,height_gt_mm,method,n_planned,n_success,success_rate,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,z_rmse_mm,error_3d_rmse_mm
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,0.0,DynamicHomography,250,250,1.0,0.17052494129719944,0.19477783944470062,0.15657976931631945,0.3385137104736422,0.0,0.19477783944470062
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,0.0,FrozenExtrinsicPnP,250,250,1.0,1.3053633417693056,1.6257047533994764,1.1154201622830953,3.0845948646863124,1.1015509576379774,1.9637541744064602
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,0.0,FrozenHomography,250,250,1.0,0.876747260721218,0.8874008406492532,0.8769158224346907,1.0924038857958314,0.0,0.8874008406492532
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,0.0,OracleMotionAwarePnP,250,250,1.0,1.3053633417693056,1.6257047533994764,1.1154201622830953,3.0845948646863124,1.1015509576379774,1.9637541744064602
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,0.0,RelocalizedPnP,250,250,1.0,1.30842964983335,1.6441242385504573,1.1437651281394552,3.2533180744529218,1.1184293813273782,1.9884739859514038
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,10.0,DynamicHomography,250,250,1.0,14.885659842106199,14.92995362630182,14.880902594447566,16.604469208596573,10.0,17.969516278506855
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,10.0,FrozenExtrinsicPnP,250,250,1.0,1.3194156374427928,1.6078468682104188,1.1204645193658025,3.0871232531086923,1.0752958961649208,1.9342783708461333
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,10.0,FrozenHomography,250,250,1.0,14.008258024362377,14.05936232688415,13.968902862227779,15.839651210235965,10.0,17.252990147757266
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,10.0,OracleMotionAwarePnP,250,250,1.0,1.3194156374427928,1.6078468682104188,1.1204645193658025,3.0871232531086923,1.0752958961649208,1.9342783708461333
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,10.0,RelocalizedPnP,250,250,1.0,1.349198276011387,1.637397699138478,1.1767410292266771,2.8817194143716147,1.0965812897514406,1.9706754553139678
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,25.0,DynamicHomography,250,250,1.0,38.85830073173866,38.973634880886934,38.778646264018946,43.22828541498848,25.0,46.30274522993952
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,25.0,FrozenExtrinsicPnP,250,250,1.0,1.2560483865204453,1.5719290901092842,1.0918943063136153,3.1658503731755374,0.9971346183623725,1.8615151118023394
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,25.0,FrozenHomography,250,250,1.0,38.01229015343803,38.13439980343116,37.92138031858296,42.45001104996567,25.0,45.5986013860944
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,25.0,OracleMotionAwarePnP,250,250,1.0,1.2560483865204453,1.5719290901092842,1.0918943063136153,3.1658503731755374,0.9971346183623725,1.8615151118023394
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,25.0,RelocalizedPnP,250,250,1.0,1.281975432536502,1.5815538301651173,1.0627336903139655,3.1090399737011385,1.0076657461190546,1.8752873842725075
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,50.0,DynamicHomography,250,250,1.0,83.96781711579493,84.21786876639625,83.81497243284747,93.4355621402606,50.0,97.94207175445055
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,50.0,FrozenExtrinsicPnP,250,250,1.0,1.2547452385124562,1.5677674820769119,0.981882125030394,3.0822079207904545,0.9233645882139083,1.819477133856103
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,50.0,FrozenHomography,250,250,1.0,83.18048666216916,83.4373006851902,83.02943256563478,92.65694779955986,50.0,97.27169755705326
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,50.0,OracleMotionAwarePnP,250,250,1.0,1.2547452385124562,1.5677674820769119,0.981882125030394,3.0822079207904545,0.9233645882139083,1.819477133856103
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.1,50.0,RelocalizedPnP,250,250,1.0,1.2676408115294562,1.574441776864709,0.9849373384317548,3.0105752419625498,0.9373607016963689,1.8323514929787927
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.5,0.0,DynamicHomography,250,250,1.0,0.875323031168414,1.0125256014978563,0.8205083995654399,1.7969088836442446,0.0,1.0125256014978563
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.5,0.0,FrozenExtrinsicPnP,250,250,1.0,6.46187146025881,8.275324217646894,5.075572209149339,17.39897162294522,5.6458460480504655,10.017812560906707
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.5,0.0,FrozenHomography,250,250,1.0,1.0640392881934615,1.1956674458935324,0.9751126625450407,2.03300672361792,0.0,1.1956674458935324
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.5,0.0,OracleMotionAwarePnP,250,250,1.0,6.46187146025881,8.275324217646894,5.075572209149339,17.39897162294522,5.6458460480504655,10.017812560906707
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.5,0.0,RelocalizedPnP,250,250,1.0,6.518745561973131,8.32755846316292,5.313706384283592,16.859136605776037,5.674621952793209,10.077180372729218
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.5,10.0,DynamicHomography,250,250,1.0,14.725792034590354,14.801227013920043,14.755923376179176,17.177203496685625,10.0,17.862707552820666
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.5,10.0,FrozenExtrinsicPnP,250,250,1.0,6.5956469192079235,8.337671612672226,5.397931247377654,16.83676829694378,5.578448744050177,10.031742536107837
20260808_131913,ihawk1,0,S0_nominal,0.0,0.0,0.5,10.0,FrozenHomography,250,250,1.0,14.01281126537846,14.084632857495807,14.06991091601493,16.317903562816543,10.0,17.273589167583282
