motion_tier,motion_scenario,translation_mm,rotation_deg,pixel_noise_sigma_px,height_gt_mm,method,n_planned,n_success,success_rate,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,z_rmse_mm,error_3d_rmse_mm
0,S0_nominal,0.0,0.0,0.1,0.0,FrozenHomography,2500,2500,1.0,0.9921829740401669,1.0069113154160618,1.0071598366248442,1.2419520619661897,0.0,1.0069113154160618
0,S0_nominal,0.0,0.0,0.1,0.0,DynamicHomography,2500,2500,1.0,0.1535137588446186,0.1777466073062378,0.13795620288668073,0.3243943766989248,0.0,0.1777466073062378
0,S0_nominal,0.0,0.0,0.1,0.0,FrozenExtrinsicPnP,2500,2500,1.0,1.0363847747117128,1.3407331895473402,0.8306516866954026,2.6941494153129155,0.9963708913442544,1.670425226902398
0,S0_nominal,0.0,0.0,0.1,0.0,RelocalizedPnP,2500,2500,1.0,1.0406098846948115,1.3497177016768367,0.8393497248622142,2.6767477290511974,1.003652300933044,1.6819797309682412
0,S0_nominal,0.0,0.0,0.1,0.0,OracleMotionAwarePnP,2500,2500,1.0,1.0363847747117128,1.3407331895473402,0.8306516866954026,2.6941494153129155,0.9963708913442544,1.670425226902398
0,S0_nominal,0.0,0.0,0.1,10.0,FrozenHomography,2500,2500,1.0,12.205033994509387,12.380917301472872,11.827345806793872,15.713547844604225,10.0,15.91499648840396
0,S0_nominal,0.0,0.0,0.1,10.0,DynamicHomography,2500,2500,1.0,13.177702245755086,13.323815173963617,12.77690185149562,16.520589057124692,10.0,16.65905311804795
0,S0_nominal,0.0,0.0,0.1,10.0,FrozenExtrinsicPnP,2500,2500,1.0,1.0525921206424125,1.3621680437667119,0.8382183644322465,2.732658954151811,0.9833581564848436,1.680028286483445
0,S0_nominal,0.0,0.0,0.1,10.0,RelocalizedPnP,2500,2500,1.0,1.0653323861692237,1.375199728984054,0.842470973022611,2.7635706155953383,0.992423643248694,1.6959006404494417
0,S0_nominal,0.0,0.0,0.1,10.0,OracleMotionAwarePnP,2500,2500,1.0,1.0525921206424125,1.3621680437667119,0.8382183644322465,2.732658954151811,0.9833581564848436,1.680028286483445
0,S0_nominal,0.0,0.0,0.1,25.0,FrozenHomography,2500,2500,1.0,33.49023756495429,33.896054407446094,32.5040129202675,42.327821497887086,25.0,42.11819683215968
0,S0_nominal,0.0,0.0,0.1,25.0,DynamicHomography,2500,2500,1.0,34.43035590095816,34.808863966312664,33.42914303450445,43.096964343554355,25.0,42.85623654294972
0,S0_nominal,0.0,0.0,0.1,25.0,FrozenExtrinsicPnP,2500,2500,1.0,1.0337965973817442,1.3350939253347163,0.8368372390774826,2.705869845918018,0.920137949893516,1.6214591071932414
0,S0_nominal,0.0,0.0,0.1,25.0,RelocalizedPnP,2500,2500,1.0,1.0417358412647726,1.338534840861984,0.8494152467371172,2.7484599675281496,0.9260865854466962,1.627670692721884
0,S0_nominal,0.0,0.0,0.1,25.0,OracleMotionAwarePnP,2500,2500,1.0,1.0337965973817442,1.3350939253347163,0.8368372390774826,2.705869845918018,0.920137949893516,1.6214591071932414
0,S0_nominal,0.0,0.0,0.1,50.0,FrozenHomography,2500,2500,1.0,73.62554884915895,74.45990627465868,71.56270515068547,92.44544163717808,50.0,89.68989710346955
0,S0_nominal,0.0,0.0,0.1,50.0,DynamicHomography,2500,2500,1.0,74.50539877747386,75.31488910672299,72.40431122138398,93.16658432514166,50.0,90.4009542049086
0,S0_nominal,0.0,0.0,0.1,50.0,FrozenExtrinsicPnP,2500,2500,1.0,1.0128417053301972,1.3051054423820219,0.8077770397687383,2.573258813618887,0.8375200465607573,1.550722426524588
0,S0_nominal,0.0,0.0,0.1,50.0,RelocalizedPnP,2500,2500,1.0,1.0243443732210908,1.3150366590225377,0.8295750480636477,2.597146355210712,0.846975039172598,1.5641892889144147
0,S0_nominal,0.0,0.0,0.1,50.0,OracleMotionAwarePnP,2500,2500,1.0,1.0128417053301972,1.3051054423820219,0.8077770397687383,2.573258813618887,0.8375200465607573,1.550722426524588
0,S0_nominal,0.0,0.0,0.5,0.0,FrozenHomography,2500,2500,1.0,1.1026849717228253,1.2101893980068716,1.0775644348456908,1.9812984390955501,0.0,1.2101893980068716
0,S0_nominal,0.0,0.0,0.5,0.0,DynamicHomography,2500,2500,1.0,0.7595192538634925,0.8768135222372274,0.694514842830616,1.5541699622811462,0.0,0.8768135222372274
