plan_index,trial_uid,repeat_id,target_order_in_repeat,target_id,charuco_id,method_order_in_block,method,camera,paper_gt_x_mm,paper_gt_y_mm,paper_pred_x_mm,paper_pred_y_mm,vision_dx_mm,vision_dy_mm,vision_xy_error_mm,robot_surface_x_mm,robot_surface_y_mm,robot_surface_z_mm,robot_high_z_mm,robot_measure_hover_z_mm,session_id,executed_at,high_t105_x_mm,high_t105_y_mm,high_t105_z_mm,high_t105_dx_mm,high_t105_dy_mm,high_t105_dz_mm,high_t105_xy_residual_mm,high_t105_3d_residual_mm,hover_t105_x_mm,hover_t105_y_mm,hover_t105_z_mm,hover_t105_dx_mm,hover_t105_dy_mm,hover_t105_dz_mm,hover_t105_xy_residual_mm,hover_t105_3d_residual_mm,measured_pointer_x_mm,measured_pointer_y_mm,e2e_dx_mm,e2e_dy_mm,e2e_xy_error_mm,downstream_dx_mm,downstream_dy_mm,downstream_xy_error_mm,measurement_status,notes
11,R1-T04-Oracle,1,3,T04,17,3,Oracle,ihawk1,-66.0,8.0,-66.0,8.0,0.0,0.0,0.0,200.683317093,60.21607003700001,-118.951075749,-78.951075749,-108.951075749,20260811_195552,2026-08-11T20:21:20,201.945926,62.61531525,-79.64081177,1.2626089069999864,2.3992452129999933,-0.6897360210000016,2.711191406769187,2.7975515406876776,199.3850655,61.82129534,-109.8694179,-1.2982515930000034,1.6052253029999903,-0.9183421510000045,2.0645109522883276,2.2595481358939384,-66.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,
12,R1-T04-Affine,1,3,T04,17,4,Affine,ihawk1,-66.0,8.0,-67.0718656851742,4.5990132202245935,-1.0718656851742026,-3.4009867797754065,3.5658949961070157,197.38808760306463,61.29727730068869,-118.97416209053436,-78.97416209053436,-108.97416209053436,20260811_195552,2026-08-11T20:25:40,198.406177,61.18432898,-79.85747985,1.0180893969353804,-0.11294832068869454,-0.8833177594656405,1.02433556186371,1.3525951380535277,196.3985473,64.21368921,-110.1327265,-0.9895403030646435,2.9164119093113072,-1.1585644094656402,3.0797156420945897,3.2904285324319926,-67.0,5.5,-1.0,-2.5,2.692582403567252,0.07186568517420255,0.9009867797754065,0.9038483578762615,MEASURED,everytime near this point will touch the paper.
13,R1-T05-PnP_IPPE,1,4,T05,19,1,PnP_IPPE,ihawk1,-16.0,8.0,-15.711865471149281,8.080388872490062,0.2881345288507191,0.08038887249006166,0.2991385590930218,197.03646624474067,10.595389437644364,-118.87989087204343,-78.87989087204343,-108.87989087204343,20260811_195552,2026-08-11T20:27:07,198.0191251,10.64174074,-79.72909354,0.9826588552593307,0.04635130235563523,-0.8492026679565612,0.9837514264536757,1.299581486600276,196.2830212,10.85042992,-109.6930106,-0.7534450447406584,0.2550404823556356,-0.8131197279565612,0.7954401819649596,1.137492318689054,-16.0,8.0,0.0,0.0,0.0,-0.2881345288507191,-0.08038887249006166,0.2991385590930218,MEASURED,"CORRECTED_20260813: photo-verified manual x; original -6.0, corrected -16.0."
14,R1-T05-Oracle,1,4,T05,19,2,Oracle,ihawk1,-16.0,8.0,-16.0,8.0,0.0,0.0,0.0,196.978051943,10.880253837,-118.880805899,-78.880805899,-108.880805899,20260811_195552,2026-08-11T20:28:51,197.8457278,11.54575869,-80.03319547,0.8676758569999947,0.6655048529999998,-1.1523895710000005,1.0935072483469082,1.588634578981835,196.416559,11.46235614,-109.3913276,-0.5614929429999904,0.582102303000001,-0.5105217010000018,0.8087752569142403,0.9564255451359664,-17.5,8.0,-1.5,0.0,1.5,-1.5,0.0,1.5,MEASURED,"CORRECTED_20260813: photo-verified manual x; original -7.5, corrected -17.5."
15,R1-T05-Affine,1,4,T05,19,3,Affine,ihawk1,-16.0,8.0,-21.066021883547137,5.3533665939887545,-5.066021883547137,-2.6466334060112455,5.715701716359345,194.72732468354292,15.897330100946046,-118.90471909189152,-78.90471909189152,-108.90471909189152,20260811_195552,2026-08-11T20:31:38,195.5866261,16.23856887,-79.98007802,0.8593014164570718,0.34123876905395534,-1.0753589281084714,0.9245771043188278,1.4181818099570975,194.8019474,16.17342097,-109.5231075,0.07462271645707119,0.2760908690539523,-0.6183884081084727,0.2859977583590457,0.6813214667609777,-21.0,6.0,-5.0,-2.0,5.385164807134504,0.0660218835471369,0.6466334060112455,0.6499951160407408,MEASURED,last 2 or 3 times may have the 10mm error cause I read wrong x.
16,R1-T05-Homography,1,4,T05,19,4,Homography,ihawk1,-16.0,8.0,-15.285746675234282,8.263242003523663,0.7142533247657177,0.2632420035236631,0.7612188675788548,197.18632628377227,10.17366329909822,-118.87813176609613,-78.87813176609613,-108.87813176609613,20260811_195552,2026-08-11T20:33:13,198.1727548,10.04035323,-79.42480399,0.9864285162277326,-0.1333100690982203,-0.5466722239038688,0.9953957967312392,1.1356334410971791,196.4013929,8.440918296,-109.6930106,-0.7849333837722838,-1.7327450030982199,-0.8148788339038617,1.9022422723517785,2.0694330568217407,-15.5,8.0,0.5,0.0,0.5,-0.21425332476571768,-0.2632420035236631,0.33941249180358163,MEASURED,
17,R1-T07-Oracle,1,5,T07,33,1,Oracle,ihawk1,-66.0,-42.0,-66.0,-42.0,0.0,0.0,0.0,151.070357093,60.562732587,-119.268335799,-79.268335799,-109.268335799,20260811_195552,2026-08-11T20:35:56,150.6526939,62.40238902,-79.12022329,-0.41766319300000987,1.8396564330000018,0.14811250900000061,1.8864724578602396,1.8922778996721197,153.0357218,59.57240205,-109.5455442,1.965364706999992,-0.9903305369999984,-0.2772084009999958,2.2007755460373213,2.218165345870511,-67.5,-41.5,-1.5,0.5,1.5811388300841898,-1.5,0.5,1.5811388300841898,MEASURED,
18,R1-T07-Affine,1,5,T07,33,2,Affine,ihawk1,-66.0,-42.0,-64.2492721010783,-40.15962987976651,1.7507278989216957,1.8403701202334872,2.5400807773594516,152.76674305478664,58.822501042275256,-119.25419781293576,-79.25419781293576,-109.25419781293576,20260811_195552,2026-08-11T20:37:23,152.7139334,59.98730222,-79.55713115,-0.05280965478664257,1.1648011777247405,-0.3029333370642462,1.165997702942689,1.2047071220726253,153.08523,60.40437791,-110.0675938,0.3184869452133512,1.5818768677247448,-0.81339598706424,1.613619645057032,1.8070366323586777,-66.5,-40.0,-0.5,2.0,2.0615528128088303,-2.2507278989216957,0.15962987976651277,2.256381566468478,MEASURED,
19,R1-T07-Homography,1,5,T07,33,3,Homography,ihawk1,-66.0,-42.0,-66.64258556560806,-42.593388241135685,-0.6425855656080586,-0.5933882411356848,0.874657540895824,150.5291811496041,61.20089636376849,-119.27300405448719,-79.27300405448719,-109.27300405448719,20260811_195552,2026-08-11T20:39:16,149.8289855,62.60042114,-80.1937731,-0.700195649604126,1.3995247762315088,-0.920769045512813,1.5649100763335888,1.8156979876028323,149.7629374,62.57282546,-109.7672331,-0.766243749604115,1.3719290962315043,-0.4942290455128102,1.5714066720279527,1.6472951400166485,-67.0,-43.0,-1.0,-1.0,1.4142135623730951,-0.3574144343919414,-0.4066117588643152,0.5413669738342407,MEASURED,
20,R1-T07-PnP_IPPE,1,5,T07,33,4,PnP_IPPE,ihawk1,-66.0,-42.0,-66.48881599015226,-42.479918344927626,-0.4888159901522613,-0.47991834492762564,0.6850275104159008,150.63037755705827,61.04838269826034,-119.27206795788825,-79.27206795788825,-109.27206795788825,20260811_195552,2026-08-11T20:42:07,149.3415334,62.39675758,-80.18576869,-1.2888441570582643,1.3483748817396588,-0.9137007321117494,1.8652705119873811,2.0770370990310245,149.5389809,62.47925363,-110.5172108,-1.0913966570582545,1.430870931739662,-1.245142842111747,1.7995939226212845,2.1883598843877534,-67.5,-43.0,-1.5,-1.0,1.8027756377319946,-1.0111840098477387,-0.5200816550723744,1.1370919178828824,MEASURED,I may wrong the -43 to the -48.in last times
