plan_index,trial_uid,repeat_id,target_order_in_repeat,target_id,charuco_id,method_order_in_block,method,camera,paper_gt_x_mm,paper_gt_y_mm,paper_pred_x_mm,paper_pred_y_mm,vision_dx_mm,vision_dy_mm,vision_xy_error_mm,robot_surface_x_mm,robot_surface_y_mm,robot_surface_z_mm,robot_high_z_mm,robot_measure_hover_z_mm
25,R1-T03-Homography,1,7,T03,14,1,Homography,ihawk1,59.0,33.0,59.25820926407876,33.0026309673326,0.2582092640787579,0.0026309673325997096,0.25822266756657697,216.2101101437887,-63.55159927503143,-118.61639151845834,-78.61639151845834,-108.61639151845834
26,R1-T03-PnP_IPPE,1,7,T03,14,2,PnP_IPPE,ihawk1,59.0,33.0,59.32733371865129,33.15668077794558,0.327333718651289,0.15668077794558144,0.36289975136904384,216.3578449969769,-63.62087356874922,-118.6153168941449,-78.6153168941449,-108.6153168941449
27,R1-T03-Oracle,1,7,T03,14,3,Oracle,ihawk1,59.0,33.0,59.0,33.0,0.0,0.0,0.0,216.22663421800002,-63.296801738,-118.61677109899999,-78.61677109899999,-108.61677109899999
28,R1-T03-Affine,1,7,T03,14,4,Affine,ihawk1,59.0,33.0,59.918111341345025,33.94955653783778,0.9181113413450248,0.949556537837779,1.320827791067719,217.10080350945157,-64.20930069957019,-118.60945566098175,-78.60945566098175,-108.60945566098175
29,R1-T02-PnP_IPPE,1,8,T02,11,1,PnP_IPPE,ihawk1,-16.0,33.0,-13.933017352902368,35.27259327792069,2.066982647097632,2.2725932779206914,3.0719859163500485,223.88635915551606,8.651640583067298,-118.70485088164905,-78.70485088164905,-108.70485088164905
30,R1-T02-Oracle,1,8,T02,11,2,Oracle,ihawk1,-16.0,33.0,-16.0,33.0,0.0,0.0,0.0,221.78453194300002,10.706922561999999,-118.722175874,-78.722175874,-108.722175874
31,R1-T02-Affine,1,8,T02,11,3,Affine,ihawk1,-16.0,33.0,-20.089730283291374,32.93298609373822,-4.089730283291374,-0.06701390626177783,4.0902792879830345,222.02110747981538,14.742790817513345,-118.72834878537597,-78.72834878537597,-108.72834878537597
32,R1-T02-Homography,1,8,T02,11,4,Homography,ihawk1,-16.0,33.0,-13.467255259699206,35.3629263876456,2.532744740300794,2.362926387645601,3.4638442564516705,223.94147757366247,8.191439220479994,-118.70362311926239,-78.70362311926239,-108.70362311926239
33,R1-T01-Oracle,1,9,T01,9,1,Oracle,ihawk1,-66.0,33.0,-66.0,33.0,0.0,0.0,0.0,225.489797093,60.042738762,-118.79244572399999,-78.79244572399999,-108.79244572399999
34,R1-T01-Affine,1,9,T01,9,2,Affine,ihawk1,-66.0,33.0,-67.1650275970469,30.257862630527416,-1.165027597046901,-2.7421373694725837,2.9793634647251244,222.85522078355956,61.21130243657569,-118.81148246306871,-78.81148246306871,-108.81148246306871
35,R1-T01-Homography,1,9,T01,9,3,Homography,ihawk1,-66.0,33.0,-63.80284213657175,34.8781474443333,2.1971578634282523,1.878147444333301,2.890491394119746,227.19058512438804,57.86174556410381,-118.77744062188827,-78.77744062188827,-108.77744062188827
36,R1-T01-PnP_IPPE,1,9,T01,9,4,PnP_IPPE,ihawk1,-66.0,33.0,-64.0650643250732,34.601060830519316,1.9349356749268054,1.601060830519316,2.5114481577623007,226.9350754373665,58.122405589055504,-118.77956731842438,-78.77956731842438,-108.77956731842438
37,R2-T02-Affine,2,1,T02,11,1,Affine,ihawk1,-16.0,33.0,-20.089730283291374,32.93298609373822,-4.089730283291374,-0.06701390626177783,4.0902792879830345,222.02110747981538,14.742790817513345,-118.72834878537597,-78.72834878537597,-108.72834878537597
38,R2-T02-Homography,2,1,T02,11,2,Homography,ihawk1,-16.0,33.0,-13.467255259699206,35.3629263876456,2.532744740300794,2.362926387645601,3.4638442564516705,223.94147757366247,8.191439220479994,-118.70362311926239,-78.70362311926239,-108.70362311926239
39,R2-T02-PnP_IPPE,2,1,T02,11,3,PnP_IPPE,ihawk1,-16.0,33.0,-13.933017352902368,35.27259327792069,2.066982647097632,2.2725932779206914,3.0719859163500485,223.88635915551606,8.651640583067298,-118.70485088164905,-78.70485088164905,-108.70485088164905
40,R2-T02-Oracle,2,1,T02,11,4,Oracle,ihawk1,-16.0,33.0,-16.0,33.0,0.0,0.0,0.0,221.78453194300002,10.706922561999999,-118.722175874,-78.722175874,-108.722175874
41,R2-T04-Homography,2,2,T04,17,1,Homography,ihawk1,-66.0,8.0,-65.92190157349302,7.978506401368168,0.07809842650698329,-0.021493598631831645,0.08100209259650608,200.65620236445633,60.139158065201045,-118.95110237090921,-78.95110237090921,-108.95110237090921
42,R2-T04-PnP_IPPE,2,2,T04,17,2,PnP_IPPE,ihawk1,-66.0,8.0,-66.03055790102417,7.736584544640152,-0.030557901024167222,-0.2634154553598478,0.26518198927800274,200.42420518651144,60.248048342237,-118.95279011899319,-78.95279011899319,-108.95279011899319
43,R2-T04-Oracle,2,2,T04,17,3,Oracle,ihawk1,-66.0,8.0,-66.0,8.0,0.0,0.0,0.0,200.683317093,60.21607003700001,-118.951075749,-78.951075749,-108.951075749
44,R2-T04-Affine,2,2,T04,17,4,Affine,ihawk1,-66.0,8.0,-67.0718656851742,4.5990132202245935,-1.0718656851742026,-3.4009867797754065,3.5658949961070157,197.38808760306463,61.29727730068869,-118.97416209053436,-78.97416209053436,-108.97416209053436
45,R2-T07-PnP_IPPE,2,3,T07,33,1,PnP_IPPE,ihawk1,-66.0,-42.0,-66.48881599015226,-42.479918344927626,-0.4888159901522613,-0.47991834492762564,0.6850275104159008,150.63037755705827,61.04838269826034,-119.27206795788825,-79.27206795788825,-109.27206795788825
46,R2-T07-Oracle,2,3,T07,33,2,Oracle,ihawk1,-66.0,-42.0,-66.0,-42.0,0.0,0.0,0.0,151.070357093,60.562732587,-119.268335799,-79.268335799,-109.268335799
47,R2-T07-Affine,2,3,T07,33,3,Affine,ihawk1,-66.0,-42.0,-64.2492721010783,-40.15962987976651,1.7507278989216957,1.8403701202334872,2.5400807773594516,152.76674305478664,58.822501042275256,-119.25419781293576,-79.25419781293576,-109.25419781293576
48,R2-T07-Homography,2,3,T07,33,4,Homography,ihawk1,-66.0,-42.0,-66.64258556560806,-42.593388241135685,-0.6425855656080586,-0.5933882411356848,0.874657540895824,150.5291811496041,61.20089636376849,-119.27300405448719,-79.27300405448719,-109.27300405448719
49,R2-T09-Oracle,2,4,T09,38,1,Oracle,ihawk1,59.0,-42.0,59.0,-42.0,0.0,0.0,0.0,141.807194218,-62.776807913,-119.092661174,-79.092661174,-109.092661174
50,R2-T09-Affine,2,4,T09,38,2,Affine,ihawk1,59.0,-42.0,55.05935624120093,-45.526146020337606,-3.9406437587990695,-3.526146020337606,5.287946575988149,138.6003659885375,-58.86406273370258,-119.12057344817107,-79.12057344817107,-109.12057344817107
51,R2-T09-Homography,2,4,T09,38,3,Homography,ihawk1,59.0,-42.0,58.393975968187476,-41.75288778675622,-0.6060240318125238,0.2471122132437813,0.6544689244483247,142.09730317952625,-62.18054739907387,-119.09194490169365,-79.09194490169365,-109.09194490169365
52,R2-T09-PnP_IPPE,2,4,T09,38,4,PnP_IPPE,ihawk1,59.0,-42.0,58.172548237618116,-42.07766962584344,-0.8274517623818838,-0.07766962584344128,0.8310890384595057,141.79144438076548,-61.95980924872417,-119.09431690161206,-79.09431690161206,-109.09431690161206
53,R2-T03-Affine,2,5,T03,14,1,Affine,ihawk1,59.0,33.0,59.918111341345025,33.94955653783778,0.9181113413450248,0.949556537837779,1.320827791067719,217.10080350945157,-64.20930069957019,-118.60945566098175,-78.60945566098175,-108.60945566098175
54,R2-T03-Homography,2,5,T03,14,2,Homography,ihawk1,59.0,33.0,59.25820926407876,33.0026309673326,0.2582092640787579,0.0026309673325997096,0.25822266756657697,216.2101101437887,-63.55159927503143,-118.61639151845834,-78.61639151845834,-108.61639151845834
55,R2-T03-PnP_IPPE,2,5,T03,14,3,PnP_IPPE,ihawk1,59.0,33.0,59.32733371865129,33.15668077794558,0.327333718651289,0.15668077794558144,0.36289975136904384,216.3578449969769,-63.62087356874922,-118.6153168941449,-78.6153168941449,-108.6153168941449
56,R2-T03-Oracle,2,5,T03,14,4,Oracle,ihawk1,59.0,33.0,59.0,33.0,0.0,0.0,0.0,216.22663421800002,-63.296801738,-118.61677109899999,-78.61677109899999,-108.61677109899999
57,R2-T05-Homography,2,6,T05,19,1,Homography,ihawk1,-16.0,8.0,-15.285746675234282,8.263242003523663,0.7142533247657177,0.2632420035236631,0.7612188675788548,197.18632628377227,10.17366329909822,-118.87813176609613,-78.87813176609613,-108.87813176609613
58,R2-T05-PnP_IPPE,2,6,T05,19,2,PnP_IPPE,ihawk1,-16.0,8.0,-15.711865471149281,8.080388872490062,0.2881345288507191,0.08038887249006166,0.2991385590930218,197.03646624474067,10.595389437644364,-118.87989087204343,-78.87989087204343,-108.87989087204343
59,R2-T05-Oracle,2,6,T05,19,3,Oracle,ihawk1,-16.0,8.0,-16.0,8.0,0.0,0.0,0.0,196.978051943,10.880253837,-118.880805899,-78.880805899,-108.880805899
60,R2-T05-Affine,2,6,T05,19,4,Affine,ihawk1,-16.0,8.0,-21.066021883547137,5.3533665939887545,-5.066021883547137,-2.6466334060112455,5.715701716359345,194.72732468354292,15.897330100946046,-118.90471909189152,-78.90471909189152,-108.90471909189152
61,R2-T01-PnP_IPPE,2,7,T01,9,1,PnP_IPPE,ihawk1,-66.0,33.0,-64.0650643250732,34.601060830519316,1.9349356749268054,1.601060830519316,2.5114481577623007,226.9350754373665,58.122405589055504,-118.77956731842438,-78.77956731842438,-108.77956731842438
62,R2-T01-Oracle,2,7,T01,9,2,Oracle,ihawk1,-66.0,33.0,-66.0,33.0,0.0,0.0,0.0,225.489797093,60.042738762,-118.79244572399999,-78.79244572399999,-108.79244572399999
63,R2-T01-Affine,2,7,T01,9,3,Affine,ihawk1,-66.0,33.0,-67.1650275970469,30.257862630527416,-1.165027597046901,-2.7421373694725837,2.9793634647251244,222.85522078355956,61.21130243657569,-118.81148246306871,-78.81148246306871,-108.81148246306871
64,R2-T01-Homography,2,7,T01,9,4,Homography,ihawk1,-66.0,33.0,-63.80284213657175,34.8781474443333,2.1971578634282523,1.878147444333301,2.890491394119746,227.19058512438804,57.86174556410381,-118.77744062188827,-78.77744062188827,-108.77744062188827
65,R2-T06-Oracle,2,8,T06,22,1,Oracle,ihawk1,59.0,8.0,59.0,8.0,0.0,0.0,0.0,191.420154218,-63.123470463000004,-118.775401124,-78.775401124,-108.775401124
66,R2-T06-Affine,2,8,T06,22,2,Affine,ihawk1,59.0,8.0,58.835657241126796,6.413977380095092,-0.16434275887320382,-1.5860226199049077,1.5945144380795313,189.8585873519334,-62.95031448717314,-118.78569572313413,-78.78569572313413,-108.78569572313413
67,R2-T06-Homography,2,8,T06,22,3,Homography,ihawk1,59.0,8.0,59.48414303214988,8.455106311784222,0.4841430321498805,0.45510631178422223,0.6644668769811765,191.83586007675316,-63.60433766226443,-118.7718329698104,-78.7718329698104,-108.7718329698104
68,R2-T06-PnP_IPPE,2,8,T06,22,4,PnP_IPPE,ihawk1,59.0,8.0,59.46281021907498,8.363551573047914,0.46281021907498143,0.3635515730479142,0.5885261635185348,191.74659491951522,-63.58265345538269,-118.77244388410168,-78.77244388410168,-108.77244388410168
69,R2-T08-Affine,2,9,T08,35,1,Affine,ihawk1,-16.0,-42.0,-19.537479351360844,-41.33693968712085,-3.537479351360844,0.6630603128791535,3.5990844863408995,148.28516561779807,14.712807845223349,-119.19883026090761,-79.19883026090761,-109.19883026090761
