run_id,height_gt_mm,model,source,n_expected_markers,n_accepted_markers,coverage,complete_five_marker_metric,xy_rmse_mm,xy_mean_mm,xy_p95_mm,inter_camera_disagreement_mean_mm
20260808_131913,0.0,Affine,ihawk1,5,5,1.0,1,11.452816172965198,11.149673673665763,14.972229556639306,11.757904073873835
20260808_131913,0.0,Affine,ihawk2,5,5,1.0,1,12.721165267214712,12.318431900734884,15.583855966057115,11.757904073873835
20260808_131913,0.0,Affine,EqualFusion,5,5,1.0,1,10.505891832033594,10.213123130451558,13.764420278924739,11.757904073873835
20260808_131913,0.0,Affine,LOOWeightedFusion,5,5,1.0,1,10.451727429977167,10.162541464058325,13.793661747590466,11.757904073873835
20260808_131913,0.0,Affine,LOOWeightedGated,5,5,1.0,1,10.451727429977167,10.162541464058325,13.793661747590466,11.757904073873835
20260808_131913,0.0,Homography,ihawk1,5,5,1.0,1,0.11799062889959727,0.11020849838795102,0.17386211036501556,0.07463766759709342
20260808_131913,0.0,Homography,ihawk2,5,5,1.0,1,0.060358638711521626,0.04922103250164021,0.09405717774090624,0.07463766759709342
20260808_131913,0.0,Homography,EqualFusion,5,5,1.0,1,0.08399386854133792,0.07618707419679346,0.1258738614354094,0.07463766759709342
20260808_131913,0.0,Homography,LOOWeightedFusion,5,5,1.0,1,0.0689543640549752,0.05937684707679401,0.10526958376104062,0.07463766759709342
20260808_131913,0.0,Homography,LOOWeightedGated,5,5,1.0,1,0.0689543640549752,0.05937684707679401,0.10526958376104062,0.07463766759709342
20260808_131913,0.0,PnP,ihawk1,5,5,1.0,1,8.340325381247458,6.800073177094991,14.146819943419475,6.2977382436481
20260808_131913,0.0,PnP,ihawk2,5,5,1.0,1,3.1506340988071644,2.9031789935101187,4.647742423168274,6.2977382436481
20260808_131913,0.0,PnP,EqualFusion,5,5,1.0,1,5.138165132725891,4.490107933148119,8.255733784696694,6.2977382436481
20260808_131913,0.0,PnP,LOOWeightedFusion,5,5,1.0,1,3.4757398399516686,3.2569961943823147,4.660677890887679,6.2977382436481
20260808_131913,0.0,PnP,LOOWeightedGated,5,5,1.0,1,3.4757398399516686,3.2569961943823147,4.660677890887679,6.2977382436481
20260808_131913,5.0,Affine,ihawk1,5,5,1.0,1,12.10635754215877,11.836043619626267,14.437802248833858,12.504288193571437
20260808_131913,5.0,Affine,ihawk2,5,5,1.0,1,13.507193366714498,13.336151701329726,16.339306388848026,12.504288193571437
20260808_131913,5.0,Affine,EqualFusion,5,5,1.0,1,11.130636126432293,11.060666606789685,12.610390573538568,12.504288193571437
20260808_131913,5.0,Affine,LOOWeightedFusion,5,5,1.0,1,11.070117863541903,10.998538831996617,12.418969030535374,12.504288193571437
20260808_131913,5.0,Affine,LOOWeightedGated,5,4,0.8,0,11.26890933889031,11.189068754980234,12.451342343168333,12.504288193571437
20260808_131913,5.0,Homography,ihawk1,5,5,1.0,1,4.631145114738193,4.4391578619907515,6.181206020056836,4.91050721388712
20260808_131913,5.0,Homography,ihawk2,5,5,1.0,1,4.94988127085736,4.845453643641802,6.0786868054384,4.91050721388712
20260808_131913,5.0,Homography,EqualFusion,5,5,1.0,1,4.1100536658231634,3.935553416920046,5.400778910125192,4.91050721388712
20260808_131913,5.0,Homography,LOOWeightedFusion,5,5,1.0,1,4.422953859061203,4.298872111492395,5.628674830552564,4.91050721388712
20260808_131913,5.0,Homography,LOOWeightedGated,5,0,0.0,0,nan,nan,nan,4.91050721388712
