held_out_run,model,training_runs,training_z0_mse_ihawk1_mm2,training_z0_mse_ihawk2_mm2,weight_ihawk1,weight_ihawk2,training_z0_disagreement_p95_gate_mm,n_training_marker_pairs
20260808_131913,Affine,20260808_141232|20260808_145501|20260808_151001|20260808_162715,132.48024671603358,160.47674243706152,0.5477826042006415,0.4522173957993585,15.39378796037687,20
20260808_131913,Homography,20260808_141232|20260808_145501|20260808_151001|20260808_162715,0.04052935620732441,0.01180601766502157,0.22558389845113672,0.7744161015488633,0.4995099461069983,20
20260808_131913,PnP,20260808_141232|20260808_145501|20260808_151001|20260808_162715,58.99404673845385,10.46211635776964,0.15062905711154223,0.8493709428884577,13.870431873632965,20
20260808_141232,Affine,20260808_131913|20260808_145501|20260808_151001|20260808_162715,131.12540452709226,160.6804399001215,0.55064160971663,0.44935839028337,15.39378796037687,20
20260808_141232,Homography,20260808_131913|20260808_145501|20260808_151001|20260808_162715,0.009307962796702245,0.005313205689950785,0.3633913181973765,0.6366086818026235,0.17963030245207337,20
20260808_141232,PnP,20260808_131913|20260808_145501|20260808_151001|20260808_162715,69.07535974187904,10.370027040918252,0.13053026060870945,0.8694697393912906,13.870431873632965,20
20260808_145501,Affine,20260808_131913|20260808_141232|20260808_151001|20260808_162715,132.55741909540126,161.05415628785698,0.5485279525428421,0.45147204745715785,15.39378796037687,20
20260808_145501,Homography,20260808_131913|20260808_141232|20260808_151001|20260808_162715,0.04282472018427133,0.012405231138004763,0.2246105752586698,0.7753894247413302,0.4995099461069983,20
20260808_145501,PnP,20260808_131913|20260808_141232|20260808_151001|20260808_162715,57.925145944131486,9.888895767407021,0.14582371906797045,0.8541762809320296,13.162658413974393,20
20260808_151001,Affine,20260808_131913|20260808_141232|20260808_145501|20260808_162715,132.44136975324722,160.72274065450227,0.5482347086447923,0.4517652913552077,15.354091170741235,20
20260808_151001,Homography,20260808_131913|20260808_141232|20260808_145501|20260808_162715,0.042239626321296235,0.011938004235573485,0.22034932338065766,0.7796506766193423,0.4995099461069983,20
20260808_151001,PnP,20260808_131913|20260808_141232|20260808_145501|20260808_162715,57.569238858586495,10.205463325486615,0.15057924264674782,0.8494207573532522,13.14081829132932,20
20260808_162715,Affine,20260808_131913|20260808_141232|20260808_145501|20260808_151001,132.4835450640932,160.8009362244937,0.5482763203766937,0.4517236796233063,15.347893691782529,20
20260808_162715,Homography,20260808_131913|20260808_141232|20260808_145501|20260808_151001,0.041137547827825895,0.009404777198643672,0.1860772569073205,0.8139227430926795,0.4995099461069983,20
20260808_162715,PnP,20260808_131913|20260808_141232|20260808_145501|20260808_151001,61.97342313584509,10.848458164063459,0.14897250620847505,0.851027493791525,13.870431873632965,20
