height_gt_mm,model,fusion_source,best_single_camera,best_single_xy_rmse_mean_mm,fusion_xy_rmse_mean_mm,fusion_minus_best_single_mm,relative_change_vs_best_single_percent,mean_marker_coverage
0.0,Affine,EqualFusion,ihawk1,11.498201651518743,10.495681951553284,-1.0025196999654593,-8.718926057737397,1.0
0.0,Affine,LOOWeightedFusion,ihawk1,11.498201651518743,10.445869003109223,-1.0523326484095197,-9.152149877894358,1.0
0.0,Affine,LOOWeightedGated,ihawk1,11.498201651518743,10.558565544535792,-0.9396361069829506,-8.172026682614655,0.9199999999999999
0.0,Homography,EqualFusion,ihawk2,0.08773296350069817,0.08308775151239081,-0.004645211988307363,-5.294716834990301,1.0
0.0,Homography,LOOWeightedFusion,ihawk2,0.08773296350069817,0.07120485926195319,-0.016528104238744984,-18.839104002925254,1.0
0.0,Homography,LOOWeightedGated,ihawk2,0.08773296350069817,0.06315071571060496,-0.024582247790093215,-28.019397509463577,0.8800000000000001
0.0,PnP,EqualFusion,ihawk2,3.2118763365298477,4.83138826290943,1.619511926379582,50.422611479784536,1.0
0.0,PnP,LOOWeightedFusion,ihawk2,3.2118763365298477,3.43728667048057,0.2254103339507223,7.018026546883138,1.0
0.0,PnP,LOOWeightedGated,ihawk2,3.2118763365298477,3.3630665439210503,0.1511902073912026,4.707223801603471,0.9199999999999999
5.0,Affine,EqualFusion,ihawk1,13.832743287824826,12.282709764442691,-1.550033523382135,-11.205539574687466,1.0
5.0,Affine,LOOWeightedFusion,ihawk1,13.832743287824826,12.285017691659714,-1.5477255961651117,-11.188855051820228,1.0
5.0,Affine,LOOWeightedGated,ihawk1,13.832743287824826,12.03097994583357,-1.801763341991256,-13.025350825220006,0.8
5.0,Homography,EqualFusion,ihawk2,6.451420218840442,6.6689688167588255,0.2175485979183831,3.3721039792612455,1.0
5.0,Homography,LOOWeightedFusion,ihawk2,6.451420218840442,6.476626902120278,0.025206683279835218,0.39071525997055245,1.0
5.0,Homography,LOOWeightedGated,ihawk2,6.451420218840442,nan,nan,nan,0.0
5.0,PnP,EqualFusion,ihawk2,4.685077366920493,6.243450279546712,1.5583729126262194,33.262479796583165,1.0
5.0,PnP,LOOWeightedFusion,ihawk2,4.685077366920493,4.843400348530035,0.15832298160954217,3.379303460971618,1.0
5.0,PnP,LOOWeightedGated,ihawk2,4.685077366920493,4.3662124024413,-0.318864964479193,-6.805970094124258,0.8400000000000001
10.0,Affine,EqualFusion,ihawk2,16.4015678607976,14.902594832641086,-1.498973028156513,-9.139205720322025,1.0
10.0,Affine,LOOWeightedFusion,ihawk2,16.4015678607976,14.982863101325055,-1.4187047594725435,-8.649811844290067,1.0
10.0,Affine,LOOWeightedGated,ihawk2,16.4015678607976,18.953420045422575,2.551852184624977,15.558586875857866,0.4
10.0,Homography,EqualFusion,ihawk2,11.096353644838313,11.562947165465616,0.46659352062730264,4.204926551204032,1.0
10.0,Homography,LOOWeightedFusion,ihawk2,11.096353644838313,11.149074766311424,0.0527211214731107,0.4751211358303722,1.0
10.0,Homography,LOOWeightedGated,ihawk2,11.096353644838313,nan,nan,nan,0.0
10.0,PnP,EqualFusion,ihawk2,4.337393682277002,5.8975997854973405,1.560206103220339,35.97105122358359,1.0
10.0,PnP,LOOWeightedFusion,ihawk2,4.337393682277002,4.573033759463949,0.23564007718694757,5.4327574218082875,1.0
10.0,PnP,LOOWeightedGated,ihawk2,4.337393682277002,4.454319544645381,0.11692586236837954,2.695763191756137,0.96
15.0,Affine,EqualFusion,ihawk2,21.101326517745353,19.83652580663324,-1.2648007111121125,-5.993939338593083,1.0
15.0,Affine,LOOWeightedFusion,ihawk2,21.101326517745353,19.999803265196057,-1.1015232525492955,-5.220161166753946,1.0
15.0,Affine,LOOWeightedGated,ihawk2,21.101326517745353,25.2058908535552,4.104564335809847,19.451688652645018,0.4
15.0,Homography,EqualFusion,ihawk2,18.272980001540343,18.75091333172829,0.47793333018794826,2.615519363276599,1.0
15.0,Homography,LOOWeightedFusion,ihawk2,18.272980001540343,18.118565313946277,-0.15441468759406618,-0.8450438165042023,1.0
15.0,Homography,LOOWeightedGated,ihawk2,18.272980001540343,nan,nan,nan,0.0
15.0,PnP,EqualFusion,ihawk2,4.92996619976171,6.378331398143717,1.4483651983820076,29.378805851691528,1.0
15.0,PnP,LOOWeightedFusion,ihawk2,4.92996619976171,5.15456516975187,0.2245989699901605,4.555791275019624,1.0
15.0,PnP,LOOWeightedGated,ihawk2,4.92996619976171,5.15456516975187,0.2245989699901605,4.555791275019624,1.0
20.0,Affine,EqualFusion,ihawk2,25.95540185995744,24.593697949096686,-1.3617039108607543,-5.246321818509448,1.0
20.0,Affine,LOOWeightedFusion,ihawk2,25.95540185995744,24.814390723390183,-1.1410111365672577,-4.3960449648346485,1.0
20.0,Affine,LOOWeightedGated,ihawk2,25.95540185995744,30.52739980582691,4.5719979458694695,17.614822419385828,0.4
20.0,Homography,EqualFusion,ihawk2,24.770085243197222,25.04454800005875,0.2744627568615279,1.1080412286304322,1.0
20.0,Homography,LOOWeightedFusion,ihawk2,24.770085243197222,24.278360663700074,-0.49172457949714854,-1.9851549749195725,1.0
20.0,Homography,LOOWeightedGated,ihawk2,24.770085243197222,nan,nan,nan,0.0
20.0,PnP,EqualFusion,ihawk2,4.931231973586867,6.931798908595414,2.000566935008547,40.56931301800795,1.0
20.0,PnP,LOOWeightedFusion,ihawk2,4.931231973586867,5.242081260603237,0.3108492870163708,6.303684123589629,1.0
20.0,PnP,LOOWeightedGated,ihawk2,4.931231973586867,4.893683092465132,-0.03754888112173482,-0.7614503094329715,0.8400000000000001
