height_gt_mm,estimate_source,n_paired_rebuilds,estimate_minus_stereo_xy_mean_mm,estimate_minus_stereo_z_mean_mm,estimate_minus_stereo_3d_mean_mm,estimate_minus_stereo_3d_sd_mm,estimate_minus_stereo_3d_min_mm,estimate_minus_stereo_3d_max_mm,stereo_lower_3d_error_n
0.0,ihawk1,5,7.0422444194104425,3.9516820953483673,8.008180382983022,1.5456607548263905,5.362350009303672,9.06733444273982,5
0.0,ihawk2,5,2.5325684306374656,2.1674204286326173,3.3176218753551874,0.31082245203240677,2.9994446633096454,3.681906869152816,5
0.0,EqualXYZ,5,4.152080357017048,2.743436432810996,4.933608254455143,0.9799011545600299,3.254589887102225,5.61005803594615,5
0.0,LOOWeightedXYZ,5,2.871160975167602,2.287010975411205,3.648506695390128,0.5281145726980649,2.805416389095375,4.1046589562830444,5
5.0,ihawk1,5,7.427005139520854,4.527639842031299,8.689931753828352,2.811526427019699,5.9671493642134426,12.128753481241231,5
5.0,ihawk2,5,2.5864663538051476,2.8615768414521807,3.7228601250574487,1.9160365852799623,2.1986433643214687,6.988115874949608,5
5.0,EqualXYZ,5,4.144839266431368,3.0601570483697165,5.14438215774606,1.0986082847436853,3.9576998955225466,6.238717756090747,5
5.0,LOOWeightedXYZ,5,2.847986712360883,2.761927251784316,3.8917930884144325,0.9179427859993721,3.1362070267245663,5.425777067070575,5
10.0,ihawk1,5,5.496187771464585,4.0640403806649,6.769911056031248,2.05461424030666,3.6125973768505646,8.81480343382675,5
10.0,ihawk2,5,1.204947330383741,2.0995317257812425,2.2013811837724417,1.4377585288699433,0.36374585985388563,4.1138448609924785,5
10.0,EqualXYZ,5,2.76515343360408,2.8850637370083,3.8853510687110493,1.2996328590875428,1.960818000107262,5.163883857966696,5
10.0,LOOWeightedXYZ,5,1.5511808715616162,2.3278670697833688,2.609618461902296,1.213570492877964,1.3963629839742255,4.3098395735777855,5
15.0,ihawk1,5,6.28104070340345,4.006725465624028,7.410614220097453,1.6533705111839776,5.541994181903019,9.081195630199677,5
15.0,ihawk2,5,2.206710011475076,2.346186557386731,3.11906016363657,0.47029483141294526,2.4591059028701485,3.7842323343936735,5
15.0,EqualXYZ,5,3.655075209857084,3.005660348571893,4.6639260379000005,0.7944080362675793,3.8380658435251545,5.518291297971402,5
15.0,LOOWeightedXYZ,5,2.5342412986339804,2.5404510062611707,3.4863438543688963,0.20581119115526372,3.292162025794421,3.7993286225158536,5
20.0,ihawk1,5,7.88600544446337,4.525213823376309,9.00679801149158,2.1932547715627395,5.330741855602365,11.134933368192465,5
20.0,ihawk2,5,2.5285987430346104,2.2299127981173,3.3297698135759126,0.5340086830417314,2.7691075044914344,3.97980159962604,5
20.0,EqualXYZ,5,4.529165678043158,3.1639651866479506,5.452424186674743,1.4149127771282102,3.2745453253247794,7.19341541561276,5
20.0,LOOWeightedXYZ,5,2.9849892796190964,2.507827496797667,3.8432848750007245,0.805508278786761,2.742105017273132,4.9445915254622825,5
25.0,ihawk1,5,6.0982530521559095,3.515788229311828,7.00627090773915,2.2928057365375496,4.6891749331951775,9.725567369759073,5
25.0,ihawk2,5,2.034083020790352,1.8868978930995564,2.802452086755239,0.9606782824897951,1.8558635785246236,3.9455358229819737,5
25.0,EqualXYZ,5,3.3048413805156627,2.3890358830111453,4.089637482646671,1.6423458533606856,2.23181504584464,6.074510504716377,5
25.0,LOOWeightedXYZ,5,2.22507590084534,1.9833921993415946,3.008928489751638,1.1498098298684134,2.0462308096569544,4.464399874308548,5
30.0,ihawk1,5,7.84782579416953,5.151845543308398,9.380570228968255,1.7951446562854718,8.007866178553753,12.380328519029657,5
30.0,ihawk2,5,2.012746567372646,2.4214987693887755,3.125927526904678,1.7893483860199244,0.9059068226366755,5.692923994808373,5
30.0,EqualXYZ,5,3.858735503736071,3.2171010096405297,5.005346010946118,1.1500571096018313,3.6815376050728914,6.639027608101719,5
30.0,LOOWeightedXYZ,5,2.2858289007403423,2.561745633749132,3.396837099766283,1.187872027288961,1.5830620448874497,4.788223179773485,5
35.0,ihawk1,5,6.841455188698926,4.740010714261804,8.32592845003323,4.20485062571866,4.5433596632157025,15.478338237282422,5
35.0,ihawk2,5,1.1566352463069554,2.0785707464655916,2.1806349531111864,1.168181798431429,0.7897262838557841,3.437999148869523,5
35.0,EqualXYZ,5,3.023796687398762,3.2301596696762247,4.372156015778176,2.844526828540102,2.0115162696942335,9.090649528259359,5
35.0,LOOWeightedXYZ,5,1.4041631422499894,2.4473174164355336,2.642485394889227,1.729888216152441,1.1419381560631994,5.1351525663955915,5
40.0,ihawk1,5,6.072878644429309,4.916610728227511,7.639627305815575,1.331921352606665,5.771693643070266,9.41439579628938,5
40.0,ihawk2,5,0.8462171169830057,2.657186713283989,2.0841051781600535,3.35046947163749,-0.7782815177228875,7.426706158852527,3
40.0,EqualXYZ,5,2.3933113090972826,3.1943529149165983,3.633630532966231,1.3701992522190687,1.96279443482885,5.181407357763542,5
40.0,LOOWeightedXYZ,5,1.0024966311467387,2.717635227476939,2.2488425394081077,2.4473564075141607,-0.31728271384291595,5.549335602676365,3
45.0,ihawk1,5,5.5604695336004655,4.699978423460966,7.088838062804032,2.441895767139267,4.67618268602964,9.857669811811338,5
45.0,ihawk2,5,1.1370809931628874,2.939560355481628,2.4702570949690577,4.139957963144296,-0.7079541723010969,9.492823768289156,3
45.0,EqualXYZ,5,1.7214631109409055,3.17504468818928,3.100723244999395,1.979203784240254,0.7573995647177885,4.936783045710275,5
45.0,LOOWeightedXYZ,5,0.8719020953976286,2.9618431753549865,2.2794158446800847,3.018565779015844,-0.4225398654156818,6.976854070240344,3
50.0,ihawk1,5,6.243951169442849,5.323484955544609,7.860756226561065,4.860758006516701,2.9349147389763246,14.087711841069567,5
