run_id,height_gt_mm,camera_baseline_mm,central_target_ray_convergence_deg,pair_delta_median_ms_all_markers_frames,pair_delta_p95_ms_all_markers_frames,pair_delta_max_ms_all_markers_frames
20260808_131913,0.0,427.9146428878184,42.20572269598148,18.266916,46.519041,49.216986
20260808_131913,5.0,427.9146428878184,42.43271935818594,18.266916,46.519041,49.216986
20260808_131913,10.0,427.9146428878184,42.66020795522335,18.266916,46.519041,49.216986
20260808_131913,15.0,427.9146428878184,42.888131894440825,18.266916,46.519041,49.216986
20260808_131913,20.0,427.9146428878184,43.11643204349182,18.266916,46.519041,49.216986
20260808_131913,25.0,427.9146428878184,43.345046674945465,18.266916,46.519041,49.216986
20260808_131913,30.0,427.9146428878184,43.5739114126306,18.266916,46.519041,49.216986
20260808_131913,35.0,427.9146428878184,43.80295918000986,18.266916,46.519041,49.216986
20260808_131913,40.0,427.9146428878184,44.032120150897306,18.266916,46.519041,49.216986
20260808_131913,45.0,427.9146428878184,44.26132170285126,18.266916,46.519041,49.216986
20260808_131913,50.0,427.9146428878184,44.490488373593394,18.266916,46.519041,49.216986
20260808_141232,0.0,428.32739105575075,42.30130415889495,18.266916,46.519041,49.216986
20260808_141232,5.0,428.32739105575075,42.527817332476296,18.266916,46.519041,49.216986
20260808_141232,10.0,428.32739105575075,42.75478500529566,18.266916,46.519041,49.216986
20260808_141232,15.0,428.32739105575075,42.98214960284809,18.266916,46.519041,49.216986
20260808_141232,20.0,428.32739105575075,43.20985101334696,18.266916,46.519041,49.216986
20260808_141232,25.0,428.32739105575075,43.43782653450096,18.266916,46.519041,49.216986
20260808_141232,30.0,428.32739105575075,43.666010822168985,18.266916,46.519041,49.216986
20260808_141232,35.0,428.32739105575075,43.89433584119079,18.266916,46.519041,49.216986
20260808_141232,40.0,428.32739105575075,44.12273081870775,18.266916,46.519041,49.216986
20260808_141232,45.0,428.32739105575075,44.35112220030804,18.266916,46.519041,49.216986
20260808_141232,50.0,428.32739105575075,44.57943360934624,18.266916,46.519041,49.216986
20260808_145501,0.0,426.5411894723299,42.07719456134808,18.266916,46.519041,49.216986
20260808_145501,5.0,426.5411894723299,42.303688010121746,18.266916,46.519041,49.216986
20260808_145501,10.0,426.5411894723299,42.53067746888863,18.266916,46.519041,49.216986
20260808_145501,15.0,426.5411894723299,42.758106663362845,18.266916,46.519041,49.216986
20260808_145501,20.0,426.5411894723299,42.98591679094014,18.266916,46.519041,49.216986
20260808_145501,25.0,426.5411894723299,43.214046465503394,18.266916,46.519041,49.216986
20260808_145501,30.0,426.5411894723299,43.44243166394493,18.266916,46.519041,49.216986
20260808_145501,35.0,426.5411894723299,43.6710056746993,18.266916,46.519041,49.216986
20260808_145501,40.0,426.5411894723299,43.89969904859598,18.266916,46.519041,49.216986
20260808_145501,45.0,426.5411894723299,44.12843955236162,18.266916,46.519041,49.216986
20260808_145501,50.0,426.5411894723299,44.3571521251185,18.266916,46.519041,49.216986
20260808_151001,0.0,426.1959590003276,42.046945967548616,18.266916,46.519041,49.216986
20260808_151001,5.0,426.1959590003276,42.273115432078775,18.266916,46.519041,49.216986
20260808_151001,10.0,426.1959590003276,42.49977521468772,18.266916,46.519041,49.216986
20260808_151001,15.0,426.1959590003276,42.72686897808197,18.266916,46.519041,49.216986
20260808_151001,20.0,426.1959590003276,42.95433785965936,18.266916,46.519041,49.216986
20260808_151001,25.0,426.1959590003276,43.18212041660905,18.266916,46.519041,49.216986
20260808_151001,30.0,426.1959590003276,43.41015257274183,18.266916,46.519041,49.216986
20260808_151001,35.0,426.1959590003276,43.63836756734286,18.266916,46.519041,49.216986
20260808_151001,40.0,426.1959590003276,43.866695906357656,18.266916,46.519041,49.216986
20260808_151001,45.0,426.1959590003276,44.0950653162396,18.266916,46.519041,49.216986
20260808_151001,50.0,426.1959590003276,44.32340070080617,18.266916,46.519041,49.216986
20260808_162715,0.0,425.1327428526775,42.03812382224585,18.266916,46.519041,49.216986
20260808_162715,5.0,425.1327428526775,42.26534280919541,18.266916,46.519041,49.216986
20260808_162715,10.0,425.1327428526775,42.49307237062941,18.266916,46.519041,49.216986
20260808_162715,15.0,425.1327428526775,42.72125613387136,18.266916,46.519041,49.216986
20260808_162715,20.0,425.1327428526775,42.94983517413994,18.266916,46.519041,49.216986
20260808_162715,25.0,425.1327428526775,43.17874795816128,18.266916,46.519041,49.216986
20260808_162715,30.0,425.1327428526775,43.40793028948441,18.266916,46.519041,49.216986
20260808_162715,35.0,425.1327428526775,43.63731525579584,18.266916,46.519041,49.216986
20260808_162715,40.0,425.1327428526775,43.866833178547886,18.266916,46.519041,49.216986
20260808_162715,45.0,425.1327428526775,44.09641156523417,18.266916,46.519041,49.216986
20260808_162715,50.0,425.1327428526775,44.325975064663886,18.266916,46.519041,49.216986
