height_gt_mm,n_independent_rebuilds,xy_rmse_mean_mm,xy_rmse_sd_mm,xy_rmse_p95_mm,z_rmse_mean_mm,z_rmse_sd_mm,error3d_rmse_mean_mm,error3d_rmse_sd_mm
0.0,5,0.6793079058923823,0.14633514749864618,0.8776844419303393,0.847571084591484,0.06205393096438884,1.0880532170300268,0.1422493582909714
5.0,5,2.0986110131153453,1.3206916336468315,3.797470730133497,0.9758879597055996,0.49715837523122297,2.3689098451612796,1.2932062445541908
10.0,5,3.13244635189326,1.4624685257168994,4.77340628227742,1.6605618992006037,0.7015467860552254,3.6296104863771212,1.3694886596540934
15.0,5,2.723256188286634,1.283220581053068,4.1151053180196255,1.3528713263453576,0.07717263789391912,3.0876207154946806,1.1374708515381584
20.0,5,2.4026332305522557,1.5963761855226084,4.450521159819758,1.5223662493423666,0.4195540979342034,2.9467503177022603,1.4082178703284962
25.0,5,2.7521386895985205,1.4277106808064297,4.685930836936292,1.7718476758354282,0.6312285972703033,3.341760741375508,1.367384622477508
30.0,5,2.5726544815843604,0.5484597282857988,3.2360338024288393,1.3888970254303015,0.27378325722883273,2.9366188049170745,0.5297031006431521
35.0,5,3.1746720416729644,0.8742282179840017,4.039935385721793,1.793225697108125,0.31775779476376365,3.6923571219118836,0.6641685138366551
40.0,5,3.660750198423912,1.5219155364821748,5.318919030777913,1.2586944090598438,0.31348075969626804,3.8953652650662547,1.4761143044675558
45.0,5,4.319763110224846,2.139203976967187,6.152643331535529,1.3634012299807599,0.4038072165318303,4.570731286423251,2.0673155565371686
50.0,5,4.38563710142305,3.2531145802502293,8.593120894792127,1.6101738947329238,0.4875543801561044,4.896542858149549,2.8519098407118424
