held_out_run,training_runs,training_z0_3d_mse_ihawk1_mm2,training_z0_3d_mse_ihawk2_mm2,weight_ihawk1,weight_ihawk2,n_training_marker_pairs
20260808_131913,20260808_141232|20260808_145501|20260808_151001|20260808_162715,81.64025614255988,19.57155597476205,0.19337225137393294,0.8066277486260671,20
20260808_141232,20260808_131913|20260808_145501|20260808_151001|20260808_162715,94.20018372767262,19.626425046590935,0.1724238757346561,0.8275761242653439,20
20260808_145501,20260808_131913|20260808_141232|20260808_151001|20260808_162715,80.33555398167066,18.767197979528625,0.18937110835102097,0.810628891648979,20
20260808_151001,20260808_131913|20260808_141232|20260808_145501|20260808_162715,80.03874602983751,19.07921224897907,0.19248996428386544,0.8075100357161346,20
20260808_162715,20260808_131913|20260808_141232|20260808_145501|20260808_151001,85.50164137769634,20.288301854158753,0.19177911656208935,0.8082208834379107,20
