corner_index,board_col,board_row,u_undist_sd_px,v_undist_sd_px,u_undist_range_px,v_undist_range_px,u_raw_sd_px,v_raw_sd_px
0,0,0,0.012093439193085023,0.005990713803886355,0.0425872802734375,0.025909423828125,0.012093439193085023,0.005990713803886355
1,1,0,0.013315471897672272,0.007269421585704176,0.0460662841796875,0.027496337890625,0.013315471897672272,0.007269421585704176
2,2,0,0.019889930378509366,0.008432020574663312,0.0855712890625,0.0298614501953125,0.019889930378509366,0.008432020574663312
3,3,0,0.0305412256974857,0.011268466570395248,0.167205810546875,0.04620361328125,0.0305412256974857,0.011268466570395248
4,4,0,0.020966923088547487,0.027190887193599134,0.07861328125,0.081268310546875,0.020966923088547487,0.027190887193599134
5,5,0,0.02607330558155759,0.00833916918536084,0.096160888671875,0.0294952392578125,0.02607330558155759,0.00833916918536084
6,0,1,0.020955423191959123,0.008983088336056894,0.07928466796875,0.03533935546875,0.020955423191959123,0.008983088336056894
7,1,1,0.011428732036016591,0.003702572319909004,0.0500030517578125,0.0129852294921875,0.011428732036016591,0.003702572319909004
8,2,1,0.015920837896486524,0.006977534907904949,0.056976318359375,0.026092529296875,0.015920837896486524,0.006977534907904949
9,3,1,0.013479001454388568,0.006789239251830438,0.0460205078125,0.0258941650390625,0.013479001454388568,0.006789239251830438
10,4,1,0.01414327378798064,0.005720899535066932,0.061492919921875,0.0225982666015625,0.01414327378798064,0.005720899535066932
11,5,1,0.012045117739642846,0.004811245278755162,0.049591064453125,0.01995849609375,0.012045117739642846,0.004811245278755162
12,0,2,0.012287197234356614,0.0058606677024200795,0.0429534912109375,0.021575927734375,0.012287197234356614,0.0058606677024200795
13,1,2,0.012175719355403599,0.005568292006774984,0.049957275390625,0.023345947265625,0.012175719355403599,0.005568292006774984
14,2,2,0.020687014892721477,0.005881485297019192,0.08050537109375,0.0259552001953125,0.020687014892721477,0.005881485297019192
15,3,2,0.01133726345007256,0.006672028353607442,0.0572509765625,0.02972412109375,0.01133726345007256,0.006672028353607442
16,4,2,0.018738602408573182,0.0037273568719421906,0.08367919921875,0.011810302734375,0.018738602408573182,0.0037273568719421906
17,5,2,0.011452211840100715,0.005442146706999455,0.040985107421875,0.0206146240234375,0.011452211840100715,0.005442146706999455
18,0,3,0.01355494901446,0.006407756800293407,0.0610198974609375,0.0255126953125,0.01355494901446,0.006407756800293407
19,1,3,0.01630091277101588,0.008752788330200227,0.056182861328125,0.046722412109375,0.01630091277101588,0.008752788330200227
20,2,3,0.00822275843291681,0.004817911074721389,0.032958984375,0.022552490234375,0.00822275843291681,0.004817911074721389
