pair,channel,whitened_scaled_pre_nuisance_norm_sigma,whitened_scaled_post_nuisance_norm_sigma
P-C,zV,2.803598249585376e-05,2.803598249585376e-05
P-C,zR,1.6562729394652426e-05,2.1256981134720263e-05
P-C,zL,14.563106795918985,14.563106795918985
P-C,zG,10.273972699793436,1.6771234747425043e-05
P-T,zV,1.8697549642969072e-05,1.8697549642969072e-05
P-T,zR,2.599255578350485e-05,4.873732922455756e-05
P-T,zL,14.563106794258795,14.563106794258795
P-T,zG,10.273972690478027,9.102200672220836e-06
